ticker,transaction_date,number_of_transactions
OXY,2021/02/16,6
AAPL,2016/01/27,4
HAL,2015/02/20,4
RNWK,2014/06/06,4
WFC,2020/12/24,3
MKL,2019/04/11,3
USB,2019/04/02,3
WMB,2016/11/10,3
GEL,2016/09/13,3
FEYE,2016/06/27,3
PAA,2015/08/06,3
CY,2014/09/18,3
BRK.B,2021/12/21,2
NVDA,2021/05/04,2
IFNNY,2021/01/22,2
SNE,2020/08/31,2
TDOC,2020/04/27,2
MA,2020/04/22,2
XOM,2020/04/06,2
V,2020/03/19,2
SCHW,2020/01/08,2
PGR,2019/11/06,2
JPM,2019/03/13,2
WFM,2017/06/16,2
ENB,2016/09/21,2
FB,2016/07/29,2
ENTG,2016/07/27,2
IBM,2016/06/07,2
DPM,2016/04/21,2
ETP,2016/02/22,2
MSFT,2016/02/11,2
LRCX,2015/12/22,2
KN,2015/04/24,2
ETE,2015/03/13,2
WPX,2015/03/12,2
PNGAY,2021/12/28,1
BAC,2021/12/21,1
BK,2021/12/21,1
XP,2021/12/21,1
COIN,2021/09/23,1
ALIZY,2021/09/15,1
NXPI,2021/09/02,1
NTAP,2021/08/09,1
COF,2021/07/23,1
CLNE,2021/06/14,1
AMD,2021/04/27,1
AMAT,2021/04/27,1
SU,2021/04/14,1
MKTX,2021/03/31,1
SIVB,2021/03/15,1
MS,2021/02/23,1
OKE,2021/02/16,1
ADBE,2021/01/28,1
DASTY,2021/01/28,1
SAP,2021/01/28,1
CHKP,2021/01/26,1
TSM,2021/01/13,1
VOPKY,2020/11/13,1
NTOIY,2020/11/13,1
REPYY,2020/11/13,1
TOT,2020/11/13,1
SNOW,2020/11/11,1
UBER,2020/11/05,1
OCFC,2020/10/23,1
WBS,2020/10/23,1
BBVA,2020/10/16,1
SBCF,2020/10/16,1
L,2020/09/23,1
ABCB,2020/09/15,1
CATY,2020/09/15,1
EBSB,2020/09/15,1
PPBI,2020/09/15,1
PYPL,2020/08/10,1
TFC,2020/07/30,1
ASML,2020/07/10,1
ITUB,2020/06/03,1
SPLK,2020/05/01,1
SQ,2020/05/01,1
CGNX,2020/04/28,1
GOOG,2020/04/27,1
RDS-B,2020/04/06,1
AIG,2020/04/02,1
HIG,2020/04/02,1
IVZ,2020/04/02,1
SYF,2020/04/02,1
GS,2020/04/02,1
CB,2020/04/02,1
CFG,2020/04/02,1
INTC,2020/03/23,1
BX,2020/03/17,1
NTRS,2020/02/28,1
ADS,2020/02/28,1
CMA,2020/02/28,1
CERN,2020/02/20,1
HMN,2020/02/14,1
PI,2020/01/28,1
FRFHF,2020/01/28,1
FLIR,2020/01/24,1
LUKOY,2020/01/13,1
SSL,2020/01/13,1
BEN,2020/01/10,1
UBSI,2020/01/10,1
CDNS,2020/01/02,1
SLB,2019/12/31,1
SPGI,2019/12/23,1
CVX,2019/11/04,1
ESGR,2019/05/21,1
COP,2017/11/28,1
WOOF,2017/03/01,1
EPD,2016/12/13,1
ORCL,2016/11/28,1
SE,2016/11/18,1
GLW,2016/10/24,1
WPZ,2016/08/11,1
VLO,2016/04/22,1
MPLX,2016/04/22,1
TRGP,2016/04/20,1
GOOGL,2016/04/12,1
AM,2016/04/11,1
TWTR,2016/01/26,1
CSCO,2016/01/05,1
QCOM,2015/09/15,1
DVN,2015/08/27,1
PSX,2015/08/24,1
KMI,2015/08/24,1
VLP,2015/08/04,1
LLTC,2015/07/10,1
ACN,2015/04/06,1
QLIK,2015/02/13,1
NICE,2015/02/05,1
NOG,2015/01/16,1
BPL,2015/01/15,1
SSYS,2014/12/18,1
GPRO,2014/08/14,1
PANW,2014/07/29,1
MCHP,2014/07/21,1
LNKD,2014/07/07,1
