official,Exchange,Purchase,Sale (Full),Sale (Partial),total
"Axne, Cynthia",0,45,10,5,61
"Beyer, Donald S.",0,54,57,0,112
"Booker, Cory A.",0,0,2,0,3
"Brooks, Mo",0,0,5,0,6
"Brooks, Susan W.",0,1,0,0,2
"Cantwell, Maria E.",0,0,0,4,5
"Capito, Shelley M.",0,0,False,0,1
"Carper, Thomas R.",0,1,2,0,4
"Cassidy, William",0,6,4,5,16
"Cohen, Steve",0,0,3,0,4
"Collins, Susan M.",0,6,10,1,18
"Crenshaw, Daniel",0,0,False,0,1
"Curtis, John",0,False,0,0,1
"Flores, Bill",0,False,0,0,1
"Garcia, Mike",0,1,2,0,4
"Gianforte, Greg",0,12,1,9,23
"Gonzalez, Anthony E.",0,0,False,0,1
"Gottheimer, Josh",0,47,17,43,108
"Hagerty IV, William F.",0,0,1,0,2
"Hickenlooper, John W.",0,0,False,0,1
"Hoeven, John",0,7,1,0,9
"Jacobs, Christopher L.",False,1,2,1,5
"Keating, William R.",0,2,1,0,4
"King Jr., Angus S.",0,2,3,1,7
"Lofgren, Zoe",0,14,8,0,23
"Long, Billy",0,0,False,0,1
"Marshall, Roger W.",0,7,6,0,14
"Meijer, Peter",0,4,37,11,53
"Moran, Jerry",0,2,0,5,8
"Pallone, Frank",0,0,False,0,1
"Perdue Jr., David A.",0,125,3,83,212
"Perlmutter, Ed",0,9,5,7,22
"Peters, Gary C.",0,False,0,0,1
"Phillips, Dean",0,54,9,27,91
"Reed, John F.",0,0,False,1,2
"Ross, Deborah K.",0,8,0,1,10
"Schrader, Kurt",0,8,0,0,9
"Scott, Austin",0,2,2,0,5
"Sessions, Pete",0,8,2,0,11
"Sherrill, Mikie",0,1,17,0,19
"Tillis, Thomas R.",0,0,29,0,30
"Timmons, William R.",0,0,1,0,2
"Tuberville, Thomas H.",0,3,11,0,15
"Upton, Fred",0,0,1,0,2
"Welch, Peter",0,0,False,0,1
"Whitehouse, Sheldon",1,55,15,9,81
"Wyden, Ronald L.",0,3,1,0,5
