official,Exchange,Purchase,Sale (Full),Sale (Partial),total
"Axne, Cynthia",0,15.0,3.33,1.67,20.33
"Beyer, Donald S.",0,7.71,8.14,0,16.0
"Booker, Cory A.",0,0,0.22,0,0.33
"Brooks, Mo",0,0,0.45,0,0.55
"Brooks, Susan W.",0,0.12,0,0,0.25
"Cantwell, Maria E.",0,0,0,0.17,0.22
"Capito, Shelley M.",0,0,0.0,0,0.05
"Carper, Thomas R.",0,0.03,0.06,0,0.13
"Cassidy, William",0,0.46,0.31,0.38,1.23
"Cohen, Steve",0,0,0.2,0,0.27
"Collins, Susan M.",0,0.24,0.4,0.04,0.72
"Crenshaw, Daniel",0,0,0.0,0,0.33
"Curtis, John",0,0.0,0,0,0.2
"Flores, Bill",0,0.0,0,0,0.1
"Garcia, Mike",0,0.5,1.0,0,2.0
"Gianforte, Greg",0,3.0,0.25,2.25,5.75
"Gonzalez, Anthony E.",0,0,0.0,0,0.33
"Gottheimer, Josh",0,9.4,3.4,8.6,21.6
"Hagerty IV, William F.",0,0,1.0,0,2.0
"Hickenlooper, John W.",0,0,0.0,0,1.0
"Hoeven, John",0,0.64,0.09,0,0.82
"Jacobs, Christopher L.",0.0,0.5,1.0,0.5,2.5
"Keating, William R.",0,0.18,0.09,0,0.36
"King Jr., Angus S.",0,0.22,0.33,0.11,0.78
"Lofgren, Zoe",0,0.52,0.3,0,0.85
"Long, Billy",0,0,0.0,0,0.09
"Marshall, Roger W.",0,1.4,1.2,0,2.8
"Meijer, Peter",0,4.0,37.0,11.0,53.0
"Moran, Jerry",0,0.08,0,0.2,0.32
"Pallone, Frank",0,0,0.0,0,0.03
"Perdue Jr., David A.",0,20.83,0.5,13.83,35.33
"Perlmutter, Ed",0,0.6,0.33,0.47,1.47
"Peters, Gary C.",0,0.0,0,0,0.08
"Phillips, Dean",0,18.0,3.0,9.0,30.33
"Reed, John F.",0,0,0.0,0.03,0.06
"Ross, Deborah K.",0,8.0,0,1.0,10.0
"Schrader, Kurt",0,0.62,0,0,0.69
"Scott, Austin",0,0.18,0.18,0,0.45
"Sessions, Pete",0,0.35,0.09,0,0.48
"Sherrill, Mikie",0,0.33,5.67,0,6.33
"Tillis, Thomas R.",0,0,4.14,0,4.29
"Timmons, William R.",0,0,0.33,0,0.67
"Tuberville, Thomas H.",0,3.0,11.0,0,15.0
"Upton, Fred",0,0,0.03,0,0.06
"Welch, Peter",0,0,0.0,0,0.07
"Whitehouse, Sheldon",0.07,3.67,1.0,0.6,5.4
"Wyden, Ronald L.",0,0.07,0.02,0,0.12
