Owner	house	senate	input
Wyden, Ronald L.		230	230
Scott, Rick		142	142
Warner, Mark R.		7	7
Whitehouse, Sheldon		68	68
Carper, Thomas R.		957	957
Kaine, Timothy M.		1	1
Manchin III, Joseph		12	12
Sullivan, Daniel S.		1	1
Capito, Shelley M.		350	350
Loeffler, Kelly		169	169
Blunt, Roy D.		8	8
Murray, Patty		161	161
Rounds, Mike		1	1
Cassidy, William		163	163
Wicker, Roger F.		8	8
Moran, Jerry		72	72
Perdue Jr., David A.		1	1
Hickenlooper, John W.		11	11
King Jr., Angus S.		67	67
Tillis, Thomas R.		1	1
Shaheen, Jeanne		3	3
Roberts, Pat		451	451
Smith, Tina		20	20
McConnell Jr., A. M.		22	22
Toomey, Patrick J.		6	6
Marshall, Roger W.		1	1
Collins, Susan M.		395	395
Coons, Christopher A.		5	5
Paul, Rand		1	1
Cardin, Benjamin L.		6	6
Peters, Gary C.		2	2
Hoeven, John		4	4
Rosen, Jacklyn S.		1	1
Alexander, Lamar		57	57
