Owner	house	senate	input
Capito, Shelley M.		350	350
Hoeven, John		4	4
Rounds, Mike		1	1
Moran, Jerry		72	72
Wyden, Ronald L.		230	230
Tillis, Thomas R.		1	1
Warner, Mark R.		7	7
Scott, Rick		142	142
Cardin, Benjamin L.		6	6
Carper, Thomas R.		957	957
King Jr., Angus S.		67	67
Marshall, Roger W.		1	1
Wicker, Roger F.		8	8
Blunt, Roy D.		8	8
Cassidy, William		163	163
Collins, Susan M.		395	395
Roberts, Pat		451	451
Smith, Tina		20	20
Shaheen, Jeanne		3	3
McConnell Jr., A. M.		22	22
Rosen, Jacklyn S.		1	1
Manchin III, Joseph		12	12
Hickenlooper, John W.		11	11
Toomey, Patrick J.		6	6
Coons, Christopher A.		5	5
Whitehouse, Sheldon		68	68
Peters, Gary C.		2	2
Loeffler, Kelly		169	169
Kaine, Timothy M.		1	1
Murray, Patty		161	161
Sullivan, Daniel S.		1	1
Alexander, Lamar		57	57
Paul, Rand		1	1
Perdue Jr., David A.		1	1
