state,number_of_officials
California,16
Florida,15
Texas,12
North Carolina,9
New York,9
Tennessee,8
Virginia,8
Michigan,6
Illinois,6
Ohio,6
Georgia,6
Massachusetts,6
Kentucky,6
New Jersey,6
Pennsylvania,6
Washington,5
Indiana,5
West Virginia,4
Missouri,4
Maryland,4
Colorado,4
Rhode Island,4
Alabama,4
Oklahoma,3
Maine,3
Kansas,3
Louisiana,3
Connecticut,3
Wyoming,3
Mississippi,3
Oregon,3
Minnesota,3
Iowa,2
Delaware,2
Arizona,2
Arkansas,2
Utah,2
Montana,2
Wisconsin,2
Idaho,2
South Carolina,2
Nevada,2
North Dakota,1
District of Columbia,1
Vermont,1
Alaska,1
New Hampshire,1
Hawaii,1
South Dakota,1
New Mexico,1
