official	house	senate	input
Newman, Marie	296		296
Garbarino, Andrew	13		13
Langevin, James R.	170		170
Dingell, Debbie	26		26
Ross, Deborah K.	20		20
Schultz, Debbie W.	10		10
Buck, Kenneth R.	1		1
Blumenthal, Richard		50	50
Tillis, Thomas R.		99	99
Rounds, Mike		10	10
Spartz, Victoria	8		8
Crenshaw, Daniel	20		20
Bice, Stephanie	1		1
Smucker, Lloyd K.	11		11
Krishnamoorthi, S. R.	1		1
Amash, Justin	3		3
Crapo, Michael D.		1	1
Fleischmann, Charles J.	74		74
McHenry, Patrick T.	1		1
Burgess, Michael C.	9		9
Barrasso, John A.		1	1
Kelly, Mike	14		14
DelBene, Suzan K.	124		124
Pfluger, August L.	12		12
Collins, Susan M.		450	450
Hill, James F.	9		9
Peters, Gary C.		143	143
Cardin, Benjamin L.		21	21
Axne, Cynthia	174		174
Matsui, Doris O.	15		15
Smith, Tina		24	24
Trahan, Lori	2		2
Cohen, Steve	50		50
Case, Ed	9		9
Frankel, Lois	291		291
Gibbs, Bob	37		37
Meuser, Daniel	10		10
McKinley, David B.	148		148
Suozzi, Thomas	39		39
Holding, George	13		13
Pingree, Chellie	5		5
Brooks, Susan W.	14		14
Moulton, Seth	2		2
Enzi, Michael B.		7	7
Cawthorn, David M.	1		1
Allen, Richard W.	38		38
Thune, John R.		1	1
Higgins, Brian	3		3
Comer, James	11		11
Hickenlooper, John W.		21	21
Johnson, Ron		2	2
Yarmuth, John A.	102		102
Upton, Fred	20		20
Garcia, Mike	43		43
Hern, Kevin	360		360
Conaway, K. M.	240		240
Manning, Kathy	121		121
Kinzinger, Adam	24		24
Schrier, Kim	34		34
Green, Mark	551		551
Pelosi, Nancy	57		57
Welch, Peter	49		49
Scott, Rick		169	169
Greene, Marjorie T.	88		88
Whitehouse, Sheldon		693	693
Timmons, William R.	18		18
Marchant, Kenny	109		109
Graves, Garret	9		9
Maloney, Carolyn B.	7		7
Chabot, Steve	2		2
Clark, Katherine M.	243		243
Wicker, Roger F.		8	8
Warren, Elizabeth		1	1
Gonzalez, Anthony E.	6		6
Duckworth, Ladda T.		22	22
Lofgren, Zoe	184		184
Evans, Dwight	57		57
Sherrill, Mikie	161		161
Boozman, John		46	46
Fallon, Patrick	89		89
Price, David E.	15		15
Cisneros, Gilbert	783		783
Burchett, Tim	1		1
Loeffler, Kelly		279	279
Inhofe, James M.		230	230
Burr, Richard M.		97	97
Courtney, Joe	162		162
Mast, Brian	37		37
Coons, Christopher A.		30	30
Jacobs, Christopher L.	86		86
Keating, William R.	64		64
Grijalva, Raúl M.	4		4
Kennedy, Joseph P.	2		2
Trone, David	13		13
Roberts, Pat		477	477
Hollingsworth, Trey	44		44
Flores, Bill	3		3
Reed, Jack		1	1
Jeffries, Hakeem S.	7		7
Spanberger, Abigail	2		2
Moran, Jerry		174	174
Chu, Judy	1		1
Kaine, Timothy M.		3	3
Moore, Blake	111		111
Rogers, Harold D.	20		20
Cassidy, William		166	166
Gallagher, Michael J.	38		38
Blumenauer, Earl	138		138
Rice, Tom	11		11
Murray, Patty		161	161
Casey Jr., Robert P.		1	1
Morelle, Joseph D.	17		17
Rouzer, David C.	11		11
Long, Billy	28		28
Waltz, Michael	4		4
Kennedy, John N.		2	2
Moore, Felix B.	6		6
Reed, John F.		250	250
Cruz, Rafael E.		13	13
Pallone, Frank	10		10
Cochran, Thad		22	22
Joyce, David P.	46		46
Wyden, Ronald L.		262	262
Lee, Susie	620		620
Peters, Scott H.	101		101
Malinowski, Tom	126		126
Larson, John B.	34		34
Dunn, Neal P.	30		30
Phillips, Dean	514		514
Arenholz, Ashley H.	14		14
Rouda, Harley E.	7		7
Miller, Carol D.	42		42
Latta, Robert E.	1		1
Khanna, Rohit	297		297
McConnell Jr., A. M.		22	22
Hollen, Chris V.		7	7
Cox, TJ J.	1		1
Brooks, Mo	42		42
Shalala, Donna	567		567
Feinstein, Dianne		29	29
Luria, Elaine	4		4
Shelby, Richard C.		1	1
Banks, James E.	52		52
McEachin, Aston D.	6		6
Scott, Austin	75		75
Hagerty IV, William F.		28	28
Roe, David P.	19		19
Tuberville, Thomas H.		279	279
Booker, Cory A.		13	13
Perdue Jr., David A.		2597	2597
Kustoff, David	9		9
Clay Jr., William L.	2		2
Beyer, Donald S.	670		670
Hoeven, John		226	226
Udall, Thomas S.		3	3
Alexander, Lamar		59	59
Connolly, Gerald E.	18		18
O'Halleran, Tom	2		2
Schneider, Bradley S.	7		7
Diaz-Balart, Mario	1		1
Wittman, Robert J.	54		54
Curtis, John	171		171
Huizenga, Bill	1		1
Rosen, Jacklyn S.		6	6
King Jr., Angus S.		85	85
Lamborn, Doug	108		108
Manchin III, Joseph		12	12
Wagner, Ann	12		12
Gaetz, Matt	3		3
Franklin, Scott	16		16
Warner, Mark R.		98	98
Massie, Thomas	1		1
Portman, Robert J.		11	11
Buchanan, Vern	33		33
Norton, Eleanor H.	4		4
Sanchez, Linda T.	5		5
Simpson, Michael K.	27		27
Gianforte, Greg	497		497
Doggett, Lloyd	44		44
Taylor, Nicholas V.	21		21
Newhouse, Dan	1		1
Gottheimer, Josh	891		891
Raskin, Jamie	1		1
Marshall, Roger W.	37	1	38
Bilirakis, Gus M.	4		4
Pascrell, Bill	3		3
Sullivan, Daniel S.		27	27
McCaul, Michael T.	398		398
Toomey, Patrick J.		206	206
Meijer, Peter	266		266
Cornyn, John		2	2
Sessions, Pete	47		47
Castor, Kathy	38		38
Davis, Susan A.	18		18
Steube, William G.	6		6
Carper, Thomas R.		980	980
Bustos, Cheri	10		10
Shaheen, Jeanne		3	3
Capito, Shelley M.		380	380
Rooney, Francis	60		60
Perlmutter, Ed	47		47
Meng, Grace	1		1
Carter, Earl L.	13		13
Hagedorn, James	1		1
Lowenthal, Alan S.	584		584
Bucshon, Larry	1		1
Guest, Michael P.	4		4
Lummis, Cynthia M.		2	2
Maloney, Sean P.	8		8
Paul, Rand		1	1
Blunt, Roy D.		10	10
Visclosky, Peter J.	2		2
Schrader, Kurt	260		260
Jacobs, Sara	63		63
Schiff, Adam B.	4		4
Scott, Robert C.	17		17
Daines, Steve		1	1
Bennet, Michael F.		8	8
Rutherford, John	48		48
Foxx, Virginia	140		140
Cantwell, Maria E.		7	7
