official	house	senate	input
Hill, James F.	1.29		1.29
Reed, John F.		8.06	8.06
Rice, Tom	1.22		1.22
Rounds, Mike		1.43	1.43
Gottheimer, Josh	178.2		178.2
Larson, John B.	1.48		1.48
Foxx, Virginia	8.24		8.24
Cox, TJ J.	0.5		0.5
Green, Mark	183.67		183.67
Marchant, Kenny	6.81		6.81
Allen, Richard W.	5.43		5.43
Evans, Dwight	9.5		9.5
Pascrell, Bill	0.12		0.12
Bice, Stephanie	1.0		1.0
Latta, Robert E.	0.07		0.07
Cantwell, Maria E.		0.3	0.3
Greene, Marjorie T.	88.0		88.0
Udall, Thomas S.		0.14	0.14
Rogers, Harold D.	0.49		0.49
Carper, Thomas R.		31.61	31.61
Boozman, John		2.19	2.19
Smucker, Lloyd K.	2.2		2.2
Holding, George	1.62		1.62
Cruz, Rafael E.		1.44	1.44
Morelle, Joseph D.	4.25		4.25
Blunt, Roy D.		0.4	0.4
Shaheen, Jeanne		0.23	0.23
Connolly, Gerald E.	1.38		1.38
Smith, Tina		6.0	6.0
Roe, David P.	1.58		1.58
Roberts, Pat		11.93	11.93
Rutherford, John	9.6		9.6
Kennedy, Joseph P.	0.25		0.25
Arenholz, Ashley H.	14.0		14.0
Amash, Justin	0.3		0.3
Hickenlooper, John W.		21.0	21.0
Huizenga, Bill	0.09		0.09
Cawthorn, David M.	1.0		1.0
Guest, Michael P.	1.33		1.33
Coons, Christopher A.		2.5	2.5
Lee, Susie	206.67		206.67
Clay Jr., William L.	0.1		0.1
Thune, John R.		0.04	0.04
Bennet, Michael F.		0.62	0.62
Peters, Scott H.	11.22		11.22
Wittman, Robert J.	3.6		3.6
Rouda, Harley E.	3.5		3.5
Gallagher, Michael J.	7.6		7.6
Maloney, Sean P.	0.89		0.89
Kinzinger, Adam	2.18		2.18
Reed, Jack		0.03	0.03
Conaway, K. M.	15.0		15.0
Hagedorn, James	0.33		0.33
Crenshaw, Daniel	6.67		6.67
McKinley, David B.	13.45		13.45
Cochran, Thad		0.49	0.49
Paul, Rand		0.09	0.09
Burgess, Michael C.	0.47		0.47
Perdue Jr., David A.		432.83	432.83
Casey Jr., Robert P.		0.07	0.07
Matsui, Doris O.	0.88		0.88
Capito, Shelley M.		18.1	18.1
Castor, Kathy	2.53		2.53
Barrasso, John A.		0.07	0.07
Malinowski, Tom	42.0		42.0
Johnson, Ron		0.18	0.18
Higgins, Brian	0.18		0.18
Comer, James	1.83		1.83
O'Halleran, Tom	0.4		0.4
Tuberville, Thomas H.		279.0	279.0
Kelly, Mike	1.27		1.27
Miller, Carol D.	14.0		14.0
Lowenthal, Alan S.	64.89		64.89
Cohen, Steve	3.33		3.33
Norton, Eleanor H.	0.13		0.13
Krishnamoorthi, S. R.	0.2		0.2
Gaetz, Matt	0.6		0.6
Scott, Rick		56.33	56.33
Shelby, Richard C.		0.02	0.02
DelBene, Suzan K.	12.4		12.4
Sessions, Pete	2.04		2.04
Jacobs, Sara	63.0		63.0
Meng, Grace	0.11		0.11
Joyce, David P.	5.11		5.11
Cassidy, William		12.77	12.77
Pfluger, August L.	12.0		12.0
Steube, William G.	2.0		2.0
McEachin, Aston D.	1.2		1.2
Grijalva, Raúl M.	0.21		0.21
