age	house	senate	input
1	54.0	30.0	84.0
2	248.0		248.0
3	101.0	7.0	109.0
4	187.0	5.0	192.0
5	86.0	0.0	86.0
6	23.0	866.0	888.0
7	56.0	10.0	66.0
8	10.0		10.0
9	69.0	7.0	76.0
10	33.0		33.0
11	34.0	14.0	48.0
12	6.0	14.0	20.0
13	32.0	41.0	73.0
15	46.0	48.0	95.0
16	174.0		174.0
17	81.0	28.0	109.0
18		59.0	59.0
19	4.0	1.0	5.0
20	7.0	1.0	7.0
21	44.0	96.0	139.0
22		2.0	2.0
23	20.0	1.0	21.0
24		5.0	5.0
25	1.0	98.0	98.0
27	73.0	2.0	75.0
29	6.0	40.0	46.0
31	1.0	400.0	401.0
33	15.0		15.0
35	22.0	4.0	26.0
36	1.0	114.0	116.0
37		22.0	22.0
40		458.0	458.0
41	10.0	130.0	140.0
