age	house	senate	input
1	649.0	1422.0	860.0
2	1370.0		1370.0
3	551.0	21215.0	706.0
4	4583.0	15647.0	4726.0
5	524.0	619.0	523.0
6	2473.0	3518.0	3486.0
7	740.0	737.0	740.0
8	2854.0		2854.0
9	341.0	632.0	361.0
10	21504.0		21504.0
11	676.0	5744.0	1282.0
12	2232.0	9998.0	6219.0
13	962.0	1355.0	1168.0
15	673.0	698.0	686.0
16	15324.0		15324.0
17	4366.0	1899.0	3476.0
18		57349.0	57349.0
19	1413.0	2071.0	1567.0
20	4788.0	10272.0	5132.0
21	3071.0	1808.0	2134.0
22		6696.0	6696.0
23	1873.0	1727.0	1864.0
24		12331.0	12331.0
25	1514.0	1641.0	1640.0
27	1726.0	2374.0	1738.0
29	4038.0	1699.0	1900.0
31	12768.0	2716.0	2730.0
33	6111.0		6111.0
35	39759.0	4243.0	28611.0
36	7182.0	21730.0	21522.0
37		12845.0	12845.0
40		15685.0	15685.0
41	3900.0	14836.0	13490.0
