state	house	senate	input
North Carolina	269	99	368
Massachusetts	313		313
Missouri	42	8	50
South Carolina	29		29
Louisiana	9	168	177
Tennessee	704	87	791
Maryland	14	22	36
South Dakota		11	11
Colorado	156	29	185
Utah	282		282
Delaware		989	989
California	2163		2163
Kentucky	134	23	157
Kansas	37	633	670
New Mexico		2	2
Idaho	27	1	28
Mississippi	4	8	12
Nevada	620	6	626
Virginia	771	52	823
Montana	497	1	498
Michigan	316	143	459
Vermont	49		49
Wisconsin	38	2	40
Maine	5	472	477
West Virginia	190	392	582
Connecticut	196		196
Minnesota	515	24	539
Pennsylvania	92	199	291
Iowa	188		188
Georgia	208	2876	3084
Alaska		27	27
New Jersey	1191	13	1204
North Dakota		214	214
Ohio	92	9	101
Indiana	121		121
Texas	984	12	996
Wyoming		8	8
Alabama	48	279	327
Florida	1148	169	1317
Washington	159	166	325
New York	181		181
Oregon	396	261	657
Arizona	6		6
Arkansas	9	2	11
Illinois	337	22	359
New Hampshire		3	3
Oklahoma	361	229	590
District of Columbia	4		4
Hawaii	9		9
Rhode Island	170	915	1085
