state	house	senate	input
Missouri	54047.77	19908.07	46065.73
North Carolina	10628.89	6905.71	9464.68
Massachusetts	7614.21		7614.21
South Carolina	7841.45		7841.45
Louisiana	6696.0	6818.8	6812.5
Tennessee	33545.1	53131.22	35285.46
Maryland	136311.22	14504.95	31641.96
South Dakota		92952.48	92952.48
Colorado	10198.84	85593.63	14235.64
Utah	7352.58		7352.58
Delaware		8948.12	8948.12
California	9212.31		9225.08
Kentucky	7941.4	12486.73	8485.77
Kansas	6696.0	12687.3	12247.33
New Mexico		6696.0	6696.0
Idaho	8395.18	73576.0	9071.89
Mississippi	14364.44	11869.17	12648.62
Nevada	6730.73	8635.88	6746.83
Virginia	8935.97	119566.96	10527.28
Montana	25290.77	30815.0	25300.8
Michigan	12340.22	8837.94	11121.35
Vermont	8591.16		8591.16
Wisconsin	8521.01	1526383.06	11044.6
Maine	224600.63	10705.41	11052.46
West Virginia	10697.87	7289.35	8261.9
Connecticut	7763.91		7763.91
Minnesota	7722.76	78232.75	8561.49
Pennsylvania	10728.33	13248.76	12393.73
Iowa	7245.87		7219.21
Georgia	10054.36	12586.89	12397.62
Alaska		19181.92	19181.92
New Jersey	9483.04	11451.81	9502.37
North Dakota		84889.32	84889.32
Ohio	13175.76	116939.17	16005.43
Indiana	19567.53		19567.53
Texas	27337.18	36266.69	27430.44
Wyoming		17855.92	17855.92
Alabama	10451.41	11210.79	11095.96
Washington	79743.85	6696.0	22499.35
Florida	8794.14	487942.45	14723.44
New York	15141.2		15141.2
Oregon	9555.89	29671.65	14988.26
Arizona	6696.0		6696.0
Arkansas	13196.49	6696.0	11665.06
Illinois	13630.6	7692.78	13161.05
New Hampshire		32696.82	32696.82
Oklahoma	22871.02	43459.16	29342.43
District of Columbia	38305.02		38305.02
Hawaii	23020.12		23020.12
Rhode Island	12240.76	8893.8	9350.24
