Age	house	senate	input
26	1		1
33	1		1
34	1		1
37	5		5
38	2		2
39	1		1
41	4		4
42	2		2
43	5		5
45	2		2
46	4		4
47	1		1
48	4		4
49	3		3
50	3		3
51	2	2	4
52	2	1	3
53	5	1	6
54	1		1
55	7		7
56	2		2
57	6	2	8
58	4	1	5
59	8	2	10
60	8	1	9
61	3	4	7
62	2	1	3
63	2	5	7
64	4	3	7
65	4		4
66	5	4	9
67	5	5	10
68	7	1	8
69	4	3	7
70	5	5	10
71	5	2	7
72	2	5	7
73	6	1	7
74	5	1	6
75	2	3	5
76	2		2
77	2	1	3
78	1	2	3
79		1	1
80	2		2
81	2	1	3
84	2	1	3
85	1	1	2
87		2	2
88		1	1
