state	house	senate	input
South Dakota		2	2
New Hampshire		1	1
Michigan	5	1	6
Rhode Island	1	2	3
Nevada	1	1	2
Alabama	2	2	4
Arizona	2		2
Ohio	5	1	6
Connecticut	2	1	3
Vermont	1		1
Wyoming		3	3
Missouri	3	1	4
Minnesota	2	1	3
Massachusetts	5	1	6
District of Columbia	1		1
North Dakota		1	1
Indiana	6		6
Alaska		1	1
Hawaii	1		1
Idaho	1	1	2
West Virginia	2	2	4
Oklahoma	2	1	3
Florida	15	1	16
North Carolina	8	2	10
California	15	1	16
Virginia	7	2	9
Louisiana	1	2	3
Maryland	2	2	4
Mississippi	1	2	3
Texas	11	2	13
Colorado	3	2	5
Oregon	2	1	3
South Carolina	2		2
New Jersey	5	1	6
Utah	2		2
Wisconsin	1	1	2
New Mexico		1	1
Maine	1	2	3
New York	9		9
Pennsylvania	4	2	6
Iowa	2		2
Washington	3	2	5
Illinois	5	1	6
Kansas		3	3
Montana	1	1	2
Arkansas	1	1	2
Delaware		2	2
Kentucky	4	2	6
Georgia	4	2	6
Tennessee	6	2	8
