age	house	senate	input
1	70.31	151.75	86.6
2	247.83		247.83
3	106.09	169.0	108.83
4	233.5	24.0	191.6
5	101.0	3.0	86.3
6	34.0	2597.0	888.33
7	71.55	45.33	65.93
8	9.5		9.5
9	119.45	16.0	75.89
10	32.75		32.75
11	46.18	54.25	48.33
12	19.0	20.5	20.0
13	71.0	73.8	72.56
15	58.91	225.67	94.64
16	174.5		174.5
17	94.5	198.0	109.29
18		59.0	59.0
19	4.75	7.0	5.2
20	10.0	2.0	7.33
21	87.0	191.0	139.0
22		2.0	2.0
23	36.0	3.0	22.8
24		5.0	5.0
25	2.5	146.5	98.5
27	122.0	4.0	74.8
29	12.0	81.0	46.5
31	4.0	600.0	401.33
33	15.0		15.0
35	29.0	15.0	25.5
36	2.0	229.0	115.5
37		22.0	22.0
40		458.0	458.0
41	20.0	261.0	140.5
