age	house	senate	input
1	12776.99	28441.99	16929.55
2	8217.31		8217.31
3	12684.22	487942.45	16228.88
4	22912.99	78232.75	23628.83
5	10486.65	12382.18	10484.19
6	7419.43	10553.28	10458.83
7	10360.47	10323.74	10355.05
8	11415.84		11415.84
9	6498.82	12010.28	6886.92
10	86015.79		86015.79
11	10133.57	86165.81	19230.61
12	6696.0	29994.36	18656.0
13	8662.37	12197.34	10510.52
15	9420.95	9773.37	9599.4
16	30647.0		30647.0
17	30311.45	13294.5	24573.98
18		57349.08	57349.08
19	7067.09	10356.88	7833.03
20	14364.44	30815.0	15396.53
21	12285.86	7230.92	8535.68
22		6696.0	6696.0
23	9134.83	8635.88	9107.86
24		12330.88	12330.88
25	9086.67	9848.19	9841.49
27	8631.0	11869.17	8690.02
29	16151.26	6795.8	7598.93
31	38305.02	8146.5	8188.5
33	6110.72		6110.72
35	159037.48	16973.98	114445.86
36	14364.44	43459.16	43044.6
37		12845.48	12845.48
40		15685.2	15685.2
41	7800.28	29671.65	26980.13
