age	house	senate	input
1	799.75	7110.5	844.87
2	1369.55		1369.55
3	576.56	487942.45	705.6
4	5728.25	78232.75	4725.77
5	615.91	4127.39	523.0
6	3709.72	10553.28	3486.28
7	941.86	3441.25	739.65
8	2853.96		2853.96
9	592.31	1501.28	362.05
10	21503.95		21503.95
11	921.23	21541.45	1282.04
12	6696.0	14997.18	6218.67
13	2165.59	2439.47	1167.84
15	856.45	3257.79	685.67
16	15323.5		15323.5
17	5034.02	13294.5	3508.72
18		57349.08	57349.08
19	1766.77	10356.88	1566.61
20	7182.22	30815.0	5132.18
21	6142.93	3615.46	2133.92
22		6696.0	6696.0
23	3044.94	4317.94	1821.57
24		12330.88	12330.88
25	4543.34	2462.05	1640.25
27	2877.0	5934.58	1738.0
29	8075.63	3397.9	1899.73
31	38305.02	4073.25	2729.5
33	6110.72		6110.72
35	53012.49	16973.98	28611.46
36	14364.44	43459.16	21522.3
37		12845.48	12845.48
40		15685.2	15685.2
41	7800.28	29671.65	13490.06
