seniority	house	senate	input
1	0.23	0.36	0.25
2	0.12		0.12
3	0.29	0.17	0.28
4	0.11	0.33	0.12
5	0.33	0.5	0.35
6	0.06	0.14	0.07
7	0.24	0.6	0.28
8	0.11		0.11
9	0.24	0.62	0.32
10	0.15		0.14
11	0.34	0.44	0.37
12	0.04	0.25	0.09
13	0.22	0.5	0.32
15	0.58	0.38	0.52
16	0.1		0.09
17	0.35	1.0	0.39
18		0.25	0.06
19	0.29	0.33	0.29
20	0.12	0.2	0.14
21	0.2	1.0	0.33
22		1.0	0.14
23	0.5	0.67	0.56
24		0.25	0.05
25	0.14	0.8	0.32
27	0.5	0.5	0.5
29	0.17	0.5	0.25
30		0.25	0.08
31	0.14	0.67	0.3
33	0.33		0.33
35	0.75	0.5	0.67
36	0.2	0.33	0.25
37		0.5	0.5
40		0.33	0.17
41	0.33	0.5	0.4
43		1.0	1.0
45		0.5	0.5
