state	house	senate	input
Oklahoma	361	229	590
Montana	497	1	498
Kentucky	134	23	157
Rhode Island	170	915	1085
California	2163		2163
West Virginia	190	392	582
Maryland	14	22	36
Connecticut	196		196
North Dakota		214	214
North Carolina	322	99	421
South Carolina	29		29
Arkansas	9	2	11
Wisconsin	38	2	40
Missouri	42	8	50
Indiana	121		121
New York	181		181
Colorado	156	29	185
Minnesota	515	24	539
Georgia	214	2876	3090
Illinois	338	22	360
Alabama	48	279	327
Massachusetts	313		313
Louisiana	9	168	177
Mississippi	4	8	12
Michigan	316	143	459
Arizona	6		6
Florida	1148	169	1317
New Hampshire		3	3
Texas	992	12	1004
Wyoming		8	8
Washington	159	166	325
New Jersey	1191	13	1204
Maine	5	472	477
Idaho	27	1	28
Nevada	620	6	626
South Dakota		11	11
Hawaii	9		9
Utah	282		282
Delaware		989	989
New Mexico		2	2
Virginia	771	52	823
Pennsylvania	92	199	291
Alaska		27	27
Vermont	49		49
Iowa	188		188
District of Columbia	4		4
Tennessee	704	87	791
Kansas	37	633	670
Ohio	92	9	101
Oregon	398	261	659
