state	house	senate	input
Maryland	2	2	4
Florida	15	1	16
Indiana	6		6
Rhode Island	1	2	3
District of Columbia	1		1
Georgia	4	2	6
New York	9		9
Montana	1	1	2
Colorado	3	2	5
Illinois	5	1	6
Louisiana	1	2	3
Nevada	1	1	2
Delaware		2	2
South Dakota		2	2
Tennessee	6	2	8
Missouri	3	1	4
West Virginia	2	2	4
Massachusetts	5	1	6
Connecticut	2	1	3
Arkansas	1	1	2
Iowa	2		2
Wisconsin	1	1	2
Wyoming		3	3
Hawaii	1		1
Washington	3	2	5
Mississippi	1	2	3
Kentucky	4	2	6
New Jersey	5	1	6
Ohio	5	1	6
South Carolina	2		2
North Carolina	8	2	10
Alaska		1	1
New Mexico		1	1
Vermont	1		1
New Hampshire		1	1
Maine	1	2	3
California	15	1	16
Virginia	7	2	9
Utah	2		2
Arizona	2		2
Kansas		3	3
North Dakota		1	1
Pennsylvania	4	2	6
Idaho	1	1	2
Texas	11	2	13
Michigan	5	1	6
Minnesota	2	1	3
Oregon	2	1	3
Alabama	2	2	4
Oklahoma	2	1	3
