name,ticker_purch,tdate_purch,bought_?,s_104,p_104,s_52,p_52,s_26,p_26
"Phillips, Dean",AFL,2020/04/02,2020/07/09,2022/07/07,,2021/07/08,0.5189,2021/01/07,0.2966
"Castor, Kathy",BRK.B,2020/10/05,2021/01/11,2023/01/09,,2022/01/10,,2021/07/12,
"Perdue Jr., David A.",CTSH,2017/06/20,2017/09/26,2019/09/24,-0.16,2018/09/25,0.0729,2018/03/27,0.1253
"Cisneros, Gilbert",WFC,2019/12/06,2020/03/13,2022/03/11,0.6535,2021/03/12,0.3345,2020/09/11,-0.1932
"Perdue Jr., David A.",WFM,2016/09/07,2016/12/14,2018/12/12,,2017/12/13,,2017/06/14,
"Capito, Shelley M.",ACN,2018/04/24,2018/07/31,2020/07/28,0.395,2019/07/30,0.2261,2019/01/29,-0.0521
"Green, Mark",USDP,2020/08/12,2020/11/18,2022/11/16,,2021/11/17,0.7481,2021/05/19,0.7869
"Gottheimer, Josh",ALC,2020/06/03,2020/09/09,2022/09/07,,2021/09/08,0.4989,2021/03/10,0.2348
"Perdue Jr., David A.",GPK,2020/02/25,2020/06/02,2022/05/31,,2021/06/01,0.2294,2020/12/01,0.0594
"Perdue Jr., David A.",CZR,2017/06/30,2017/10/06,2019/10/04,0.4688,2018/10/05,0.7504,2018/04/06,0.3131
"Inhofe, James M.",A,2015/08/24,2015/11/30,2017/11/27,0.6574,2016/11/28,0.0551,2016/05/30,0.0947
"Gianforte, Greg",BTLCY,2020/03/18,2020/06/24,2022/06/22,,2021/06/23,0.5031,2020/12/23,0.383
"Lee, Susie",VRT,2020/10/19,2021/01/25,2023/01/23,,2022/01/24,0.0648,2021/07/26,0.3867
"Whitehouse, Sheldon",AMGN,2016/04/12,2016/07/19,2018/07/17,0.1848,2017/07/18,0.083,2017/01/17,-0.052
"Perdue Jr., David A.",ENTG,2019/07/12,2019/10/18,2021/10/15,1.6821,2020/10/16,0.7019,2020/04/17,0.0834
"Roberts, Pat",BAC,2017/12/13,2018/03/21,2020/03/18,-0.3658,2019/03/20,-0.0915,2018/09/19,-0.0437
"Whitehouse, Sheldon",REGN,2017/05/16,2017/08/22,2019/08/20,-0.3741,2018/08/21,-0.2066,2018/02/20,-0.3126
"Cisneros, Gilbert",COST,2020/12/23,2021/03/31,2023/03/29,,2022/03/30,,2021/09/29,0.2805
"Gottheimer, Josh",APD,2020/02/03,2020/05/11,2022/05/09,,2021/05/10,0.2918,2020/11/09,0.3879
"Frankel, Lois",AXP,2020/10/01,2021/01/07,2023/01/05,,2022/01/06,0.4131,2021/07/08,0.381
