official,104,52,26
"Phillips, Dean",0.5115,0.2797
"Perdue Jr., David A.",0.2188,0.1546,0.0592
"Cisneros, Gilbert",0.7834,0.4569,0.2319
"Capito, Shelley M.",0.1596,0.1039,0.0058
"Green, Mark",0.5267,0.4866
"Gottheimer, Josh",0.4486,0.2481,0.1469
"Inhofe, James M.",0.2951,0.1582,0.1661
"Gianforte, Greg",0.388,0.2319
"Lee, Susie",0.2867,0.1744
"Whitehouse, Sheldon",0.3146,0.1159,0.0542
"Roberts, Pat",0.2831,0.1194,0.1218
"Frankel, Lois",0.2671,0.1412
"Shalala, Donna",0.3236,-0.112,0.0448
"Curtis, John",0.5997,0.3328,0.1612
"Cassidy, William",0.3454,0.1046,0.0531
"Hern, Kevin",0.2997,0.1807
"Wyden, Ronald L.",0.4139,0.2589
"Carper, Thomas R.",0.1256,0.0784,0.195
"Beyer, Donald S.",0.3871,0.2601
"Pelosi, Nancy",0.4452,0.308
"Brooks, Mo",0.2137,0.0517
"Reed, John F.",0.1433,0.2405,0.1926
"Langevin, James R.",0.1116,0.3881,0.3185
"Loeffler, Kelly",0.4496,0.2842
"Scott, Austin",-0.1909,-0.0195
"Hoeven, John",0.2526,0.1006,0.0236
"King Jr., Angus S.",0.4611,0.1037,-0.1018
"Blumenauer, Earl",0.3058,0.2077
"Lowenthal, Alan S.",-0.0169,0.1043
"Moran, Jerry",0.2765,0.0006,0.0044
"Conaway, K. M.",0.2401,0.1338,0.4783
"Murray, Patty",-0.0158,0.0718,0.0702
"Courtney, Joe",0.3809,0.1748
"Perlmutter, Ed",0.1217,0.1187
"McKinley, David B.",0.3498,0.1092
"Wittman, Robert J.",0.2292,0.0684
"Roe, David P.",0.352,0.2472
"Collins, Susan M.",0.0635,0.0722,0.0582
"Foxx, Virginia",0.0434,0.2298
"Coons, Christopher A.",2.4891,0.9891,0.3256
"Rooney, Francis",0.2898,0.1218
"Mast, Brian",0.3295,0.6025
"Marchant, Kenny",0.0154,0.1238
"Malinowski, Tom",0.1569,0.0879,0.0358
"Toomey, Patrick J.",-0.0057,0.064,0.0402
"Brooks, Susan W.",0.374,0.2857
"McCaul, Michael T.",0.3895,0.295
"Sherrill, Mikie",0.4143,0.0594
"Joyce, David P.",0.1189,-0.0132,0.3978
"Dunn, Neal P.",0.1265,0.1478
"Axne, Cynthia",0.5821,0.1703,0.131
"McConnell Jr., A. M.",-0.4003,-0.227,-0.0965
"Miller, Carol D.",0.0661,0.1096,0.2039
"Doggett, Lloyd",0.1244,0.0797
"Clark, Katherine M.",0.1329,0.1303
"Lamborn, Doug",0.2904,0.2869
"Upton, Fred",0.3,0.1697
"Peters, Gary C.",0.194,0.1175,0.0915
"Banks, James E.",0.5796,0.2806
"Timmons, William R.",0.1492,0.0125
"Davis, Susan A.",0.4844,0.1303
"Garcia, Mike",0.8081,0.7152
"Hill, James F.",2.6334,1.2677,1.5143
"Rouda, Harley E.",-0.0161,-0.1046
"Yarmuth, John A.",-0.0963,-0.0863
"Marshall, Roger W.",0.6354,0.5126
"Bustos, Cheri",0.7034,0.3263
"Simpson, Michael K.",0.5541,0.0645
"Gibbs, Bob",0.4777,0.3435
"Fleischmann, Charles J.",0.0092,0.0611
"Cruz, Rafael E.",0.1513,0.024,0.0186
"Rutherford, John",0.141,0.0643
"DelBene, Suzan K.",0.4361,0.1495
"Comer, James",0.8533,0.5358
"Welch, Peter",0.339,0.2218
"Schrader, Kurt",0.234,0.1559
"Crenshaw, Daniel",0.564,0.3423
"Rice, Tom",0.3614,0.0382
"Evans, Dwight",0.7003,0.9205
"Kinzinger, Adam",0.908,0.7143
"Allen, Richard W.",0.516,0.2598
"Price, David E.",0.3811,0.2135
