ticker,104,52,26
AFL,0.2836,0.1013,-0.2066
CTSH,0.0635,0.206,0.2144
WFC,-0.1048,0.0681,0.0353
ACN,0.3493,0.376,0.1501
USDP,0.5237,0.61
ALC,0.4989,0.2348
GPK,-0.0224,-0.0925,0.2992
CZR,0.4645,0.1433,0.1405
A,0.6574,0.0551,0.0947
BTLCY,0.5031,0.383
VRT,0.0648,0.3867
AMGN,0.1575,0.0341,0.0443
ENTG,1.6821,0.7019,0.0834
BAC,0.4307,0.4227,0.3051
REGN,-0.3741,0.0063,-0.1283
COST,0.1654,0.2984,0.4608
APD,0.3826,0.1247,0.7557
AXP,0.1141,0.1866,-0.0195
QCOM,0.0896,0.0283,0.0118
EXEL,0.0781,-0.1704,-0.234
DIS,0.0961,0.2811,0.1683
DISH,-0.4583,-0.3968,-0.2403
AMZN,0.2096,0.1162,0.8372
NLOK,0.3283,0.1746
ABT,0.1797,0.1288,0.0596
MSFT,0.3713,0.1358,0.917
L,0.4223,0.2045
PHM,0.1322,-0.0471
PYPL,0.1837,0.2261,0.3061
SBUX,0.3096,0.2448,0.1505
AAPL,0.3466,0.1908,0.6772
FUPBY,0.2528,0.439
PGR,0.1597,0.1269,0.0324
CRWD,0.819,0.636
KN,-0.0162,-0.1242,-0.1222
PFE,0.1943,0.0939,0.2985
NVEE,1.2093,0.3814
MTX,0.1773,0.2754
VWO,0.0706,0.2141,0.126
UBS,0.3973,0.2631
PBA,-0.0723,-0.2366,-0.2544
T,-0.0354,-0.0475,0.0407
MSCI,0.505,0.1857
BYND,-0.1205,0.8344,0.9412
AXTA,-0.1163,-0.1704,-0.0716
URBN,0.2703,1.0565,0.4639
PHG,0.2545,0.1446
DRE,0.3938,0.263
AMN,0.4619,0.3775
DLR,0.1785,0.0454
HBI,-0.2823,-0.1919,-0.0761
CME,0.2404,0.0076
SCHW,0.7917,0.3167,0.0193
CMRE,-0.631,-0.3017,-0.1672
PBYI,-0.6802,-0.6739,-0.7774
SPLK,0.0027,-0.3091
GE,0.2206,0.026,-0.0305
USAC,0.386,0.3273
IBM,-0.1179,-0.0272,-0.0075
GDDY,0.153,0.1065
PRU,0.3705,0.1237,-0.0444
CMCSA,0.2364,0.2322,0.1832
GILD,-0.2969,-0.0605,-0.0239
OKE,0.4196,0.1913,-0.3479
PSQ,-0.2545,-0.1836
MEDP,-0.0721,0.1181
UL,0.0162,0.0616,0.1174
AM,0.1138,0.0983
ITW,0.2185,0.0995,0.0138
UA,-0.6502,-0.5698,-0.1958
XOM,-0.0798,-0.0348,-0.0186
NTTYY,0.0673,-0.0367
LRCX,1.5317,0.4444,0.138
HL,1.6834,-0.0044,-0.1878
JNJ,0.1166,0.0504,0.1664
EL,0.0629,0.2497,0.2156
SRLP,-0.199,0.4271
CSX,0.2644,0.2195,0.0635
WBA,-0.2359,0.0181,-0.0286
CLX,0.7233,0.0369,0.0228
IRBT,0.0176,0.3187
FDX,0.7193,-0.0016,0.007
AVY,1.0971,-0.0015,0.2845
SLB,0.0195,-0.0729,-0.4091
BLL,0.1139,0.1774
ETY,-0.3646,-0.0534,0.0715
FEYE,0.1238,0.2015,0.0641
GFL,0.192,0.1527
EVOP,-0.0587,-0.0026,0.0395
TWX,-0.0759
POR,0.3799,0.1078
NEM,-0.139,-0.011
SYF,0.4508,0.1676,0.1251
C,-0.0439,0.3204,0.113
UNH,0.1188,0.0614,0.1985
SMMNY,0.2402,0.069
HD,0.2584,0.0807,0.5986
PEP,0.0439,0.0253,0.0744
NSRGY,0.1323,0.0593
CVX,-0.1727,0.1723,0.0304
XPO,0.8864,0.4512,0.0763
KMTUY,0.4946,0.2817
ACI,1.1194,0.3095
DASTY,0.3407,0.3231
BAYRY,0.1243,0.04,0.25
SHLX,0.104,0.1478,-0.4957
PNQI,0.3174,0.1355,0.1464
WAB,0.3751,0.218
TRGP,0.2792,-0.1226,0.3063
GEL,0.8536,0.6997
RF,0.0308,0.2092,0.1283
AIZ,0.5548,0.3232
PSA,0.2362,0.1035,0.0806
REXR,0.5089,0.1591,0.1914
MCD,0.1688,0.0433,0.3856
SUN,-0.1211,0.1252,0.0263
BWA,-0.381,-0.2178,0.0657
MO,0.0134,0.228
EMR,-0.1376,0.3752,0.1983
NEE,0.1695,0.1131,0.365
AVGO,0.35,0.2461
DWAHY,0.2322,0.1929
REYN,-0.0359,-0.0567
HLIO,0.7084,0.6068
MDT,0.1459,0.1757,0.0784
DEO,0.3903,0.1841,0.1992
MRK,0.5206,0.2539,0.1074
RXT,-0.2969,-0.0062
NVS,0.0478,0.0074,0.2274
HCA,0.4044,0.4453
UHAL,0.7472,0.4761
KSS,0.4355,0.7681,0.3193
NFLX,0.7554,0.2486,0.1328
BABA,-0.166,-0.0004,0.5296
FB,0.2326,0.1595,0.4307
CEQP,1.0279,0.9374
NFG,0.4405,0.261
VRX,-0.8014,0.91,0.1583
ET,0.4266,0.4088,-0.3764
TCOM,0.5727,0.2383
TJX,0.2313,0.2202,0.1178
KR,0.574,0.3075,0.1545
HALO,-0.302,-0.1247
CVS,0.1256,0.0674,0.0957
NKE,0.3458,0.094,0.0749
NVDA,1.4741,0.7645,0.3894
JPM,0.1798,0.0684,0.1677
OLP,0.6811,0.1739
ANIK,-0.2886,-0.0688,-0.2046
EXAS,0.0622,0.0949
LYB,0.0834,0.3596,0.375
APA,-0.3566,-0.0191,-0.0768
F,0.8252,0.3499,-0.2428
BKNG,0.4945,0.314
FMC,0.0057,0.0279
EXC,0.359,0.1609,0.0863
SONVY,0.5896,0.4588
NXPI,0.8933,0.3817
AZO,0.432,0.1618
OXY,-0.3035,-0.5813,-0.57
PHR,0.1988,0.3129
ABBV,0.308,0.1035,0.2604
PWR,1.124,0.7665
CL,0.1321,0.1258,0.0525
TGT,0.3571,0.2108,0.9233
WM,0.2452,0.2999,0.0815
RHHBY,0.1384,0.1131,-0.0235
CIBR,0.1716,0.0498
WMT,0.3668,0.1104,0.0083
XLU,0.1709,0.103,-0.0375
LOW,0.2805,0.1197
OSK,0.5907,0.8509
VMC,0.4421,0.3354
KLAC,0.6583,0.5969
FCFS,0.1518,0.2623
WELL,0.614,0.1482
PGNY,1.0677,0.5798
ALB,1.4852,0.9552,0.0926
BA,0.5392,0.2867,0.2746
DD,0.194,0.3137,0.204
KDP,0.2432,0.0781,0.0124
PAA,-0.0166,-0.1229,-0.1959
VNO,0.0957,-0.2186
LGF-B,0.0847,-0.4464,-0.3065
QDEL,-0.4375,0.0043
PPBI,1.3529,0.3425
INTC,0.0674,0.0665,0.2434
PTNQ,0.0414,0.0971
PI,1.1846,0.216
ATRC,0.7646,0.2042
AQUA,0.8435,0.3565
CERN,0.0121,0.1801,0.2631
DAVA,0.4601,0.5464
IHE,-0.0508,-0.1424,-0.0845
BIDU,0.0995,0.2702,0.0694
LYV,0.8637,0.4782,0.8877
NOC,0.0935,0.0033,-0.0443
FOUR,-0.3396,0.0649
SBGSY,0.6017,0.3617
IART,0.4103,0.1477
CSCO,0.4292,0.2157,0.0735
VFC,-0.1217,0.1588,0.0008
JCI,0.3738,-0.214,-0.0122
KTOS,-0.2108,0.0606
TSM,1.9333,0.3058,0.3764
NGL,-0.2409,-0.3681
KMI,0.0726,-0.0786,-0.0458
BAX,0.72,0.2206,0.163
SPY,0.154,0.0354,0.187
RGLD,-0.198,-0.0601
