ticker,104,52,26
TGT,0.6615,0.2455,0.0801
SO,-0.0173,-0.0534,-0.0104
BOOM,-0.2631,-0.598,-0.3695
WY,0.1374,0.1347,-0.1048
MA,0.7486,0.2949,0.0981
BA,0.5044,0.3692,0.1209
ACA,1.2342,0.8718,0.5121
BLK,0.2057,0.0239,-0.0281
DHR,0.5681,0.2051,0.0709
ABEV,-0.3627,-0.3685,0.0962
ENB,-0.156,-0.129,-0.1407
INTC,0.2535,0.1193,0.0436
DUK,0.1047,-0.0156,-0.0084
FEYE,0.049,-0.0218,-0.107
ACN,0.4518,0.1865,0.0427
ALB,2.5071,0.6015,0.0094
CVS,0.0654,0.0168,0.049
CGNX,0.439,0.1349,-0.0223
SLB,-0.3575,-0.1641,-0.0312
NVS,0.1523,0.0554,0.0694
AMZN,0.7537,0.4062,0.1889
GOOGL,0.4768,0.1304,0.0665
DOMO,1.1709,-0.3708,-0.4184
M,-0.2466,-0.2747,-0.0345
LGF-B,-0.3094,-0.4172,-0.2019
PSA,-0.0692,-0.1434,-0.0813
CEF,0.401,0.2678,0.0929
DISCA,0.0616,0.1078,0.0581
DIS,0.2016,0.098,0.0559
AAPL,0.7914,0.3109,0.1005
CMRE,-0.6287,-0.2133,0.0434
CVX,0.0025,-0.018,-0.0531
KDP,0.2652,-0.0255,-0.0084
CMI,0.4779,0.1955,0.1431
CZR,0.6987,0.6924,0.3693
AVGO,0.4553,0.0182,0.0732
PYPL,0.774,0.268,0.0793
BMY,0.0603,0.1588,0.1133
BAX,0.5644,0.2278,-0.024
BAC,0.7007,0.4589,0.1439
SMECF,0.1111,-0.1575,0.1801
VFC,0.1223,0.1731,0.0312
AMT,0.3271,0.0191,0.062
COP,-0.0106,-0.0454,-0.0533
HON,0.1741,0.1619,-0.0009
MRK,0.2699,0.1099,-0.0511
MCK,-0.1394,0.1014,0.009
ABT,0.3807,0.119,0.053
DD,0.2364,0.1588,0.0751
QCOM,0.0301,0.0797,0.0381
DISH,-0.4577,-0.3938,-0.152
HBI,-0.2903,-0.167,-0.0815
XENT,-0.2945,-0.2908,-0.4994
ES,0.3828,0.1824,0.0467
NSP,0.3075,0.0237,-0.2877
PFE,0.2666,0.0795,0.0182
ETR,0.2661,0.0359,0.0466
DWDP,-0.4238,-0.2483,-0.0541
SHLX,-0.3478,-0.1825,-0.1483
XLU,-0.007,-0.0751,-0.096
GILD,-0.1529,-0.086,-0.0548
WCN,0.72,0.1485,0.0307
CMPGY,0.1874,0.0032,-0.0055
GM,-0.0794,0.0195,0.0069
CATY,-0.0522,-0.0774,-0.142
BDX,0.1881,0.1025,0.0893
AXTA,-0.034,0.0072,0.0366
KN,-0.0595,-0.2209,-0.0793
FIVE,0.5845,-0.4544,0.0358
GS,0.0463,0.0188,-0.0367
TMO,0.6687,0.3078,0.1217
CHKP,0.0517,0.0266,-0.0015
FDX,0.5369,-0.1063,-0.1488
DVN,-0.3402,-0.191,-0.0654
NFLX,0.8947,0.4717,0.2536
SSNC,0.5016,0.2563,0.1395
SPLK,-0.2534,0.1656,0.2955
TRP,-0.0132,-0.1396,-0.0404
CSCO,0.3609,0.2639,0.1586
ADDYY,0.4486,0.4238,0.3417
IBM,-0.1286,-0.0844,-0.0479
CEQP,-0.1423,-0.6169,-0.0834
PAA,-0.2935,-0.3292,-0.1661
AMGN,0.1674,0.0748,0.0804
BIDU,-0.0481,-0.0783,-0.0601
LSCC,0.0633,-0.106,-0.0664
NWL,-0.433,-0.0196,0.0709
PDCE,-0.1954,-0.7786,-0.4835
PLNT,0.1555,-0.3746,-0.1473
BOIVF,0.0569,-0.06,-0.1706
JNJ,0.1559,0.0502,0.0088
SNY,-0.0048,-0.0808,0.0969
INCY,-0.3836,-0.4557,-0.2734
WMT,0.3372,0.1334,0.0452
ETP,-0.015,0.0114,0.0057
EMR,-0.0542,0.0526,-0.0217
NVDA,2.2161,0.7736,0.3554
RIG,-0.8089,-0.6169,-0.0962
CRM,0.3325,0.1217,-0.0151
PG,0.2994,0.1722,0.0747
URBN,0.2382,0.8466,0.2875
TUP,-0.5543,-0.203,-0.0219
MCHP,0.3764,0.1441,-0.0466
ANTM,0.5688,0.0632,-0.0951
SITE,1.7831,0.3226,0.3966
JEF,0.229,0.1427,-0.0625
HE,0.0937,0.0176,0.1104
UNP,0.171,0.1048,0.0199
CLX,0.422,0.2338,0.1764
BAYRY,-0.1483,0.0979,-0.0671
T,-0.0572,0.0541,0.0258
IJH,0.3439,-0.0513,0.0152
DNTUY,-0.3795,-0.2599,-0.2748
HOLX,0.3604,0.1375,0.0718
EXEL,-0.0359,-0.1988,-0.1092
LOW,0.2042,0.2425,0.0974
MDLZ,0.2119,0.0148,-0.0378
TSLA,2.0129,0.0081,-0.0646
MET,0.1361,0.0315,0.0787
PAYX,0.112,0.2031,0.0596
RSPP,0.4238,0.5328,0.1177
RF,-0.0323,0.0916,0.0208
TJX,0.2388,0.0868,-0.0151
HYH,0.9488,0.5553,0.4155
ADI,0.2736,0.1653,0.0463
DAL,0.1901,0.1868,0.0221
MSFT,0.7389,0.2757,0.1772
ROP,0.1064,0.1793,0.0655
SU,-0.2301,-0.1467,-0.0871
RIO,0.2863,-0.2532,-0.1976
MOS,-0.0222,-0.0728,-0.1081
SBUX,0.3075,0.1657,0.0787
VZ,0.0641,0.0266,-0.0075
G,0.2429,-0.2222,0.1118
BIIB,-0.2169,-0.2094,-0.2365
MCD,0.2371,0.1523,0.028
FB,0.4868,0.2437,0.1188
BASFY,-0.3396,-0.0806,0.0582
BWXT,0.5007,0.5743,0.2693
GPK,0.3348,0.2338,0.1843
RL,-0.2764,-0.0921,-0.2879
FII,-0.0302,0.1279,0.1023
KMI,-0.1739,-0.1981,-0.1367
BKU,0.213,-0.3141,-0.1033
AKAM,0.3224,0.2501,0.1532
MPLX,-0.2215,-0.3187,-0.1337
WETF,-0.3002,0.0474,-0.1317
XBI,0.51,0.3246,0.1825
PEP,0.2055,0.1509,0.0795
SHY,-0.0015,-0.0005,0.0045
WLK,1.2713,0.5487,0.28
RHHBY,0.0922,0.0728,-0.0056
WFC,-0.1666,-0.1592,-0.0779
LMT,0.1893,0.0786,0.0873
SDY,0.1416,-0.0284,-0.0444
UNICY,0.3957,0.149,-0.039
UNH,0.458,0.2244,0.1442
TD,-0.0091,0.0989,0.0819
GLW,0.2842,0.0518,0.0429
C,-0.0149,0.0162,-0.0205
BERY,0.0516,-0.3241,-0.2669
NOC,0.1195,0.1137,-0.0216
GSLC,0.478,0.1833,0.0111
V,0.4097,0.2183,0.047
CAG,0.2421,0.3007,0.1482
MGPI,-0.2937,-0.5763,-0.4339
LYV,1.0473,0.3687,0.2503
LRCX,1.1096,0.4258,0.1526
PAGP,-0.5798,-0.3576,0.0171
ORCL,0.1048,0.0785,0.0815
CB,0.0033,0.0832,0.0036
LUKOY,-0.0111,-0.3975,-0.0321
CVET,-0.218,-0.7036,-0.4637
PCLN,0.6424,0.1453,0.0364
IONS,-0.3792,-0.142,-0.1532
MU,0.6125,0.3783,0.0487
ARCC,0.1188,0.0507,-0.0037
RDS-B,-0.2296,0.0295,0.0888
APLE,-0.1065,-0.3467,-0.0311
DBP,-0.0486,-0.1068,-0.06
TSCO,0.2459,-0.0889,-0.2705
LYB,0.0593,0.1597,0.0398
FOX,0.1621,-0.129,-0.2801
YEXT,-0.1019,0.0005,0.0317
WTW,0.2708,0.1287,0.0567
PPG,0.1731,0.1686,-0.0267
BDN,-0.0507,-0.3243,0.0093
IVV,0.414,0.082,0.072
HD,0.6071,0.1883,0.0806
ZBRA,1.6979,0.3676,0.1977
VCYT,0.3697,0.9125,-0.1105
GDDY,0.2075,0.2436,0.3465
SPY,0.2983,0.1068,0.0243
MDT,0.1913,0.1275,0.1047
LGP,-0.1042,0.2003,0.2107
PSX,-0.2201,-0.0132,0.0092
COST,0.5358,0.2111,0.0865
XOM,-0.208,-0.1584,-0.1166
DBD,0.5751,-0.2814,0.1726
WBA,-0.2319,-0.1032,-0.0766
KSS,-0.1015,0.0309,-0.13
OXM,-0.1216,-0.0089,-0.0811
KHC,-0.1802,-0.1143,-0.0266
PRGO,-0.3397,0.044,-0.0046
CP,-0.2222,0.2514,0.2902
XSD,0.2584,0.1938,0.0933
CAT,0.1882,-0.0581,-0.0299
SYF,0.2547,0.2251,-0.0554
JPM,0.2021,0.1161,0.0485
KO,0.0846,0.0409,0.0417
ESRX,-0.0308,0.1308,0.0304
BABA,-0.0103,-0.0331,-0.0754
BIF,0.222,-0.1216,-0.082
SSYS,-0.7592,-0.6199,0.0739
TER,2.1111,0.5183,0.3208
PLD,0.8574,0.1092,0.0429
GBDC,-0.0974,-0.3007,0.0301
IXP,-0.0356,-0.0922,-0.0164
LVS,-0.1105,-0.0436,0.2027
ETY,0.0164,-0.0831,0.0163
KR,0.8615,0.5564,0.2235
IYT,0.2953,0.1733,0.119
UMPQ,-0.0952,0.0138,-0.0535
BRK-B,0.193,0.1454,0.046
MKL,0.1471,-0.0762,0.0336
DTE,0.2673,0.0941,0.0043
SIEGY,0.0678,-0.1724,-0.0553
TRGP,0.1851,-0.1747,0.0014
IVZ,0.1867,-0.0147,-0.1063
GOOG,0.8568,0.1745,0.0757
TFX,0.2714,0.1676,0.0948
COF,0.1846,0.0878,0.0489
AMBA,0.9559,0.0638,0.1806
COHR,-0.3848,-0.3154,-0.1803
EPOKY,1.165,-0.109,0.1205
FANG,0.2489,0.2709,-0.1786
GE,-0.3661,-0.2408,-0.1084
UL,0.0994,0.0621,0.0612
TRIP,-0.2725,-0.234,-0.0541
KAR,0.0786,0.2344,0.0164
RBGLY,-0.1704,-0.122,-0.1474
BYND,-0.2137,0.0962,-0.0015
MO,0.4778,0.373,0.1849
WH,0.3217,-0.3287,-0.0566
CCS,1.0592,0.3099,0.0948
RDUS,-0.1027,-0.4238,0.1384
GD,-0.0786,0.0309,-0.0203
FRT,0.0323,-0.1328,-0.0706
WPC,0.105,-0.0692,0.1614
UPS,-0.018,0.0278,0.1104
PCAR,-0.106,-0.2427,-0.0353
MPC,0.0456,-0.4046,-0.5327
HSIC,0.3669,0.2144,0.115
WEC,0.4489,0.1668,0.0376
IP,0.1695,-0.0682,-0.1691
ENTG,2.1472,0.7643,0.497
CMA,0.1496,0.3686,-0.0441
MPW,0.3685,-0.0379,-0.0147
HACK,0.3112,0.2136,0.0672
OXY,-0.3372,-0.2955,-0.2651
NOV,-0.5717,-0.3233,-0.2896
F,-0.1989,-0.0396,-0.0417
ESNT,-0.0266,0.0634,0.1027
WM,0.3759,0.1232,0.0528
AYI,0.3672,0.1969,0.2488
REGN,-0.1865,0.0257,-0.061
NWSA,0.9427,0.0413,-0.1569
EXR,0.2283,0.0819,-0.0118
BK,0.0269,-0.212,-0.118
