name,ticker_purch,tdate_purch,bought_?,s_104,p_104,s_52,p_52,s_26,p_26
"Roberts, Pat",TGT,2018/07/05,2018/07/05,2020/07/02,0.5707,2019/07/04,0.1558,2019/01/03,-0.134
"Foxx, Virginia",SO,2019/12/09,2019/12/09,2021/12/06,0.0483,2020/12/07,-0.0023,2020/06/08,-0.0404
"Shalala, Donna",BOOM,2019/06/04,2019/06/04,2021/06/01,-0.2631,2020/06/02,-0.598,2019/12/03,-0.3695
"Perdue Jr., David A.",FDC,2018/11/06,2018/11/06,2020/11/03,,2019/11/05,,2019/05/07,
"Moran, Jerry",WY,2018/12/06,2018/12/06,2020/12/03,0.1374,2019/12/05,0.1347,2019/06/06,-0.1048
"Roberts, Pat",MA,2019/11/12,2019/11/12,2021/11/09,0.2424,2020/11/10,0.2234,2020/05/12,-0.0015
"Roberts, Pat",BA,2018/02/05,2018/02/05,2020/02/03,-0.0476,2019/02/04,0.1765,2018/08/06,0.0346
"Perdue Jr., David A.",ACA,2018/12/21,2018/12/21,2020/12/18,1.2568,2019/12/20,0.8779,2019/06/21,0.5181
"Capito, Shelley M.",BLK,2018/04/05,2018/04/05,2020/04/02,-0.2222,2019/04/04,-0.1837,2018/10/04,-0.1205
"Inhofe, James M.",DHR,2018/07/26,2018/07/26,2020/07/23,0.9278,2019/07/25,0.3739,2019/01/24,0.0189
"Shalala, Donna",ABEV,2019/03/15,2019/03/15,2021/03/12,-0.3627,2020/03/13,-0.3685,2019/09/13,0.0962
"Capito, Shelley M.",ENB,2017/09/08,2017/09/08,2019/09/06,-0.1558,2018/09/07,-0.1652,2018/03/09,-0.2148
"Smith, Tina",MSTY.PA,2018/10/30,2018/10/30,2020/10/27,,2019/10/29,,2019/04/30,
"Hoeven, John",INTC,2017/01/20,2017/01/20,2019/01/18,0.3323,2018/01/19,0.211,2017/07/21,-0.0596
"Perdue Jr., David A.",DUK,2017/12/26,2017/12/26,2019/12/24,0.0732,2018/12/25,0.0006,2018/06/26,-0.0581
"Perdue Jr., David A.",FEYE,2017/02/07,2017/02/07,2019/02/05,0.6726,2018/02/06,0.268,2017/08/08,0.2939
"Capito, Shelley M.",ACN,2018/04/05,2018/04/05,2020/04/02,0.0396,2019/04/04,0.1696,2018/10/04,0.1408
"Perdue Jr., David A.",ALB,2019/11/08,2019/11/08,2021/11/05,2.9949,2020/11/06,0.5916,2020/05/08,-0.0817
"Collins, Susan M.",CVS,2015/01/13,2015/01/13,2017/01/10,-0.1596,2016/01/12,-0.0243,2015/07/14,0.1182
"Capito, Shelley M.",BLK,2018/04/24,2018/04/24,2020/04/21,-0.0981,2019/04/23,-0.0914,2018/10/23,-0.2564
"Whitehouse, Sheldon",CGNX,2019/04/18,2019/04/18,2021/04/15,0.5112,2020/04/16,-0.1898,2019/10/17,-0.1035
"Perdue Jr., David A.",SLB,2017/10/30,2017/10/30,2019/10/28,-0.4504,2018/10/29,-0.1877,2018/04/30,0.0764
"Whitehouse, Sheldon",UTX,2014/04/29,2014/04/29,2016/04/26,,2015/04/28,,2014/10/28,
"Cassidy, William",NVS,2019/01/25,2019/01/25,2021/01/22,0.258,2020/01/24,0.2242,2019/07/26,0.2065
"Carper, Thomas R.",DHR,2017/08/31,2017/08/31,2019/08/29,0.7023,2018/08/30,0.2431,2018/03/01,0.1646
"Collins, Susan M.",AMZN,2018/10/02,2018/10/02,2020/09/29,0.5885,2019/10/01,-0.1244,2019/04/02,-0.089
