official,ticker,buy_date,sell_date,profit
"Capito, Shelley M.",JNJ,2018/04/05,2018/07/26,0.19
"Whitehouse, Sheldon",GOOGL,2016/11/15,2017/03/07,76.69
"Shalala, Donna",AVGO,2019/05/22,2019/09/11,24.65
"Malinowski, Tom",CSLT,2019/10/21,2020/02/10,-0.22
"Cassidy, William",CVS,2019/01/25,2019/05/17,-13.01
"Hoeven, John",MCD,2016/08/22,2016/12/12,6.56
"Perdue Jr., David A.",LGF-B,2018/11/16,2019/03/08,-4.05
"Hoeven, John",FB,2017/05/17,2017/09/06,24.48
"Perdue Jr., David A.",KHC,2016/01/20,2016/05/11,15.71
"Perdue Jr., David A.",BAC,2016/06/27,2016/10/17,3.64
"Hoeven, John",KSS,2017/02/15,2017/06/07,-6.86
"Peters, Gary C.",VZ,2016/09/30,2017/01/20,0.62
"Perdue Jr., David A.",C,2018/04/24,2018/08/14,0.21
"Perdue Jr., David A.",BAC,2016/03/10,2016/06/30,0.03
"Whitehouse, Sheldon",GOOGL,2014/04/29,2014/08/19,65.75
"Shalala, Donna",SGSOY,2019/04/05,2019/07/26,-0.52
"Whitehouse, Sheldon",BRK-B,2017/01/30,2017/05/22,0.64
"Whitehouse, Sheldon",NFLX,2015/05/07,2015/08/27,35.51
"Roberts, Pat",AAPL,2015/05/28,2015/09/17,-4.11
"Murray, Patty",CMCSA,2017/03/16,2017/07/06,0.58
"Perdue Jr., David A.",HON,2016/05/05,2016/08/25,3.09
"Whitehouse, Sheldon",NVDA,2019/05/17,2019/09/06,4.94
"Malinowski, Tom",CSLT,2019/10/16,2020/02/05,-0.15
"Hoeven, John",CCI,2019/03/22,2019/07/12,6.71
"Whitehouse, Sheldon",BA,2017/01/24,2017/05/16,23.21
"Whitehouse, Sheldon",DISH,2017/08/24,2017/12/14,-8.23
"Whitehouse, Sheldon",TMUS,2017/01/24,2017/05/16,5.8
"Carper, Thomas R.",NPK,2017/08/31,2017/12/21,1.72
"Roberts, Pat",MSFT,2019/10/23,2020/02/12,47.32
"Shalala, Donna",TCEHY,2019/01/29,2019/05/21,-0.65
"Perdue Jr., David A.",SPY,2019/10/11,2020/01/31,26.51
"Beyer, Donald S.",UNH,2019/12/23,2020/04/13,-32.76
"Perdue Jr., David A.",RF,2018/06/25,2018/10/15,-1.01
"Perdue Jr., David A.",T,2019/02/05,2019/05/28,2.58
"Hoeven, John",NGG,2017/03/02,2017/06/22,-1.68
"Inhofe, James M.",HBI,2017/04/20,2017/08/10,2.04
"Perdue Jr., David A.",AMZN,2017/12/04,2018/03/26,376.52
"Roberts, Pat",NFLX,2018/04/23,2018/08/13,18.98
"Peters, Gary C.",ABBV,2015/09/10,2015/12/31,0.05
"Perdue Jr., David A.",MRK,2017/09/29,2018/01/19,-2.74
"Whitehouse, Sheldon",SBUX,2016/08/18,2016/12/08,3.13
"Capito, Shelley M.",NKE,2016/01/21,2016/05/12,-2.28
"Shalala, Donna",EXEL,2019/02/06,2019/05/29,-2.93
"Perdue Jr., David A.",LGF-B,2018/12/11,2019/04/02,-0.76
"Roberts, Pat",BAC,2017/12/13,2018/04/04,0.33
"Perdue Jr., David A.",LYV,2016/01/29,2016/05/20,0.42
"Perdue Jr., David A.",AR,2015/01/14,2015/05/06,8.41
"Perdue Jr., David A.",RF,2017/05/18,2017/09/07,-0.7
"Collins, Susan M.",TMO,2018/06/04,2018/09/24,28.93
"Hoeven, John",SBUX,2017/04/21,2017/08/11,-7.2
"Reed, John F.",WETF,2016/11/23,2017/03/15,-1.68
"Whitehouse, Sheldon",NWL,2016/02/12,2016/06/03,13.37
"Murray, Patty",TAP,2017/03/16,2017/07/06,-11.61
"Roberts, Pat",ETY,2015/03/06,2015/06/26,-0.03
"Reed, John F.",ADI,2017/06/19,2017/10/09,7.23
"Capito, Shelley M.",CB,2018/04/05,2018/07/26,0.55
"Perdue Jr., David A.",PAA,2016/09/13,2017/01/03,4.91
"Perdue Jr., David A.",BAC,2016/04/15,2016/08/05,0.79
"Capito, Shelley M.",AAPL,2016/03/22,2016/07/12,-2.21
"DelBene, Suzan K.",MSFT,2019/12/31,2020/04/21,12.78
"Perdue Jr., David A.",FDX,2019/09/26,2020/01/16,14.18
"Perdue Jr., David A.",BAX,2015/08/27,2015/12/17,-0.65
"Whitehouse, Sheldon",MCD,2018/05/07,2018/08/27,-6.12
"Roberts, Pat",NFLX,2017/11/08,2018/02/28,97.35
"Perdue Jr., David A.",DIS,2016/12/07,2017/03/29,11.37
"Collins, Susan M.",WEX,2019/05/21,2019/09/10,-3.05
