official,ticker,buy_date,sell_date,profit
"Capito, Shelley M.",JNJ,2018/04/05,2018/05/03,-7.86
"Whitehouse, Sheldon",GOOGL,2016/11/15,2016/12/13,45.39
"Shalala, Donna",AVGO,2019/05/22,2019/06/19,4.38
"Malinowski, Tom",CSLT,2019/10/21,2019/11/18,-0.14
"Cassidy, William",CVS,2019/01/25,2019/02/22,-3.71
"Hoeven, John",MCD,2016/08/22,2016/09/19,0.5
"Perdue Jr., David A.",LGF-B,2018/11/16,2018/12/14,-4.26
"Hoeven, John",FB,2017/05/17,2017/06/14,4.18
"Perdue Jr., David A.",KHC,2016/01/20,2016/02/17,3.28
"Perdue Jr., David A.",BAC,2016/06/27,2016/07/25,1.93
"Hoeven, John",KSS,2017/02/15,2017/03/15,-3.38
"Peters, Gary C.",VZ,2016/09/30,2016/10/28,-3.83
"Perdue Jr., David A.",C,2018/04/24,2018/05/22,1.59
"Perdue Jr., David A.",BAC,2016/03/10,2016/04/07,-0.22
"Whitehouse, Sheldon",GOOGL,2014/04/29,2014/05/27,39.13
"Shalala, Donna",SGSOY,2019/04/05,2019/05/03,0.45
"Whitehouse, Sheldon",BRK-B,2017/01/30,2017/02/27,6.69
"Whitehouse, Sheldon",NFLX,2015/05/07,2015/06/04,8.61
"Roberts, Pat",AAPL,2015/05/28,2015/06/25,-0.8
"Murray, Patty",CMCSA,2017/03/16,2017/04/13,-0.59
"Perdue Jr., David A.",HON,2016/05/05,2016/06/02,0.47
"Whitehouse, Sheldon",NVDA,2019/05/17,2019/06/14,-3.8
"Malinowski, Tom",CSLT,2019/10/16,2019/11/13,-0.01
"Whitehouse, Sheldon",BA,2017/01/24,2017/02/21,15.54
"Whitehouse, Sheldon",DISH,2017/08/24,2017/09/21,-3.7
"Whitehouse, Sheldon",TMUS,2017/01/24,2017/02/21,2.88
"Carper, Thomas R.",NPK,2017/08/31,2017/09/28,6.78
"Roberts, Pat",MSFT,2019/10/23,2019/11/20,13.12
"Shalala, Donna",TCEHY,2019/01/29,2019/02/26,0.08
"Perdue Jr., David A.",SPY,2019/10/11,2019/11/08,10.57
"Perdue Jr., David A.",RF,2018/06/25,2018/07/23,-0.28
"Roberts, Pat",ETY,2018/02/05,2018/03/05,0.63
"Perdue Jr., David A.",T,2019/02/05,2019/03/05,0.34
"Hoeven, John",NGG,2017/03/02,2017/03/30,2.69
"Inhofe, James M.",HBI,2017/04/20,2017/05/18,-1.43
"Roberts, Pat",NFLX,2018/04/23,2018/05/21,4.51
"Peters, Gary C.",ABBV,2015/09/10,2015/10/08,-4.03
"Perdue Jr., David A.",MRK,2017/09/29,2017/10/27,-4.52
"Whitehouse, Sheldon",SBUX,2016/08/18,2016/09/15,-1.86
"Capito, Shelley M.",NKE,2016/01/21,2016/02/18,-1.64
"Shalala, Donna",EXEL,2019/02/06,2019/03/06,-0.11
"Perdue Jr., David A.",KR,2019/08/08,2019/09/05,1.35
"Perdue Jr., David A.",LGF-B,2018/12/11,2019/01/08,1.08
"Roberts, Pat",BAC,2017/12/13,2018/01/10,1.39
"Perdue Jr., David A.",LYV,2016/01/29,2016/02/26,-0.69
"Perdue Jr., David A.",AR,2015/01/14,2015/02/11,4.28
"Perdue Jr., David A.",RF,2017/05/18,2017/06/15,0.47
"Collins, Susan M.",TMO,2018/06/04,2018/07/02,-8.29
"Hoeven, John",SBUX,2017/04/21,2017/05/19,0.51
"Reed, John F.",WETF,2016/11/23,2016/12/21,1.29
"Whitehouse, Sheldon",NWL,2016/02/12,2016/03/11,6.52
"Murray, Patty",TAP,2017/03/16,2017/04/13,-2.97
"Reed, John F.",ADI,2017/06/19,2017/07/17,0.85
"Capito, Shelley M.",CB,2018/04/05,2018/05/03,-5.72
"Perdue Jr., David A.",PAA,2016/09/13,2016/10/11,4.55
"Capito, Shelley M.",AAPL,2016/03/22,2016/04/19,0.22
"DelBene, Suzan K.",MSFT,2019/12/31,2020/01/28,7.3
"Perdue Jr., David A.",FDX,2019/09/26,2019/10/24,9.03
"Perdue Jr., David A.",BAX,2015/08/27,2015/09/24,-3.08
"Whitehouse, Sheldon",MCD,2018/05/07,2018/06/04,-5.96
"Roberts, Pat",NFLX,2017/11/08,2017/12/06,-11.24
"Perdue Jr., David A.",DIS,2016/12/07,2017/01/04,5.62
"Collins, Susan M.",WEX,2019/05/21,2019/06/18,1.45
"Shalala, Donna",NVCR,2019/06/19,2019/07/17,8.19
