official,ticker,tdate_purch_og,tdate_purch_edited,0. one_week,profit one_week,1. two_weeks,profit two_weeks,2. four_weeks,profit four_weeks,3. eight_weeks,profit eight_weeks,4. sixteen_weeks,profit sixteen_weeks,5. thirty_two_weeks,profit thirty_two_weeks,6. year,profit year
"Yarmuth, John A.",SPGI,2020/07/01,2020/07/01,2020/07/08,0.0531,2020/07/15,0.0639,2020/07/29,0.0653,2020/08/26,0.0899,2020/10/21,0.0258,2021/02/10,0.004,2021/06/30,0.233
"Green, Mark",PBFX,2020/11/09,2020/11/09,2020/11/16,0.0362,2020/11/23,0.1273,2020/12/07,0.2167,2021/01/04,0.1298,2021/03/01,0.5009,2021/06/21,0.8196,2021/11/08,0.6608
"Foxx, Virginia",CVI,2020/03/10,2020/03/10,2020/03/17,-0.1193,2020/03/24,-0.2001,2020/04/07,-0.1555,2020/05/05,0.0946,2020/06/30,-0.0584,2020/10/20,-0.4334,2021/03/09,0.1516
"Gianforte, Greg",NVEE,2020/03/11,2020/03/11,2020/03/18,-0.2594,2020/03/25,-0.2508,2020/04/08,-0.0793,2020/05/06,0.0,2020/07/01,0.1341,2020/10/21,0.3479,2021/03/10,1.4104
"Roberts, Pat",ZNGA,2014/11/07,2014/11/07,2014/11/14,0.0833,2014/11/21,0.0734,2014/12/05,0.006,2015/01/02,0.0675,2015/02/27,-0.0893,2015/06/19,0.1905,2015/11/06,0.0099
"Perdue Jr., David A.",URBN,2017/06/23,2017/06/23,2017/06/30,0.0595,2017/07/07,0.0389,2017/07/21,0.0232,2017/08/18,0.0955,2017/10/13,0.2895,2018/02/02,0.8859,2018/06/22,1.6344
"Perdue Jr., David A.",VIAC,2020/02/26,2020/02/26,2020/03/04,-0.0895,2020/03/11,-0.2168,2020/03/25,-0.3987,2020/04/22,-0.3946,2020/06/17,-0.0576,2020/10/07,0.1431,2021/02/24,1.569
"Cisneros, Gilbert",ADBE,2020/12/31,2020/12/31,2021/01/07,-0.0479,2021/01/14,-0.0601,2021/01/28,-0.0617,2021/02/25,-0.0635,2021/04/22,0.0214,2021/08/12,0.2663,2021/12/30,0.1501
"Hill, James F.",AAWW,2019/12/19,2019/12/19,2019/12/26,-0.0081,2020/01/02,-0.0011,2020/01/16,0.0188,2020/02/13,-0.0287,2020/04/09,-0.0801,2020/07/30,0.8464,2020/12/17,1.0009
"Phillips, Dean",DISCA,2020/04/02,2020/04/02,2020/04/09,0.1618,2020/04/16,0.0971,2020/04/30,0.1999,2020/05/28,0.1633,2020/07/23,0.1057,2020/11/12,0.1444,2021/04/01,1.2451
