official,Average
"Carper, Thomas R.",0.0631
"Phillips, Dean",0.0352
"Green, Mark",-0.0635
"Gottheimer, Josh",-0.0231
"Courtney, Joe",0.016
"Perdue Jr., David A.",0.0027
"Cisneros, Gilbert",-0.0032
"Wyden, Ronald L.",-0.086
"Hoeven, John",0.0259
"Shalala, Donna",-0.0261
"Gianforte, Greg",-0.0255
"Malinowski, Tom",0.1908
"Toomey, Patrick J.",-0.0106
"Beyer, Donald S.",0.0711
"Cassidy, William",-0.0246
"Moran, Jerry",-0.0127
"Doggett, Lloyd",0.0038
"Hern, Kevin",-0.0054
"Whitehouse, Sheldon",0.0168
"Collins, Susan M.",0.0052
"Banks, James E.",0.0
"Joyce, David P.",-0.0591
"Axne, Cynthia",-0.0196
