ticker,Average
DD,-0.0382
BEN,0.0477
ET,-0.0893
CVNA,-0.0727
C,-0.0027
BOIVF,-0.0222
ICUI,-0.0114
AMZN,-0.086
DOW,0.0502
PNGAY,-0.0261
MCHP,0.0413
SSL,-0.1271
UPLD,0.076
CVX,0.0087
CSLT,0.1908
Z,0.0265
VZ,-0.0106
DISCA,0.0346
NVDA,-0.0288
PRU,0.0016
LVMHF,0.1709
DGX,0.1715
GMAB,0.0151
AAPL,-0.0246
WBA,0.083
INTC,-0.0127
ICFI,0.0051
ETN,0.0014
ESGU,0.0093
HD,0.0038
PG,0.0405
DDOG,0.0594
PSX,-0.0512
BAC,0.0452
PCAR,0.0038
LUV,0.0085
KMI,0.0074
COP,0.0052
HBI,-0.0222
WES,-0.0378
DIS,0.0279
F,0.0
SPY,-0.0591
NWL,0.0298
FB,-0.0196
