official,ticker,buy_date,profit,sell_date
"Roberts, Pat",AAPL,2014/03/07,108.57,2020/12/16
"Roberts, Pat",AAPL,2014/08/01,6.93,2015/03/11
"Roberts, Pat",AAPL,2014/07/30,23.11,2018/07/30
"Roberts, Pat",AAPL,2014/09/02,10.27,2017/06/12
"Roberts, Pat",AAPL,2014/09/12,14.57,2018/02/05
"Roberts, Pat",AAPL,2016/12/15,96.66,2020/08/27
"Roberts, Pat",AAPL,2015/01/28,29.88,2019/10/15
"Roberts, Pat",AAPL,2015/07/27,41.68,2020/03/02
"Roberts, Pat",FB,2014/03/14,121.93,2019/06/21
"Roberts, Pat",FB,2016/06/29,4.12,2016/12/27
"Roberts, Pat",FB,2016/06/10,68.43,2018/02/05
"Perdue Jr., David A.",ENTG,2018/10/26,29.14,2020/01/14
"Perdue Jr., David A.",ENTG,2018/10/10,16.17,2019/08/21
"Perdue Jr., David A.",ENTG,2019/07/12,5.3,2019/08/15
"Lee, Susie",PHM,2020/05/19,22.27,2021/06/17
"Lee, Susie",PHM,2020/05/27,8.2,2020/10/22
"Perdue Jr., David A.",T,2019/02/05,8.94,2020/02/21
"Perdue Jr., David A.",T,2019/01/31,8.15,2020/02/25
"Perdue Jr., David A.",T,2019/02/06,5.27,2019/08/26
"Perdue Jr., David A.",T,2019/01/30,0.29,2020/04/16
"Perdue Jr., David A.",T,2019/02/01,5.16,2019/08/22
"Perdue Jr., David A.",T,2019/07/25,3.63,2020/02/26
"Collins, Susan M.",HOLX,2016/12/01,-0.55,2018/05/04
"Green, Mark",BKEP,2021/03/01,0.88,2021/03/12
"Green, Mark",SHLX,2020/10/22,1.6,2021/12/22
"Green, Mark",SHLX,2020/10/05,1.83,2021/08/19
"Green, Mark",SHLX,2020/11/17,5.43,2021/05/03
"Green, Mark",SHLX,2020/11/18,1.6,2021/12/21
"Roberts, Pat",NFLX,2014/11/07,452.06,2020/09/04
"Roberts, Pat",NFLX,2014/09/22,-16.68,2015/01/16
"Roberts, Pat",NFLX,2015/01/27,306.81,2020/04/06
"Roberts, Pat",NFLX,2014/03/06,134.3,2017/10/30
"Roberts, Pat",NFLX,2014/09/02,190.86,2018/02/05
"Roberts, Pat",NFLX,2015/04/14,114.83,2017/07/28
"Roberts, Pat",NFLX,2014/09/12,-1.59,2015/03/04
"Roberts, Pat",NFLX,2016/06/10,212.42,2018/04/11
"Roberts, Pat",NFLX,2017/04/07,280.31,2020/04/15
"Roberts, Pat",NFLX,2017/06/20,175.83,2020/01/06
"Roberts, Pat",NFLX,2017/07/31,240.54,2020/04/17
"Conaway, K. M.",CVX,2020/04/22,-10.96,2020/10/16
"McKinley, David B.",AAPL,2020/03/09,78.62,2021/08/19
"Scott, Austin",FCEL,2020/10/30,15.26,2021/01/14
"Scott, Austin",FCEL,2020/07/21,-0.24,2020/11/09
"Scott, Austin",FCEL,2021/07/02,-1.68,2021/07/16
"Shalala, Donna",OXY,2019/05/20,-10.22,2019/08/28
"Collins, Susan M.",WFC,2014/05/07,-3.48,2016/09/23
"Perdue Jr., David A.",SYY,2015/05/06,43.11,2019/09/30
"Perdue Jr., David A.",SYY,2015/04/02,23.13,2018/01/02
"Perdue Jr., David A.",SYY,2020/03/17,13.43,2020/04/14
"Lee, Susie",CRWD,2021/01/28,-15.49,2021/03/23
"Sherrill, Mikie",MTB,2020/01/27,-0.33,2020/02/20
"Reed, John F.",HACK,2016/11/23,5.38,2018/01/11
"Gottheimer, Josh",AAPL,2020/03/23,89.61,2021/07/28
"Gottheimer, Josh",AAPL,2020/03/20,62.23,2021/03/15
"Gottheimer, Josh",AAPL,2020/02/26,5.3,2020/05/18
"Gottheimer, Josh",AAPL,2020/03/05,-4.06,2020/04/20
"Gottheimer, Josh",AAPL,2020/01/14,15.83,2020/07/23
"Miller, Carol D.",KHC,2019/02/01,-12.81,2020/07/28
"Whitehouse, Sheldon",ETN,2014/08/27,6.56,2018/12/04
"Langevin, James R.",FB,2020/01/27,125.59,2021/10/19
"Langevin, James R.",FB,2020/01/17,-9.66,2020/02/13
"Langevin, James R.",FB,2020/05/22,39.87,2021/03/15
"Langevin, James R.",FB,2021/03/23,9.78,2021/04/26
"Cisneros, Gilbert",DXCM,2020/09/16,-47.9,2020/12/22
"Lee, Susie",ACIW,2020/01/07,-12.12,2020/06/29
"Lee, Susie",ACI,2020/06/26,-0.54,2020/12/16
"Perdue Jr., David A.",BAX,2015/08/24,51.8,2020/04/14
"Perdue Jr., David A.",BAX,2015/08/26,9.99,2016/08/25
"Perdue Jr., David A.",BAX,2015/08/25,26.13,2017/09/08
"Perdue Jr., David A.",BAX,2015/08/27,10.15,2017/02/08
"Perdue Jr., David A.",BAX,2015/08/28,8.54,2016/08/26
"Perdue Jr., David A.",BAX,2015/08/21,15.97,2017/04/26
"Perdue Jr., David A.",BAX,2015/08/20,9.33,2017/02/13
"Perdue Jr., David A.",BAX,2015/08/19,23.23,2017/09/22
"Perdue Jr., David A.",BAX,2015/08/04,10.47,2017/03/02
"Perdue Jr., David A.",BAX,2015/08/12,7.33,2016/11/07
"Perdue Jr., David A.",BAX,2015/08/10,4.9,2016/10/12
"Schrader, Kurt",SLV,2021/09/14,-0.85,2021/09/22
"Scott, Austin",PLUG,2021/03/19,-4.16,2021/04/09
"Scott, Austin",PLUG,2021/03/17,-10.62,2021/07/16
"Phillips, Dean",ETN,2019/12/03,11.15,2020/02/10
"Roberts, Pat",KSU,2014/03/05,27.99,2014/11/17
"Hern, Kevin",XOM,2020/06/10,-8.29,2020/07/22
"Perdue Jr., David A.",EXR,2016/11/18,48.05,2019/08/13
"Perdue Jr., David A.",EXR,2016/08/16,-5.19,2017/06/16
"Gianforte, Greg",ALFVY,2020/01/13,-1.2,2020/08/04
"Whitehouse, Sheldon",EL,2014/02/19,16.55,2017/02/23
"Hoeven, John",IBM,2014/02/19,-15.9,2016/12/22
"Hoeven, John",IBM,2017/04/24,-14.82,2017/09/21
"Gottheimer, Josh",EXAS,2020/01/22,16.47,2021/06/03
"Gottheimer, Josh",EXAS,2020/01/10,-27.21,2020/09/15
"Perdue Jr., David A.",ACA,2018/12/20,21.54,2019/12/19
"Perdue Jr., David A.",ACA,2018/12/21,17.05,2020/04/14
"Perdue Jr., David A.",ACA,2018/12/24,12.43,2019/05/06
"Frankel, Lois",CB,2020/08/12,49.3,2021/12/03
"Perdue Jr., David A.",BMY,2019/07/15,15.87,2020/04/14
"Perdue Jr., David A.",BMY,2017/03/22,-10.1,2019/08/15
"Perdue Jr., David A.",XOM,2015/08/07,5.59,2017/12/13
"Perdue Jr., David A.",XOM,2019/09/30,-1.83,2019/10/11
"Perdue Jr., David A.",XOM,2018/01/16,-11.99,2018/02/09
"Perdue Jr., David A.",XOM,2019/11/14,-25.75,2020/04/14
"Wyden, Ronald L.",AMWD,2020/08/24,-6.47,2020/08/27
"Perdue Jr., David A.",BWXT,2018/12/24,18.41,2019/02/26
"Perdue Jr., David A.",BWXT,2018/12/27,15.21,2019/03/01
"Perdue Jr., David A.",BWXT,2018/12/21,10.34,2019/05/02
"Perdue Jr., David A.",BWXT,2019/01/03,12.74,2019/04/29
"Perdue Jr., David A.",BWXT,2018/12/20,13.48,2019/04/23
"Perdue Jr., David A.",BWXT,2019/01/04,11.14,2019/05/08
"Perdue Jr., David A.",BWXT,2019/01/07,9.98,2019/05/03
"Perdue Jr., David A.",BWXT,2019/01/08,11.96,2019/07/08
"Perdue Jr., David A.",BWXT,2019/01/15,9.19,2019/05/06
"Perdue Jr., David A.",BWXT,2018/12/19,8.17,2019/06/11
"Perdue Jr., David A.",BWXT,2018/12/11,9.77,2019/04/11
"Perdue Jr., David A.",BWXT,2018/12/17,9.47,2019/04/30
"Perdue Jr., David A.",BWXT,2018/12/10,10.0,2019/07/09
"Perdue Jr., David A.",BWXT,2018/12/06,9.36,2019/06/27
"Perdue Jr., David A.",BWXT,2018/12/13,8.73,2019/04/08
"Perdue Jr., David A.",BWXT,2018/12/07,9.53,2019/04/12
"Perdue Jr., David A.",PG,2015/08/25,54.48,2019/09/30
"Perdue Jr., David A.",PG,2018/04/20,24.33,2019/02/12
"Perdue Jr., David A.",PG,2015/06/04,9.77,2016/09/23
"Perdue Jr., David A.",PG,2015/04/02,8.93,2018/12/20
"Perdue Jr., David A.",PG,2018/01/24,11.46,2019/02/25
"Perdue Jr., David A.",PG,2018/10/24,17.5,2019/05/23
"Perdue Jr., David A.",PG,2016/01/20,39.96,2020/03/17
"Roberts, Pat",WMT,2018/10/12,48.15,2020/09/04
"Roberts, Pat",WMT,2018/02/20,23.85,2020/07/02
"Roberts, Pat",WMT,2018/02/14,15.45,2020/03/09
"McKinley, David B.",ECL,2020/04/30,27.12,2021/05/12
"Gottheimer, Josh",CENT,2020/01/10,25.23,2021/04/08
"Lee, Susie",LW,2020/04/15,15.66,2020/10/19
"Gianforte, Greg",IFNNY,2020/03/27,21.37,2020/12/07
"Gianforte, Greg",IFNNY,2020/01/13,2.18,2020/08/04
"Frankel, Lois",OLLI,2020/02/28,16.53,2020/04/27
"Gottheimer, Josh",PYPL,2020/09/25,87.19,2021/04/28
"Meijer, Peter",SAP,2021/01/26,-2.12,2021/01/28
"Phillips, Dean",SCHW,2020/04/02,2.34,2020/04/24
"Phillips, Dean",SCHW,2020/01/08,1.01,2020/01/17
"Reed, John F.",FDX,2016/02/29,106.06,2018/03/09
"Green, Mark",PBFX,2020/11/09,7.66,2021/05/27
"Green, Mark",PBFX,2020/10/05,1.36,2020/11/24
"Green, Mark",PBFX,2020/11/17,7.31,2021/05/26
"Green, Mark",PBFX,2020/10/22,0.71,2020/11/23
"Green, Mark",PBFX,2020/11/10,3.81,2021/03/01
"Green, Mark",PBFX,2020/08/04,1.08,2020/08/14
"Curtis, John",AMZN,2019/08/02,1662.75,2021/06/22
"Curtis, John",AMZN,2020/03/27,1474.58,2021/02/02
"Curtis, John",AMZN,2019/04/29,-156.46,2019/12/23
"Curtis, John",AMZN,2020/03/04,1293.41,2020/10/09
"Gottheimer, Josh",BKNG,2020/09/21,-23.76,2020/09/25
"Gottheimer, Josh",BKNG,2020/01/10,-475.5,2020/06/15
"Lee, Susie",BHC,2020/02/24,-8.64,2020/08/27
"Perdue Jr., David A.",WLK,2016/06/28,30.25,2017/08/03
"Perdue Jr., David A.",WLK,2016/06/29,22.95,2017/03/10
"Perdue Jr., David A.",WLK,2016/01/15,20.62,2017/04/27
"Perdue Jr., David A.",WLK,2016/06/23,22.73,2017/03/16
"Perdue Jr., David A.",WLK,2016/07/18,20.27,2017/03/13
"Perdue Jr., David A.",WLK,2016/01/29,24.28,2017/08/09
"Perdue Jr., David A.",WLK,2016/07/29,19.72,2017/03/23
"Perdue Jr., David A.",WLK,2016/07/26,20.36,2017/03/15
"Perdue Jr., David A.",KN,2016/02/12,6.18,2018/07/25
"Perdue Jr., David A.",KN,2016/01/13,1.85,2018/12/13
"Perdue Jr., David A.",KN,2016/03/31,-0.38,2019/01/03
"Perdue Jr., David A.",KN,2015/02/26,-6.93,2019/01/07
"Perdue Jr., David A.",KN,2015/03/06,-6.57,2019/01/08
"Perdue Jr., David A.",KN,2015/03/09,-5.63,2018/02/14
"Perdue Jr., David A.",KN,2015/03/10,-5.98,2018/02/12
"Perdue Jr., David A.",KN,2015/03/11,-5.19,2018/11/12
"Perdue Jr., David A.",KN,2015/03/20,-6.07,2018/02/16
"Cisneros, Gilbert",ROKU,2020/01/29,194.17,2020/12/11
"Beyer, Donald S.",NSRGY,2020/01/09,7.6,2020/07/14
"Beyer, Donald S.",NSRGY,2019/12/24,4.7,2021/01/15
"Beyer, Donald S.",NSRGY,2020/02/14,-2.45,2020/04/28
"Perdue Jr., David A.",GLW,2015/09/01,18.52,2018/10/05
"Perdue Jr., David A.",GLW,2015/08/27,13.39,2017/10/20
"Perdue Jr., David A.",GLW,2015/09/02,13.11,2017/10/16
"Perdue Jr., David A.",GLW,2015/08/28,17.22,2019/02/19
"Perdue Jr., David A.",GLW,2018/04/25,-6.02,2020/04/14
