official,104,52,26
"Collins, Susan M.",0.1341,0.1047,0.0472
"Inhofe, James M.",0.0959,0.0886,0.0438
"Capito, Shelley M.",0.0852,0.093,0.0524
"Roberts, Pat",0.3102,0.1494,0.0609
"McConnell Jr., A. M.",-0.1956,-0.1509,-0.0163
"Reed, John F.",0.1841,0.1224,0.0511
"Perdue Jr., David A.",0.2535,0.1393,0.045
"Whitehouse, Sheldon",0.2929,0.1256,0.0648
"Hoeven, John",0.2277,0.0422,-0.0181
"Beyer, Donald S.",0.6275,0.4512,0.1374
"Conaway, K. M.",0.3695,0.1327,-0.0284
"Moran, Jerry",0.3282,0.1071,-0.0783
"Shalala, Donna",0.2876,-0.1087,-0.0339
"Cassidy, William",0.2417,0.1239,0.0523
"Axne, Cynthia",0.2662,0.0129,-0.01
"Toomey, Patrick J.",0.0441,-0.0121,-0.0152
"Langevin, James R.",0.0592,0.0505,0.0765
"Courtney, Joe",0.5512,0.2124,-0.0469
"Frankel, Lois",0.0101,-0.2156,-0.3628
"Cisneros, Gilbert",0.156,0.0272,-0.2247
"Carper, Thomas R.",0.317,0.1546,0.0958
"Doggett, Lloyd",0.5355,0.1624,-0.0466
"Murray, Patty",0.0071,0.0266,0.0116
"Peters, Gary C.",0.1286,0.0479,0.0212
"Gottheimer, Josh",0.2505,0.2866,0.1391
"Joyce, David P.",0.3346,-0.0074,0.0174
"Coons, Christopher A.",0.7865,-0.0164,-0.0054
"Marshall, Roger W.",0.8667,0.6824,0.1814
"Curtis, John",0.593,-0.1723,-0.209
"Connolly, Gerald E.",0.0575,-0.0796,-0.0203
"Malinowski, Tom",0.2467,-0.2156,-0.2779
"Wicker, Roger F.",-0.2823,-0.0299,-0.0328
"Hill, James F.",2.2469,1.0009,0.4611
"Cruz, Rafael E.",-0.2437,-0.1826,0.042
"King Jr., Angus S.",0.3713,0.1736,0.1782
"DelBene, Suzan K.",1.1772,0.4345,0.2798
"Foxx, Virginia",-0.0478,-0.1497,-0.1481
"Lowenthal, Alan S.",-0.4345,-0.2458,-0.0675
"McKinley, David B.",0.9518,0.2314,0.0053
"Miller, Carol D.",0.2072,0.0248,0.0106
"Castor, Kathy",0.2012,-0.0563,-0.2126
"Phillips, Dean",0.8082,0.3067,-0.0852
