ticker,104,52,26
HON,0.1873,0.1476,-0.0003
CHKP,0.2138,0.0338,0.1158
MCO,0.4721,-0.0174,0.1137
AAPL,0.7368,0.3019,0.1153
AFL,-0.0048,0.1355,-0.0067
GD,-0.0476,0.0173,0.0073
WFC,-0.1484,-0.2656,-0.092
BOIVF,0.0556,-0.1838,-0.1351
CTSH,0.1712,0.044,-0.0559
GM,0.0237,0.0342,0.071
PYPL,0.9015,0.3612,0.032
CVX,0.0196,-0.0005,-0.0449
CRSP,2.7715,0.8761,2.5248
NKE,0.3317,0.1081,-0.0211
VIG,0.2794,0.1,-0.0412
BRK-B,0.1779,0.0939,-0.0159
SUN,-0.4616,0.1826,0.0966
DIS,0.169,0.0837,0.0155
STT,-0.0823,0.1451,-0.0675
LGF-B,-0.1822,-0.3509,-0.2851
CLR,0.5164,0.7933,0.2604
EXEL,-0.0217,-0.2341,-0.1706
IBM.MX,-0.0549,-0.1433,-0.1969
RIO,0.4513,-0.1119,-0.0752
CZR,0.6014,0.5666,0.3687
CMCSA,0.2117,0.0615,0.0822
FDX,0.6939,-0.0013,-0.0469
FEYE,0.0035,-0.0635,-0.1121
PGR,0.308,0.1555,-0.0186
SPY,0.399,0.1787,0.1375
GS,0.09,0.0925,-0.0067
MOS,-0.0588,0.0313,-0.0253
BKNG,0.2423,-0.2217,0.0459
CSCO,0.5044,0.2679,0.2139
TWTR,0.2643,-0.2701,-0.0877
XOM,-0.204,-0.193,-0.0875
KMX,0.0326,0.0473,0.2622
ZBRA,1.6815,0.2062,-0.074
DISCA,0.0424,0.0005,0.0209
BYND,-0.2818,0.5957,0.0615
UNP,0.3504,0.1631,0.0515
EDIT,0.0607,0.5024,0.1943
SO,-0.0236,-0.0574,-0.0553
ROP,0.1701,0.171,0.0988
NVDA,2.0895,0.6317,0.3777
PEP,0.1744,0.1022,0.044
NSP,0.1795,-0.1105,-0.209
AMGN,0.1625,0.0885,0.0485
ABT,0.3643,0.1005,-0.0044
URBN,0.1469,0.9513,0.4546
FB,0.4709,0.2965,0.1524
BLK,0.1974,0.0548,-0.1178
BWXT,0.1766,0.3317,0.1278
NFLX,0.9108,0.4659,0.2864
ES,0.3993,0.3164,0.1803
RF,-0.0848,0.0403,0.0739
PG,0.2383,0.1561,0.0738
AXTA,-0.1033,-0.0059,-0.0084
KDP,0.275,0.0471,0.004
