	p26	p52	p104
Homeland Security and Governmental Affairs Committee 	0.05	0.12	0.23
Foreign Relations Committee 	0.04	0.13	0.24
Joint Committee on Printing 	0.06	0.14	0.28
Aging 	0.06	0.13	0.29
Africa, Global Health, and Global Human Rights 	-0.25	-0.15	0.32
Commodities, Risk Management, and Trade 	-0.02	0.02	0.19
Bankruptcy and the Courts subcommittee 	0.06	0.12	0.28
Committee on Energy and Natural Resources 	0.01	0.08	0.24
Space and Aeronautics Committee 	0.14	0.45	0.63
Senate Committee on the Budget 	0.01	0.03	0.01
Committee on Small Business 	0.11	0.59	0.85
Committee on Appropriations 	0.02	0.07	0.14
Committee on Energy and Commerce 	-0.15	-0.01	0.51
Committee on Ethics 	0.06	0.14	0.33
Intelligence and Counterterrorism 	-0.11	-0.09	0.16
Senate Committee on Foreign Relations 	-0.01	-0.02	0.79
House Committee on Rules 	-0.15	-0.15	-0.05
Senate Committee on Budget 	0.05	0.11	0.23
Agriculture, Rural Development, Food, and Drug Administration, and Related Agencies Committee 	-0.03	0.04	0.22
Committee on Rules 	-0.03	-0.11	0.29
Research and Technology 	0.14	0.45	0.63
SeaPower 	0.05	0.07	0.15
Committee on Banking, Housing, and Urban Affairs 	0.04	0.13	0.24
Fisheries, Water, and Wildlife 	0.06	0.13	0.29
Senate Committee on Commerce, Science, and Transportation 	0.04	-0.18	-0.24
Defense 	-0.01	0.05	0.15
Senate Rules and Administration Committee 	0.01	0.03	0.01
Committee on Veterans' Affairs 	0.01	0.07	0.15
House Ways and Means Committee 	-0.05	0.16	0.54
Water, Oceans, and Wildlife 	-0.07	-0.25	-0.43
State, Foreign Operations, and Related Programs Committee 	-0.06	0.03	0.22
Senate Committee on Armed Services 	0.05	0.12	0.22
Public Lands, Forests, and Mining 	0.05	0.12	0.24
Committee on Small Business and Entrepreneurship 	0.04	0.1	0.14
Antitrust, Competition Policy, and Consumer Rights subcommittee Committee 	-0.01	-0.02	0.79
Emerging Threats and Capabilities 	0.02	0.05	0.13
Committee on Indian Affairs 	-0.03	0.06	0.25
Surface Transportation, Maritime, Freight, and Ports Committee 	0.05	0.09	0.09
Labor, Health, and Human Services, Education, and Related Agencies Committee 	0.03	0.08	0.1
Energy and Commerce Committee 	0.05	0.13	0.27
Committee on Oversight and Government Reform 	-0.08	-0.1	0.03
Committee on Financial Services 	0.06	0.15	0.42
