name,ticker_purch,tdate_purch,bought_?,s_104,p_104,s_52,p_52,s_26,p_26
"Collins, Susan M.",HON,2014/02/06,2014/05/15,2016/05/12,0.2433,2015/05/14,0.1495,2014/11/13,0.0595
"Inhofe, James M.",CHKP,2017/01/26,2017/05/04,2019/05/02,0.1337,2018/05/03,-0.0837,2017/11/02,-0.0018
"Perdue Jr., David A.",WPX,2019/01/18,2019/04/26,2021/04/23,,2020/04/24,,2019/10/25,
"Capito, Shelley M.",MCO,2017/09/08,2017/12/15,2019/12/13,0.5572,2018/12/14,-0.0243,2018/06/15,0.1684
"Roberts, Pat",AAPL,2014/03/07,2014/06/13,2016/06/10,0.0792,2015/06/12,0.3934,2014/12/12,0.2082
"Capito, Shelley M.",AFL,2018/04/24,2018/07/31,2020/07/28,-0.2172,2019/07/30,0.1407,2019/01/29,0.0182
"Capito, Shelley M.",GD,2016/04/19,2016/07/26,2018/07/24,0.3623,2017/07/25,0.419,2017/01/24,0.2297
"McConnell Jr., A. M.",WFC,2019/06/01,2019/09/09,2021/09/06,-0.0662,2020/09/07,-0.4945,2020/03/09,-0.3018
"Reed, John F.",HON,2017/01/30,2017/05/08,2019/05/06,0.3674,2018/05/07,0.1004,2017/11/06,0.1103
"Perdue Jr., David A.",BOIVF,2019/02/01,2019/05/10,2021/05/07,0.1119,2020/05/08,-0.4133,2019/11/08,-0.0441
"Inhofe, James M.",CTSH,2016/03/11,2016/06/17,2018/06/15,0.3399,2017/06/16,0.1139,2016/12/16,-0.0523
"Perdue Jr., David A.",GM,2018/07/20,2018/10/26,2020/10/23,0.1597,2019/10/25,0.1251,2019/04/26,0.233
"Whitehouse, Sheldon",PYPL,2018/06/06,2018/09/12,2020/09/09,1.097,2019/09/11,0.1364,2019/03/13,0.0879
"Hoeven, John",CVX,2019/11/04,2020/02/10,2022/02/07,0.2574,2021/02/08,-0.1654,2020/08/10,-0.1869
"Whitehouse, Sheldon",BEAV,2014/06/18,2014/09/24,2016/09/21,,2015/09/23,,2015/03/25,
"Perdue Jr., David A.",WPX,2015/03/03,2015/06/09,2017/06/06,,2016/06/07,,2015/12/08,
"Perdue Jr., David A.",WPX,2018/12/13,2019/03/21,2021/03/18,,2020/03/19,,2019/09/19,
"Inhofe, James M.",CRSP,2017/10/19,2018/01/25,2020/01/23,0.4493,2019/01/24,-0.2033,2018/07/26,0.2487
"Beyer, Donald S.",NKE,2019/12/24,2020/03/31,2022/03/29,,2021/03/30,0.5736,2020/09/29,0.4932
"Conaway, K. M.",VIG,2019/12/03,2020/03/10,2022/03/08,0.3804,2021/03/09,0.276,2020/09/08,0.1376
"Moran, Jerry",BRK-B,2018/12/06,2019/03/14,2021/03/11,0.2903,2020/03/12,-0.109,2019/09/12,0.0402
"Perdue Jr., David A.",SUN,2018/02/05,2018/05/14,2020/05/11,-0.1143,2019/05/13,0.1272,2018/11/12,0.0536
"Perdue Jr., David A.",DIS,2017/09/06,2017/12/13,2019/12/11,0.3708,2018/12/12,0.0521,2018/06/13,-0.0204
"Perdue Jr., David A.",STT,2018/12/20,2019/03/28,2021/03/25,0.2262,2020/03/26,-0.2578,2019/09/26,-0.1014
"Perdue Jr., David A.",TCP,2019/10/30,2020/02/05,2022/02/02,,2021/02/03,,2020/08/05,
"Perdue Jr., David A.",LGF-B,2018/12/03,2019/03/11,2021/03/08,0.0074,2020/03/09,-0.6031,2019/09/09,-0.3005
"Inhofe, James M.",CLR,2015/07/20,2015/10/26,2017/10/23,0.1215,2016/10/24,0.5498,2016/04/25,0.1246
"Shalala, Donna",EXEL,2019/02/06,2019/05/15,2021/05/12,0.3129,2020/05/13,0.3975,2019/11/13,-0.1648
"Roberts, Pat",CVX,2015/03/16,2015/06/22,2017/06/19,0.079,2016/06/20,0.0313,2015/12/21,-0.1043
"Capito, Shelley M.",IBM.MX,2018/04/24,2018/07/31,2020/07/28,0.0213,2019/07/30,0.0568,2019/01/29,-0.0542
"Murray, Patty",UTX,2017/03/16,2017/06/22,2019/06/20,,2018/06/21,,2017/12/21,
"Shalala, Donna",EXEL,2019/01/09,2019/04/17,2021/04/14,0.0781,2020/04/15,-0.1704,2019/10/16,-0.234
"Shalala, Donna",RIO,2019/04/11,2019/07/18,2021/07/15,0.424,2020/07/16,0.0104,2020/01/16,-0.0194
"Perdue Jr., David A.",CZR,2018/08/08,2018/11/14,2020/11/11,0.6027,2019/11/13,0.3811,2019/05/15,0.2835
"Collins, Susan M.",DVFAX,2015/12/11,2016/03/18,2018/03/16,,2017/03/17,,2016/09/16,
"Collins, Susan M.",CMCSA,2014/02/06,2014/05/15,2016/05/12,0.2511,2015/05/14,0.1389,2014/11/13,0.0856
"Cassidy, William",AFL,2016/03/31,2016/07/07,2018/07/05,0.1988,2017/07/06,0.0886,2017/01/05,-0.0205
"Perdue Jr., David A.",FDX,2019/05/02,2019/08/08,2021/08/05,0.6909,2020/08/06,0.0554,2020/02/06,-0.0822
"Perdue Jr., David A.",FEYE,2016/10/21,2017/01/27,2019/01/25,0.3724,2018/01/26,0.2236,2017/07/28,0.213
"Axne, Cynthia",PGR,2019/11/06,2020/02/12,2022/02/09,0.313,2021/02/10,0.0365,2020/08/12,0.0798
"Toomey, Patrick J.",SPY,2017/05/09,2017/08/15,2019/08/13,0.1792,2018/08/14,0.149,2018/02/13,0.0746
"Whitehouse, Sheldon",GS,2018/08/28,2018/12/04,2020/12/01,0.2441,2019/12/03,0.1353,2019/06/04,0.0026
"Perdue Jr., David A.",MOS,2018/01/16,2018/04/24,2020/04/21,-0.5898,2019/04/23,0.0202,2018/10/23,0.2003
"Perdue Jr., David A.",BKNG,2019/03/26,2019/07/02,2021/06/29,0.1483,2020/06/30,-0.1658,2019/12/31,0.0786
"Perdue Jr., David A.",DIS,2017/08/09,2017/11/15,2019/11/13,0.3893,2018/11/14,0.1369,2018/05/16,0.0086
