sector,2018,2019,2020,2021
Banks - Regional,0,0,1,0
Basic Materials,0,52,177,143
Communication Services,0,33,187,205
Communications,0,0,2,0
Consumer Cyclical,0,130,725,634
Consumer Defensive,0,88,406,241
Consumer Staples,0,0,1,0
Cryptocurrency,0,0,0,22
Energy,0,50,490,406
Financial Services,0,156,809,618
Fund,0,46,441,256
Healthcare,1,133,745,458
Induistrial,0,0,2,0
Industrials,0,111,738,528
Information Technology,0,2,8,0
Medical,0,0,1,0
Real Estate,0,58,183,123
Retail/Wholesale,0,0,2,0
Services,0,1,12,1
Technology,0,155,1230,959
Trust,0,2,3,4
Utilities,0,19,201,94
