official,Banks - Regional,Basic Materials,Communication Services,Communications,Consumer Cyclical,Consumer Defensive,Consumer Staples,Cryptocurrency,Energy,Financial Services,Fund,Healthcare,Induistrial,Industrials,Information Technology,Medical,Real Estate,Retail/Wholesale,Services,Technology,Trust,Utilities
"Allen, Richard W.",0,5,1,0,4,2,0,0,0,9,1,5,0,6,0,0,0,0,0,2,0,2
"Amash, Justin",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arenholz, Ashley H.",0,0,0,0,7,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"Axne, Cynthia",0,10,6,0,20,19,0,0,0,61,3,21,0,9,0,0,0,0,0,23,0,0
"Banks, James E.",0,0,14,0,18,11,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"Beyer, Donald S.",0,13,13,0,52,49,0,0,2,76,135,71,0,42,0,1,12,0,0,112,0,15
"Bice, Stephanie",0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0
"Bilirakis, Gus M.",0,0,0,0,1,0,0,0,0,1,0,False,0,1,0,0,0,0,0,0,0,0
"Blumenauer, Earl",0,2,4,0,14,7,0,0,1,13,5,10,0,11,0,0,4,0,0,17,0,12
"Brooks, Mo",0,0,3,0,5,0,0,0,0,7,0,7,0,1,0,0,0,0,0,6,0,6
"Brooks, Susan W.",0,0,1,0,1,1,0,0,2,1,0,0,0,2,0,0,0,0,0,3,0,0
"Buck, Kenneth R.",0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bucshon, Larry",0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0
"Burchett, Tim",0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burgess, Michael C.",0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0
"Bustos, Cheri",0,0,1,0,1,2,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0
"Carter, Earl L.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Case, Ed",0,0,0,0,0,False,0,0,1,0,3,0,0,1,0,0,0,0,0,2,0,0
"Castor, Kathy",0,0,0,0,0,0,0,0,0,28,3,0,0,6,0,0,0,0,0,0,0,0
"Cawthorn, David M.",0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chabot, Steve",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Chu, Judy",0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0
"Cisneros, Gilbert",0,39,17,0,111,42,0,0,0,117,1,143,0,95,0,0,42,0,0,151,0,14
"Clark, Katherine M.",0,3,4,0,22,17,0,0,6,31,2,45,0,36,0,0,9,0,0,53,0,7
"Clay Jr., William L.",0,0,0,0,0,1,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cohen, Steve",0,0,3,0,7,5,0,0,9,9,2,2,0,3,0,0,5,0,0,4,0,0
"Comer, James",0,2,0,0,False,1,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0
"Conaway, K. M.",0,0,1,0,11,3,0,0,7,20,111,8,0,10,0,0,0,0,0,10,1,6
"Connolly, Gerald E.",0,0,0,0,1,False,0,0,0,1,0,1,0,0,0,0,0,0,0,8,0,6
"Courtney, Joe",0,2,3,0,14,13,0,0,5,19,48,10,0,8,0,0,2,0,0,10,0,3
"Crenshaw, Daniel",0,0,0,0,10,0,0,0,2,0,2,0,0,5,0,0,0,0,0,0,0,0
"Curtis, John",0,1,4,0,23,7,0,0,2,22,0,18,0,15,0,0,2,0,0,36,0,0
"Davis, Susan A.",0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,1
"DelBene, Suzan K.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
"Dingell, Debbie",0,2,1,0,3,2,0,0,0,2,1,4,0,4,0,0,0,0,0,4,0,1
"Doggett, Lloyd",0,9,0,0,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"Dunn, Neal P.",0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
"Evans, Dwight",0,2,4,0,3,2,0,0,5,7,8,4,0,7,0,0,2,0,0,8,0,4
"Fallon, Patrick",0,0,4,0,7,0,0,0,8,9,0,0,0,35,0,0,0,0,0,25,0,0
"Fleischmann, Charles J.",0,0,0,0,3,0,0,0,0,0,67,2,0,1,0,0,0,0,0,0,0,0
"Flores, Bill",0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
"Foxx, Virginia",0,0,17,0,0,14,0,0,40,5,2,8,0,0,0,0,26,0,0,0,0,26
"Frankel, Lois",0,15,1,0,14,21,0,0,15,68,0,43,0,50,0,0,8,0,0,35,0,20
"Franklin, Scott",0,0,2,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,0,0,0,0
"Gaetz, Matt",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Gallagher, Michael J.",0,3,0,0,2,2,0,0,2,4,1,9,0,7,0,0,0,0,0,4,0,3
"Garbarino, Andrew",0,1,0,0,3,0,0,0,1,False,5,2,0,0,0,0,0,0,0,0,0,0
"Garcia, Mike",0,0,0,0,15,0,0,0,0,1,14,0,0,8,0,0,0,0,0,4,0,0
"Gianforte, Greg",1,26,20,0,59,29,1,0,23,77,11,45,0,85,2,0,15,2,10,74,0,9
"Gibbs, Bob",0,2,3,0,2,1,0,0,4,0,0,7,0,4,0,0,1,0,0,12,0,False
"Gonzalez, Anthony E.",0,0,1,0,3,0,0,0,0,0,0,False,0,0,0,0,0,0,0,1,0,0
"Gottheimer, Josh",0,24,26,0,113,38,0,0,26,106,4,136,0,77,0,0,16,0,2,316,0,4
"Graves, Garret",0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
"Green, Mark",0,0,0,0,0,0,0,14,479,0,2,1,0,38,0,0,0,0,0,0,0,14
"Greene, Marjorie T.",0,3,4,0,13,14,0,0,2,9,2,7,0,4,0,0,0,0,0,25,0,3
"Grijalva, Raúl M.",0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
"Guest, Michael P.",0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hagedorn, James",0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
"Hern, Kevin",0,6,2,0,23,9,0,0,56,26,30,47,0,38,0,0,3,0,0,61,0,7
"Higgins, Brian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Hill, James F.",0,0,1,0,1,0,0,0,3,0,3,0,0,False,0,0,0,0,0,0,0,0
"Holding, George",0,0,1,0,0,1,0,0,2,0,2,2,0,0,0,0,0,0,0,1,0,0
"Hollingsworth, Trey",0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jacobs, Christopher L.",0,2,2,0,7,7,0,0,5,10,0,16,0,3,0,0,3,0,0,7,0,0
