official,Banks - Regional,Basic Materials,Communication Services,Communications,Consumer Cyclical,Consumer Defensive,Consumer Discretionary,Consumer Goods,Consumer Staples,Cryptocurrency,Energy,Financial,Financial Services,Fund,Healthcare,Induistrial,Industrial Goods,Industrials,Information Technology,Medical,Oil & Gas Storage & Trpor,Real Estate,Retail/Wholesale,Services,Technology,Trust,Utilities
"Allen, Richard W.",0,5,1,0,4,2,0,0,0,0,0,0,9,1,5,0,0,6,0,0,0,0,0,0,2,0,3
"Amash, Justin",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arenholz, Ashley H.",0,0,0,0,8,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Axne, Cynthia",0,10,6,0,20,19,0,0,0,0,0,0,61,3,21,0,0,10,0,0,0,0,0,0,23,0,0
"Banks, James E.",0,0,14,0,18,12,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"Bennet, Michael F.",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Beyer, Donald S.",0,13,14,0,52,49,0,0,0,0,2,0,76,135,71,0,0,42,0,1,0,12,0,0,112,0,15
"Bice, Stephanie",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bilirakis, Gus M.",0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Blumenauer, Earl",0,2,4,0,14,7,0,0,0,0,1,0,13,5,10,0,0,11,0,0,0,4,0,0,17,0,13
"Blunt, Roy D.",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Booker, Cory A.",0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0
"Boozman, John",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooks, Mo",0,0,3,0,5,0,0,0,0,0,0,0,7,0,7,0,0,1,0,0,0,0,0,0,6,0,7
"Brooks, Susan W.",0,0,1,0,2,1,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0
"Buck, Kenneth R.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bucshon, Larry",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burchett, Tim",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burgess, Michael C.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0
"Bustos, Cheri",0,0,1,0,2,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0
"Cantwell, Maria E.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"Capito, Shelley M.",0,12,14,0,25,47,0,0,0,0,30,0,69,4,43,0,0,47,0,0,0,2,0,0,58,0,12
"Cardin, Benjamin L.",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Carper, Thomas R.",0,28,6,0,18,12,0,1,0,0,11,0,43,118,24,0,0,19,0,0,0,13,0,1,55,4,8
"Carter, Earl L.",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Case, Ed",0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0
"Casey Jr., Robert P.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Cassidy, William",0,8,12,0,22,13,0,0,0,0,16,0,13,3,25,0,0,15,0,0,0,4,0,0,30,0,3
"Castor, Kathy",0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,0,0,6,0,0,0,0,0,0,0,0,0
"Cawthorn, David M.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chabot, Steve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Chu, Judy",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cisneros, Gilbert",0,39,17,0,111,42,0,0,0,0,0,0,117,1,144,0,0,95,0,0,0,42,0,0,151,0,14
"Clark, Katherine M.",0,3,4,0,22,17,0,0,0,0,6,0,31,2,45,0,0,36,0,0,0,9,0,0,54,0,7
"Clay Jr., William L.",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cohen, Steve",0,0,3,0,7,5,0,0,0,0,9,0,10,2,2,0,0,3,0,0,0,5,0,0,4,0,0
"Collins, Susan M.",0,13,10,0,33,21,0,0,0,0,22,5,50,18,46,0,0,49,0,0,0,8,0,1,53,0,9
"Comer, James",0,2,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Conaway, K. M.",0,0,1,0,11,3,0,0,0,0,7,0,21,111,8,0,0,10,0,0,0,0,0,0,10,1,6
"Connolly, Gerald E.",0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,6
"Coons, Christopher A.",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Cornyn, John",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Courtney, Joe",0,2,3,0,14,13,0,0,0,0,5,0,19,48,10,0,0,8,0,0,0,2,0,0,11,0,3
"Crenshaw, Daniel",0,0,0,0,10,0,0,0,0,0,2,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0
"Cruz, Rafael E.",0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Curtis, John",0,1,4,0,23,7,0,0,0,0,2,0,22,0,18,0,0,15,0,0,0,2,0,0,37,0,0
"Davis, Susan A.",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,1
"DelBene, Suzan K.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
"Dingell, Debbie",0,2,2,0,3,2,0,0,0,0,0,0,2,1,4,0,0,4,0,0,0,0,0,0,4,0,1
"Doggett, Lloyd",0,9,0,0,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"Duckworth, Ladda T.",0,6,1,0,3,2,0,0,0,0,0,0,1,0,2,0,0,4,0,0,0,0,0,0,2,0,1
"Dunn, Neal P.",0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enzi, Michael B.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Evans, Dwight",0,2,4,0,3,2,0,0,0,0,5,0,7,8,4,0,0,8,0,0,0,2,0,0,8,0,4
"Fallon, Patrick",0,0,4,0,7,0,0,0,0,0,8,0,9,0,0,0,0,35,0,0,0,0,0,0,26,0,0
"Fleischmann, Charles J.",0,0,0,0,3,0,0,0,0,0,0,0,0,68,2,0,0,1,0,0,0,0,0,0,0,0,0
"Flores, Bill",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Foxx, Virginia",0,0,17,0,0,14,0,0,0,0,41,0,5,2,8,0,0,0,0,0,0,26,0,0,0,0,26
"Frankel, Lois",0,15,1,0,14,21,0,0,0,0,15,0,68,0,44,0,0,50,0,0,0,8,0,0,35,0,20
"Franklin, Scott",0,0,2,0,0,0,0,0,0,0,0,0,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0
"Gaetz, Matt",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gallagher, Michael J.",0,3,0,0,2,2,0,0,0,0,2,0,4,1,9,0,0,7,0,0,0,0,0,0,5,0,3
"Garbarino, Andrew",0,1,0,0,3,0,0,0,0,0,1,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0
"Garcia, Mike",0,0,0,0,16,0,0,0,0,0,0,0,1,14,0,0,0,8,0,0,0,0,0,0,4,0,0
"Gianforte, Greg",1,26,20,0,59,29,0,0,1,0,23,0,77,11,46,0,0,85,2,0,0,15,2,10,74,0,9
"Gibbs, Bob",0,2,3,0,2,1,0,0,0,0,4,0,0,0,7,0,0,4,0,0,0,1,0,0,12,0,1
"Gonzalez, Anthony E.",0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Gottheimer, Josh",0,24,26,0,113,39,0,0,0,0,26,0,106,4,136,0,0,77,0,0,0,16,0,2,316,0,4
"Graves, Garret",0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Green, Mark",0,0,0,0,0,0,0,0,0,14,480,0,0,2,1,0,0,38,0,0,0,0,0,0,0,0,14
"Greene, Marjorie T.",0,4,4,0,13,14,0,0,0,0,2,0,9,2,7,0,0,4,0,0,0,0,0,0,25,0,3
"Grijalva, Raúl M.",0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guest, Michael P.",0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hagedorn, James",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Hagerty IV, William F.",0,0,0,2,3,1,0,0,0,0,2,0,5,0,1,0,0,2,0,0,0,3,0,0,2,0,0
"Hern, Kevin",0,6,2,0,23,9,0,0,0,0,57,0,26,30,47,0,0,38,0,0,0,3,0,0,61,0,7
"Hickenlooper, John W.",0,0,1,0,4,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,11,0,0
"Higgins, Brian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Hill, James F.",0,0,1,0,1,0,0,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
"Hoeven, John",0,11,6,0,39,22,0,0,0,0,9,0,17,12,16,0,0,19,0,0,0,7,0,0,20,3,3
"Holding, George",0,0,1,0,0,1,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0
"Hollen, Chris V.",0,0,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Hollingsworth, Trey",0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inhofe, James M.",0,2,0,0,30,9,0,0,0,0,23,0,32,11,54,0,0,21,0,0,0,0,0,0,33,0,2
"Jacobs, Christopher L.",0,2,2,0,7,7,0,0,0,0,5,0,10,0,17,0,0,3,0,0,0,3,0,0,7,0,0
"Jacobs, Sara",0,2,2,0,6,4,0,0,0,0,0,0,7,0,10,0,0,5,0,0,0,2,0,0,12,0,2
"Jeffries, Hakeem S.",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Joyce, David P.",0,0,0,0,0,0,0,0,0,0,0,0,2,35,0,0,0,0,0,0,0,0,0,0,0,2,0
"Kaine, Timothy M.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Keating, William R.",0,0,0,0,5,4,0,0,0,0,4,0,5,0,6,0,0,7,0,0,0,1,0,0,15,0,0
"Kelly, Mike",0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kennedy, John N.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kennedy, Joseph P.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Khanna, Rohit",0,10,20,0,27,28,0,0,0,0,0,0,48,0,22,0,0,33,0,0,0,6,0,0,42,0,7
"King Jr., Angus S.",0,2,2,0,3,3,0,0,0,0,7,0,3,0,7,0,0,2,0,0,0,0,0,0,4,0,1
"Kinzinger, Adam",0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,7,6,0,0,0,0,0,0,0,0
"Kustoff, David",0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0
"Lamborn, Doug",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0
"Langevin, James R.",0,0,29,0,19,9,0,0,0,0,0,0,6,18,1,0,0,42,0,0,0,14,0,0,30,2,0
"Larson, John B.",0,2,0,0,5,5,0,0,0,0,3,0,3,0,8,0,0,2,0,0,0,0,0,0,6,0,0
"Latta, Robert E.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lee, Susie",0,25,9,2,157,42,0,0,0,0,19,0,34,3,54,0,0,97,0,0,0,57,0,1,118,0,2
"Loeffler, Kelly",0,15,10,0,30,30,0,0,0,0,18,0,67,0,26,0,0,44,0,0,0,1,0,0,33,0,0
"Lofgren, Zoe",0,1,14,0,18,19,0,0,0,0,0,0,38,1,29,0,0,13,0,0,0,12,0,0,23,0,14
"Long, Billy",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,23
"Lowenthal, Alan S.",0,13,14,0,80,3,0,0,0,0,0,0,61,79,28,0,0,66,0,0,0,12,0,0,174,0,13
"Lummis, Cynthia M.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Luria, Elaine",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Malinowski, Tom",0,0,9,0,6,16,0,0,0,0,1,0,6,0,46,0,0,15,0,0,0,1,0,0,26,0,0
"Maloney, Sean P.",0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,2,0,0
"Manchin III, Joseph",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Manning, Kathy",0,4,0,0,15,9,0,0,0,0,0,0,17,0,18,0,0,12,0,0,0,0,0,0,43,0,0
"Marchant, Kenny",0,3,1,0,15,6,0,0,0,0,12,0,13,5,15,0,0,15,0,0,0,3,0,0,19,0,2
"Marshall, Roger W.",0,0,4,0,12,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,14,0,0
"Massie, Thomas",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mast, Brian",0,6,2,0,5,0,0,0,0,0,1,0,0,1,9,0,0,5,0,0,0,0,0,0,8,0,0
"Matsui, Doris O.",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"McCaul, Michael T.",0,2,22,0,16,12,0,0,0,0,31,0,52,4,38,0,0,57,0,0,0,2,0,0,53,1,0
"McConnell Jr., A. M.",0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"McEachin, Aston D.",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1
"McHenry, Patrick T.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"McKinley, David B.",0,13,0,0,23,17,0,0,0,0,0,0,7,0,16,0,0,34,0,0,0,0,0,0,37,0,0
"Meijer, Peter",0,17,6,0,27,24,0,0,0,0,8,0,50,1,42,0,0,28,0,0,0,5,0,0,45,0,9
"Meng, Grace",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Meuser, Daniel",0,0,0,0,1,2,0,0,0,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,1,0,0
"Miller, Carol D.",0,2,0,0,2,12,0,0,0,0,4,0,2,0,8,0,0,5,0,0,0,0,0,0,4,0,3
"Moore, Blake",0,0,0,0,42,3,0,0,0,0,0,0,21,2,5,0,0,5,0,0,0,0,0,0,33,0,0
"Moore, Felix B.",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moran, Jerry",0,4,13,0,9,22,0,0,0,0,21,0,45,3,26,0,0,0,0,0,0,0,0,0,29,0,0
"Morelle, Joseph D.",0,0,1,0,1,1,0,0,0,0,1,0,3,0,3,0,0,1,0,0,0,0,0,0,5,0,1
"Murray, Patty",0,4,7,0,18,20,0,1,0,0,16,0,27,0,21,0,0,16,0,0,0,6,0,0,15,0,10
"Newhouse, Dan",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Newman, Marie",0,0,15,0,125,9,0,0,0,0,4,0,28,1,15,0,0,29,0,0,0,2,0,0,63,1,4
"O'Halleran, Tom",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Pallone, Frank",0,0,0,0,1,3,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1
"Pascrell, Bill",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Pelosi, Nancy",0,0,2,0,8,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,31,0,0
"Perdue Jr., David A.",0,184,99,0,520,133,0,0,0,0,371,0,154,32,188,0,0,241,0,0,0,9,0,49,287,0,12
"Perlmutter, Ed",0,3,2,0,8,4,0,0,0,0,1,0,6,0,4,0,0,3,0,0,0,0,0,0,16,0,0
"Peters, Gary C.",0,7,3,0,2,2,0,0,0,0,1,0,8,3,6,0,0,4,0,0,0,9,0,0,1,0,3
"Peters, Scott H.",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
