sector,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Basic Materials,2,4,20,16,48,73,64,36,57,62
Communication Services,0,0,23,9,11,38,52,50,58,8
Communications,0,0,0,0,0,0,0,0,0,1
Consumer Cyclical,0,0,73,101,95,207,222,122,238,42
Consumer Defensive,0,0,34,35,43,92,80,60,113,18
Consumer Discretionary,0,0,0,0,0,False,0,0,0,0
Consumer Goods,0,0,0,2,1,False,0,0,0,0
Cryptocurrency,0,0,0,0,0,0,0,0,0,False
Energy,0,0,28,84,74,69,118,112,115,21
Financial,0,0,5,1,0,0,0,0,0,False
Financial Services,0,1,66,68,86,126,124,58,195,44
Fund,0,1,42,43,28,20,25,21,90,44
Healthcare,0,0,53,83,136,157,124,57,95,29
Industrial Goods,0,0,2,0,0,0,0,0,0,0
Industrials,0,0,70,71,70,91,127,114,126,28
Oil & Gas Storage & Trpor,0,0,0,False,0,0,0,0,0,0
Real Estate,0,0,9,5,11,16,3,5,22,10
Services,0,0,1,19,16,21,0,0,0,False
Technology,0,0,112,89,149,147,157,122,260,147
Trust,0,0,1,1,0,0,0,4,3,5
Utilities,0,0,12,12,11,22,8,3,4,3
