ticker,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0QZI.IL,0,0,0,0,0,0,0,2,0,0
35G.SG,0,0,0,0,0,0,0,0,0,2
3V64.TI,0,0,0,0,0,0,0,2,0,0
7XY,0,0,0,0,0,0,0,0,0,1
A,0,0,1,2,1,0,0,0,1,2
AA,0,0,0,0,0,0,0,1,2,14
AAGIY,0,0,0,0,0,0,0,4,4,5
AAIGF,0,0,0,0,0,0,0,0,0,1
AAL,0,0,0,0,0,0,0,0,24,13
AAN,0,0,0,17,1,0,0,0,2,0
AAON,0,0,0,1,0,0,0,0,0,0
AAPL,0,0,14,13,22,17,25,32,145,65
AAPl,0,0,0,0,0,0,0,0,0,4
AAT,0,0,0,1,0,0,0,0,0,0
AAVMY,0,0,0,0,0,0,0,0,2,0
AAWW,0,0,0,0,0,0,0,1,0,0
AAl,0,0,0,0,0,0,0,0,0,1
AB,0,0,0,0,0,0,0,0,1,2
ABALX,0,0,0,0,0,0,0,0,1,0
ABB,0,0,0,0,0,0,0,1,4,4
ABBV,0,0,4,4,0,1,2,3,21,10
ABC,0,0,0,0,0,0,0,0,0,2
ABCB,0,0,0,0,0,0,0,0,4,0
ABCO,0,0,0,1,0,0,0,0,0,0
ABEV,0,0,0,0,0,0,0,2,4,1
ABM,0,0,0,0,0,0,0,3,0,0
ABMD,0,0,0,0,0,0,0,1,8,0
ABNB,0,0,0,0,0,0,0,0,0,4
ABT,0,0,0,3,3,3,2,2,19,9
ABYIX,0,0,0,0,0,0,0,0,1,1
ACA,0,0,0,0,0,0,3,4,1,0
ACAD,0,0,0,0,0,0,0,0,1,0
ACB,0,0,0,0,0,0,0,0,1,1
ACCYY,0,0,0,0,0,0,0,0,1,0
ACE,0,0,3,1,0,0,0,0,0,0
ACGL,0,0,0,0,0,0,0,0,1,5
ACHC,0,0,0,0,0,0,0,0,0,1
ACI,0,0,0,0,0,0,0,0,3,0
ACIW,0,0,0,0,0,0,0,0,3,0
ACM,0,0,0,0,0,0,0,0,1,0
ACN,0,0,0,1,1,1,2,2,26,21
ACSAY,0,0,0,0,0,0,0,0,1,0
ACSDX,0,0,0,1,0,0,0,0,0,0
ACST,0,0,0,0,0,0,0,0,0,1
ACT,0,0,3,2,0,0,0,0,0,0
AD,0,0,0,0,0,0,0,0,1,0
ADA-USD,0,0,0,0,0,0,0,0,0,4
ADBE,0,0,0,0,0,0,0,1,12,22
ADC,0,0,1,0,0,0,0,0,3,0
ADDDYY,0,0,0,0,0,0,0,0,0,1
ADDYY,0,0,0,0,0,0,0,2,2,2
ADI,0,0,0,0,0,7,4,2,1,1
ADM,0,0,0,0,0,0,0,0,5,2
ADP,0,0,0,1,1,0,2,1,4,2
ADS,0,0,0,0,0,0,0,1,4,1
ADSK,0,0,0,0,0,0,0,1,2,4
ADT,0,0,0,0,11,0,0,0,0,0
ADT.F,0,0,0,0,1,0,0,0,0,0
ADTN,0,0,0,0,0,0,0,0,1,0
ADUS,0,0,0,0,0,0,0,1,0,0
ADYEY,0,0,0,0,0,0,0,0,3,2
AEE,0,0,0,1,1,0,0,0,0,0
AEG,0,0,0,0,0,0,0,0,1,0
AEIS,0,0,0,0,0,0,0,0,0,3
AEP,0,0,1,0,0,0,0,0,8,4
AER,0,0,0,0,0,0,0,0,1,0
AESE,0,0,0,0,0,0,0,0,0,1
AET,0,0,0,0,0,0,1,0,0,0
AEX.MU,0,0,0,0,1,0,0,0,0,0
AFL,0,0,1,0,1,0,3,0,7,1
AFRM,0,0,0,0,0,0,0,0,0,3
AFSI,0,0,0,1,0,0,0,0,0,0
AFTEX,0,0,0,1,0,0,0,0,0,0
AFTPY,0,0,0,0,0,0,0,0,1,0
AGCO,0,0,1,0,0,0,0,1,1,2
AGESY,0,0,0,0,0,0,0,0,2,0
AGN,0,0,0,0,3,4,2,3,7,0
AGO,0,0,0,0,0,0,0,1,0,0
AGR,0,0,0,0,0,0,0,0,1,2
AGU,0,0,0,0,0,1,0,0,0,0
AHCO,0,0,0,0,0,0,0,0,0,8
AHEXY,0,0,0,0,0,0,0,0,1,0
AHKSY,0,0,0,0,0,1,0,1,1,0
AHT,0,0,0,0,0,0,0,0,1,0
AI,0,0,0,0,0,0,0,0,0,3
AIG,0,0,3,1,0,0,1,1,15,4
AIMC,0,0,0,0,0,0,0,1,1,0
AIO,0,0,0,0,0,0,0,0,0,1
AIQUY,0,0,0,0,0,0,0,3,3,1
AIR,0,0,0,0,0,0,0,0,1,0
AIT,0,0,1,0,0,0,0,0,2,0
AIV,0,0,0,0,0,0,0,2,2,0
AIVSX,0,0,0,0,0,0,0,0,0,1
AIZ,0,0,0,0,0,0,0,1,7,0
AJG,0,0,3,0,0,0,0,0,1,1
AJRD,0,0,0,0,0,0,0,0,1,1
AKAM,0,0,0,0,0,1,0,1,5,2
AKRX,0,0,0,1,0,0,0,0,0,0
AL,0,0,0,0,0,0,1,0,0,1
