ticker,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0QZI.IL,0,0,0,0,0,0,0,2,0,0
3V64.TI,0,0,0,0,0,0,0,2,0,0
A,0,0,1,2,1,0,0,0,0,0
AA,0,0,0,0,0,0,0,0,1,14
AAGIY,0,0,0,0,0,0,0,1,0,0
AAL,0,0,0,0,0,0,0,0,6,0
AAN,0,0,0,17,1,0,0,0,0,0
AAON,0,0,0,1,0,0,0,0,0,0
AAPL,0,0,14,13,22,17,25,16,49,16
AAT,0,0,0,1,0,0,0,0,0,0
ABB,0,0,0,0,0,0,0,1,0,0
ABBV,0,0,4,4,0,1,2,1,10,0
ABCO,0,0,0,1,0,0,0,0,0,0
ABT,0,0,0,3,3,3,2,1,2,0
ABYIX,0,0,0,0,0,0,0,0,1,1
ACA,0,0,0,0,0,0,3,4,1,0
ACE,0,0,3,1,0,0,0,0,0,0
ACIW,0,0,0,0,0,0,0,0,1,0
ACN,0,0,0,1,1,1,2,0,0,0
ACSDX,0,0,0,1,0,0,0,0,0,0
ACT,0,0,3,2,0,0,0,0,0,0
ADBE,0,0,0,0,0,0,0,0,0,4
ADC,0,0,1,0,0,0,0,0,0,0
ADI,0,0,0,0,0,7,4,2,0,0
ADM,0,0,0,0,0,0,0,0,5,0
ADP,0,0,0,1,1,0,2,0,3,2
ADT,0,0,0,0,11,0,0,0,0,0
ADT.F,0,0,0,0,1,0,0,0,0,0
AEE,0,0,0,1,1,0,0,0,0,0
AEP,0,0,1,0,0,0,0,0,1,1
AET,0,0,0,0,0,0,1,0,0,0
AEX.MU,0,0,0,0,1,0,0,0,0,0
AFL,0,0,1,0,1,0,3,0,4,0
AFSI,0,0,0,1,0,0,0,0,0,0
AFTEX,0,0,0,1,0,0,0,0,0,0
AGCO,0,0,1,0,0,0,0,0,1,0
AGN,0,0,0,0,3,4,2,0,1,0
AGU,0,0,0,0,0,1,0,0,0,0
AHKSY,0,0,0,0,0,1,0,1,0,0
AIG,0,0,3,1,0,0,1,1,7,0
AIT,0,0,1,0,0,0,0,0,0,0
AIV,0,0,0,0,0,0,0,0,2,0
AIZ,0,0,0,0,0,0,0,0,7,0
AJG,0,0,3,0,0,0,0,0,0,0
AJRD,0,0,0,0,0,0,0,0,1,1
AKAM,0,0,0,0,0,1,0,1,0,0
AKRX,0,0,0,1,0,0,0,0,0,0
AL,0,0,0,0,0,0,1,0,0,0
ALB,0,0,0,0,0,0,1,10,3,0
ALE,0,0,0,1,0,0,0,0,0,0
ALGN,0,0,0,0,0,0,0,0,0,1
ALL,0,0,1,0,0,0,1,0,2,0
ALLE,0,0,0,0,0,0,0,0,0,1
ALTR,0,0,2,3,0,0,0,0,0,0
ALV,0,0,1,0,0,0,0,0,0,0
AM,0,0,0,2,2,0,0,5,0,0
AMAT,0,0,0,1,0,0,0,0,6,3
AME,0,0,0,0,0,1,0,0,0,2
AMG,0,0,0,2,4,0,0,0,0,0
AMGN,0,0,2,3,6,6,4,1,5,0
AMLP,0,0,3,0,0,0,0,0,1,0
AMSG,0,0,0,1,0,0,0,0,0,0
AMT,0,0,4,0,1,3,0,2,2,0
AMWD,0,0,0,0,0,0,0,0,2,0
AMZN,0,0,4,2,2,6,12,6,21,1
ANCX,0,0,0,0,0,1,0,1,0,0
ANDX,0,0,0,0,0,2,1,1,0,0
ANTM,0,0,0,1,0,0,0,2,1,0
AON,0,0,0,0,0,0,1,0,0,1
APA,0,0,1,0,0,2,0,0,0,0
APAM,0,0,0,0,0,0,0,0,0,1
APC,0,0,0,0,0,0,0,1,0,0
APD,0,0,0,0,0,0,2,0,0,1
APH,0,0,1,0,0,0,0,0,0,0
APO,0,0,0,0,0,0,0,0,2,0
APTV,0,0,0,0,0,0,4,0,0,0
AQFH,0,0,0,0,0,2,0,0,0,0
AQN,0,0,0,0,0,0,0,0,0,1
AR,0,0,0,1,0,0,0,0,0,0
ARCC,0,0,1,0,0,3,0,0,2,0
ARE,0,0,1,0,0,0,0,0,3,1
ARNA,0,0,0,0,0,0,0,0,6,0
ARW,0,0,0,1,0,1,0,0,0,0
ASIX,0,0,0,0,4,0,0,0,0,0
ASML,0,0,0,0,0,1,0,1,0,0
ATHM,0,0,0,0,0,0,0,0,0,2
ATML,0,0,1,1,0,0,0,0,0,0
ATOAX,0,0,0,0,0,0,0,0,1,0
