ticker	house	senate	input
TOLLX		3	3
SMNNY	1		1
CMCAS	1		1
SFST	1		1
HTZ	1		1
FUJHY	1		1
WES	10	7	17
OSW	8		8
KIDS	2		2
FMAT	1		1
AESE	1		1
JAZZ	1		1
BLDr	1		1
PCRFY	1		1
CLGX	1		1
TFC	19	4	23
SLGN	5		5
MDB	3		3
FDRR	3		3
ESS	1	1	2
MNST	3		3
FOUR	3		3
CFJIX	2		2
BHP	6	2	8
GWW	1	3	4
OKTA	1		1
KRFT		2	2
DRE	6		6
SMLP	7		7
CWK	4		4
AMN	13		13
RIO	9	1	10
CCMP	4		4
OSUR	2		2
JEMWX	1		1
DELL	6	1	7
KMX	14	4	18
RODM		4	4
LANC	1		1
FSCPX	1		1
LNSTY	1		1
DHI		4	4
ADT.F		1	1
CE	1	2	3
AHKSY	1	2	3
GTCSX		1	1
PCPL.U	1		1
SPKE	1		1
LRNZ	2		2
NTOIY	2		2
ALXN	14		14
RDFN	1		1
SWMAY	1		1
ALTR		5	5
CSTL	2		2
BCR		5	5
MSM	1	6	7
AAGIY	12	1	13
GDDY	17	2	19
VICI	4		4
CSX	4	7	11
GWPH	1		1
TLLP		1	1
PHX	1		1
MTN	1		1
WWD	6		6
MDYV	4		4
IQV	15	4	19
PRGTX	1		1
ANET	3		3
BBVA	11		11
NRDBY	1		1
MGA	1	3	4
WSTMX		1	1
APCD	3		3
MFRM		1	1
AIZ	1	7	8
NNN	2		2
MYL	1	9	10
RSPP		3	3
WF		3	3
WMC	1		1
DDOG		4	4
XSD		6	6
VRM	7	2	9
CSL	6		6
ATASY	3		3
LKQ	5		5
YUMC	3	1	4
NTNX	1		1
HMC	1	2	3
COIN	20		20
IEF	1		1
SBGSY	5		5
FANUY	6	3	9
CMWAY	2		2
SPLK	14		14
TRREX	1		1
ILF		1	1
GRMN		1	1
BIVV		2	2
NGIPX		2	2
IJS		1	1
ON	4	2	6
ABNB	4		4
EWU	1		1
BSIXX	2		2
NBIX	4		4
XLNX	3	6	9
MSTY.PA		2	2
FTTGLX	1		1
ROKU	28	1	29
DWDP	2	13	15
NTDOY	5		5
ESGR	3		3
OSK		3	3
MFYV	1		1
CC		1	1
AZTA	2		2
AY	3	1	4
EPP		1	1
AQB	1		1
VWDRY	1		1
DWX		1	1
TNTOF		1	1
BTLCY	1		1
IWV	1		1
DNKN	2	5	7
XSOE	1		1
WRK.V	1		1
SGSOY	7		7
CFR	5	2	7
SAIC	6		6
DPSGY	2		2
CHGG	2		2
TELL	1		1
EMC		4	4
SQ	27	6	33
OWLSX	6		6
APC	2	1	3
E	1		1
FRIAX		1	1
FLQL	1		1
APO	1	2	3
NBLX	13		13
DGNR		1	1
HRTX	1		1
INVH	4		4
SU	8	8	16
FEYE	3	67	70
TBCIX	1		1
OWMBX	1		1
BBVLX	1		1
BKEP	6	1	7
VCSH	1		1
TLRY	6		6
TDOC	18		18
BTC		1	1
VEU	1		1
CEQP	13	2	15
AQN		1	1
CAIFX		1	1
PYPL	49	27	76
OWSMX	3		3
PRSP	2		2
HWM	1		1
ING	2		2
BTZ	1		1
SNOXX	5		5
LBTYK		1	1
GEL	21	7	28
KPLTW	6		6
TXN	24	5	29
AVB	3		3
CTRL		1	1
BP	11	7	18
KKPNY	1		1
TOT	4	1	5
IAT	1	1	2
ABYIX		2	2
ATLKY	5		5
ATOAX		1	1
NTTYY	1		1
SSBK		1	1
BBTBX	2		2
QSR	3	2	5
TKOMY	1		1
TBBC	1		1
APH	3	1	4
CABO		1	1
LLTC		4	4
TRN	4		4
PNC	13		13
DXC	10		10
EEM		7	7
VOO	2	1	3
ATVI	17	2	19
BSIIX	1		1
CHD	6		6
PINS	5	1	6
WTW		10	10
SEDG	3		3
PCY		1	1
CCXI	1		1
BASFY	1	1	2
AGR	3		3
SMTC		1	1
AQUA	5		5
SO	31	8	39
ORLY	12	1	13
PLKI		1	1
MCD	20	12	32
BLUE	4		4
TSCDY	1		1
POST	6		6
WCN	3	3	6
RMD	1	4	5
DIS	64	74	138
LGI	2	3	5
FAFTX	1		1
NTRP		3	3
JCOM		2	2
OHI	2	3	5
NSIT	2		2
ARW	1	2	3
CZR	3	63	66
UNF	1		1
XLK	2		2
VCYT	8		8
MTDR	3		3
TRMB	1		1
XENT	1		1
PRGS	5		5
LZAGY	5		5
CPSI		1	1
SQI		1	1
ESGD	1		1
MYE	1		1
XAR		1	1
PBYI	2		2
KEY	6	4	10
FHN	6		6
TDY	5	1	6
ADM	2	5	7
ULTA	3		3
AGCO	3	2	5
HRI	3		3
LNKD		4	4
SCG		1	1
RUN	93		93
CP		3	3
^RGP		1	1
LGND	4		4
ESNT	2		2
AROW	1		1
PNGAY	9		9
LVMHF	5		5
ALK	5		5
GLOP	15		15
MTSI	3		3
HR	1		1
BGNE	1		1
BXMDX	1		1
TDADX	1		1
WDR	1		1
SYK	11	10	21
KNRRY	1		1
HVRRY	1		1
ROP	25	2	27
SKYY	5		5
HTS		1	1
NEE	44	9	53
PEGA	1	1	2
WCLD	1		1
FIVN	2		2
DPZ	6	1	7
FDSWX		1	1
MU	10	13	23
PI	3		3
MUR	6		6
LCGFX	2		2
SPTM	1		1
THS		1	1
CWGIX	1		1
NVZMY	5		5
PRE		1	1
EFV	1		1
BX	28	5	33
GSS	1		1
HALO	3	1	4
WRK	9	2	11
BYD	1		1
NVLIX	1		1
PAIDX	2		2
SE	3	8	11
GRUB	2	1	3
CRL	2		2
BGG	1		1
WIW		4	4
AYI	3	2	5
NOW	11		11
TTWO	1		1
VOD	2	5	7
WMGI	3		3
ETP	1	8	9
AIVSX	1		1
JPM	62	34	96
GOOC.VI	1		1
CCXX	2		2
NWN	9	1	10
TGTX	1		1
SWN	1	1	2
OLED	12		12
XRT		2	2
SNPS	3	1	4
ETH-USD	2		2
PTMC		3	3
HEP	1		1
MDLZ	9	11	20
GPK	6	40	46
UBS	14		14
ADC	3	1	4
EC		1	1
XLY	1	1	2
PLYA	3		3
KUBTY	7		7
UPLD	3		3
FIDSX	2		2
DIA	20		20
JNK	1	2	3
CVGW	1		1
LVS	8	3	11
VV	1		1
AIV	2	2	4
AMTX	6		6
OAYIX		1	1
ESI	11		11
NHI	7		7
ALb	1		1
KLAC	2	16	18
ARI	2		2
LAUR	2		2
NRDY		1	1
ISIS		1	1
HLT	7	2	9
BOOT	3		3
ETC-USD	2		2
RY.TO	1		1
FAF	2		2
PLD	8	2	10
O	8	1	9
HZN	1		1
LYFT	4		4
AAON		1	1
RPBAX	1		1
VZ	39	27	66
WAB	5	1	6
SCGLY	2		2
BA	31	42	73
RSP		1	1
BAMXY	1		1
SJR		1	1
RETA	2		2
AX		1	1
RWEOY	1		1
DNZOY	1		1
GGG		1	1
ASGN	2		2
TDC	1		1
ENBL	32		32
GDRX	1		1
BG	1		1
SIRI	7		7
GNRC	32	1	33
SKY	4		4
NABZY	1		1
TNGO		1	1
NKE	20	12	32
COHR	1	3	4
OIH	1		1
UNP	16	6	22
HTA	1		1
HL	2		2
SGAPY	1	2	3
ZAYO		2	2
HASI	5	1	6
RAVN		1	1
ENS	1		1
AIQUY	7		7
AMCX	3		3
PROF	2		2
DLAKY	1		1
SAN	1		1
HS	2		2
JHX	1		1
CHKP	8	2	10
KIM	1		1
LUBFX		5	5
NWSA	2	9	11
ORA	1		1
VSLR	18		18
ABC	2		2
INST	1		1
NULC	2		2
PEY		2	2
POOL	2		2
ATO	5		5
SEE	7		7
FRT		2	2
CUTR		3	3
PAYC	4		4
ARCC	4	6	10
DOGE-USD	4		4
PLXS	6		6
JEPI	1		1
BAESY	2		2
GWRE	1		1
MED	2		2
UA-C		1	1
MKC	2	1	3
OKS		1	1
NWL	5	13	18
GSAH	3		3
ARE	2	5	7
ATHM		2	2
BFAM	3	3	6
SNX	1		1
FBSI	2		2
IDA	1		1
SWRAY	2		2
GEMIX		3	3
SSNC	19		19
LVMUY	6	1	7
TEZNY	1		1
OLN		1	1
ODFL	1	1	2
TU		2	2
FLVEX	1		1
PRNHX		1	1
FHB	2	2	4
CMN		1	1
KMT	2		2
CAH	1	3	4
ISRG	15	7	22
TWST	1		1
NVDA	71	51	122
FSKAX	2		2
PCRX	2		2
RYAAY		2	2
RHHBF	3		3
COF	8	8	16
QTS	5		5
TRIT		1	1
WEC	4	5	9
IAI		1	1
STLA	4		4
AM	39	9	48
SFTBY	6	2	8
NYT	2		2
YUM	2	3	5
VEEV	7	1	8
JBT	2		2
EXPD	7		7
SONY	3		3
NCMGF	1		1
FLY		1	1
SGIIX	1		1
XMO	1		1
PATK	3		3
PX		8	8
LINK-USD	2		2
ARR	1		1
ETR	3	2	5
TIIAY	1		1
SHOO		1	1
TTD	2	2	4
STT	11	13	24
TRMK	1		1
ZTS	11	3	14
REGN	16	7	23
HCN	1		1
CYBX		1	1
CIBR	2	1	3
BTC-USD	2		2
STOR	8		8
ALGM	1		1
IGV	1		1
JSOAX	1		1
TSN	3	3	6
CCI	19	6	25
AIMC	2		2
SPG	19	5	24
TGNA	5		5
FNGN		1	1
LYG	3		3
XHB	1		1
DVA		3	3
VWIGX	1		1
QMCO	3		3
BBU		1	1
JPM$G	2		2
CTLT	16		16
SYY	17	15	32
ENTG	9	38	47
CLDT		1	1
NTAP	111	1	112
AXLL		13	13
POT		1	1
SF	2		2
CSCCX	1		1
UBER	21	2	23
LDP		5	5
PONPX	1		1
SMMNY	1		1
RBGLY		2	2
DECK	10	2	12
TWNK	1		1
WM	12	7	19
LBDAV	1		1
MMC	11	4	15
ZION	2		2
BIG	1		1
KWR		1	1
IBTI	1		1
CHEF		1	1
GLPEY	1		1
FOXF	1		1
VRSN	5		5
JBL	1		1
GOLD	4	2	6
CRNC	4		4
CREE	4		4
INFY		5	5
AKRX		1	1
CS	2		2
PAAS		1	1
PUBGY	1		1
ZUO	4		4
INFR	1		1
PSTH	1		1
PRWCX	1		1
RTNB	1		1
BLFSD	1		1
PII	4	5	9
RDUS	3		3
VC	1		1
IVE	1		1
COTY	2		2
SC	1		1
CSGP	13		13
BMY	18	31	49
CEA		1	1
NMIH	2		2
RHP	3	2	5
RRC		1	1
FDN	6	4	10
GNTX		1	1
LCID	1		1
PUK	1		1
SNOW	2	1	3
CSCO	27	40	67
CTB	1		1
AAT		1	1
SMG	2	1	3
FCGAX	1		1
HTGC		1	1
FVRR	4		4
CRON	2		2
CRMT		9	9
CATY	4		4
OGN	2	1	3
IFF	6		6
FII	4		4
RTN	3	14	17
AQFH		2	2
QTEC		1	1
KLXI		3	3
BKE		1	1
WDFC	4		4
JD		1	1
FPL		1	1
UL	20	12	32
NXTG		2	2
SYMC		1	1
SLYG	1		1
IJR	3	1	4
WST	2	2	4
TDDXX	117		117
HNDL	3		3
BALY	2		2
BE	9		9
LGF-B		36	36
CNR		1	1
CFG	4	1	5
LAM	1		1
AVNT	1		1
DPM		3	3
SWDBY	1		1
CRY	8		8
PLNT	14		14
DVN	8	30	38
XLV	2	1	3
BIIB	13	17	30
DBSDY	7		7
ESTC	3		3
LM09.SG		4	4
AEG	1		1
JJSF		1	1
GLNCY		1	1
HLPPY	1		1
SAFRY		1	1
MTBC	4		4
DOW	11	17	28
ICON		1	1
RCL	3	2	5
MDIBY	2		2
QGEN	4		4
MDDVX		2	2
EXAS	18		18
VMW	4	2	6
SKVKY	2		2
PARMX	1		1
PL		1	1
CTSH	12	13	25
RL	2	4	6
NBL	2	1	3
MPC	5	7	12
MDU		2	2
IDV	1	2	3
CLNE	9		9
QCHR	1		1
NSRGY	34	13	47
FBALX	1		1
VIAC	24	8	32
EWBC	1		1
FIVE	8		8
MA	40	11	51
Broadcom Inc.	1		1
WSM	3		3
KDP	3	2	5
LLL	1		1
FBMPX	1		1
BRP	3		3
AMP	3		3
BR	4		4
DNB	3		3
INCY	2	2	4
BAC$K	3		3
FXM	1		1
IX	1		1
EL	35	6	41
NPSND		1	1
HOLX	7	4	11
FORD	1		1
JOE	1		1
G	3		3
BKNG	35	7	42
PSA	5	8	13
BAH	5	3	8
AON	13	2	15
ECOM		20	20
MINI	1		1
RDS-A		1	1
DBX	1		1
VIXY		2	2
IBM	30	31	61
AXAHY		1	1
KGFHY	1		1
ENPH	3		3
VSCO	1		1
DOMO	6		6
WB	3		3
EGP	1		1
PDRDY		2	2
MDCA		1	1
PLTR	1		1
TAP	6	11	17
BUD	4	11	15
ACE		4	4
TLT	1		1
DTD		1	1
SPDW	2		2
BHI	1	1	2
MITK	1		1
DMTK	1		1
ISD	1		1
NEWFX	1		1
ALIZY	4		4
PCAR	6	3	9
JAPAY	2		2
MRWSY	2		2
PWE		1	1
ICL	1		1
TYL	1		1
SRPT	4		4
AXP	22	11	33
IR	11	4	15
PRPFX		1	1
WY	6	6	12
ASMB	2		2
TSCO	6	2	8
ANSS	1		1
BLDP	6		6
SIEGY		3	3
APTV	4	4	8
LB	4	3	7
DUSA	1		1
VLP		7	7
LAMR	1		1
ENB	4	19	23
RYAM		1	1
FDL	6		6
APPAD	2		2
PBFX	30		30
PGRE	3		3
SPY	12	30	42
MSACX		1	1
FLCO	1		1
PSNL	3		3
LEA	3	2	5
FEMS		3	3
RXN	2		2
FCNTX	1	1	2
LOCK		1	1
RHHBY	19	7	26
BLKB	1		1
TMHC	2		2
SITC	2		2
EXPI		1	1
VGT	1		1
ST	1	2	3
PXD	9		9
STM	4		4
LHCG	10		10
PAG	2		2
MRNA	11		11
FLIR	13		13
PHR	8		8
SYY.SG		1	1
BBL		1	1
CTXS	6	2	8
ABCB	4		4
BTF		1	1
RDS.B	10		10
TWLO	2		2
UPS	18	22	40
MLCO	1		1
OMVKY	1		1
TAL		1	1
UDR	1		1
BTI	4		4
GLPI	1		1
WETF		4	4
ZEN	2		2
SRLN	2		2
GPN	16		16
GH	8		8
HSNGY	1		1
MRAAY		2	2
FCX	11	5	16
PENN	4	1	5
MTUM		3	3
CMG	7	1	8
VIAV	6	2	8
IJH	2	1	3
ACN	49	5	54
SIGI		1	1
BAM	1	6	7
AMWD		2	2
VONE	1		1
APNHY	1		1
SPSC	3	1	4
LL	1	1	2
HDB	4		4
