date,average_size_of_transactions
2021/07/23,"11,180,341"
2020/07/22,"11,180,341"
2020/10/27,"2,236,069"
2020/01/23,"2,236,069"
2019/02/22,"2,177,940"
2020/05/20,"1,919,386"
2020/06/09,"1,414,214"
2019/05/14,"1,257,433"
2020/04/14,"1,166,132"
2020/04/07,"1,024,939"
2015/10/05,"819,143"
2019/11/01,"707,108"
2019/09/09,"707,108"
2019/06/03,"707,108"
2015/07/06,"707,108"
2020/12/17,"707,107"
2020/09/18,"707,107"
2020/01/16,"707,107"
2019/10/24,"707,107"
2019/10/22,"707,107"
2017/12/08,"707,107"
2017/03/28,"707,107"
2014/05/27,"707,107"
2015/01/12,"707,107"
2014/06/10,"707,107"
2021/03/29,"617,374"
2019/05/31,"472,871"
2020/06/01,"429,187"
2020/05/13,"429,187"
2019/11/22,"429,187"
2015/02/20,"414,607"
2019/10/11,"362,780"
2021/05/25,"360,469"
2015/12/28,"360,469"
2015/02/12,"355,724"
2020/09/25,"353,554"
2020/05/04,"353,554"
2020/04/22,"353,554"
2019/03/31,"353,554"
2018/12/26,"353,554"
2014/05/06,"353,554"
2019/05/23,"332,476"
2020/01/17,"316,228"
2016/12/19,"316,228"
2015/01/06,"316,228"
2020/09/16,"305,060"
2017/06/15,"303,327"
2021/07/16,"301,256"
2020/06/02,"296,628"
2020/02/18,"294,321"
2019/01/30,"290,422"
2015/12/15,"288,686"
2020/04/15,"250,582"
2019/04/30,"246,218"
2020/03/11,"242,352"
2020/09/03,"241,032"
2020/11/24,"239,242"
2020/04/17,"232,859"
2020/04/02,"232,439"
2017/10/18,"230,526"
2019/02/19,"223,970"
2020/04/16,"211,954"
2018/02/05,"207,728"
2020/02/26,"203,631"
2020/03/02,"199,786"
2014/05/07,"192,150"
2019/03/22,"191,846"
2019/12/17,"187,085"
2019/03/11,"185,952"
2019/01/23,"182,968"
2018/01/16,"182,293"
2018/04/24,"179,887"
2020/03/20,"177,489"
2020/11/20,"176,715"
2020/06/24,"176,025"
2014/01/03,"170,436"
2020/03/18,"168,094"
2018/12/27,"163,664"
2017/12/13,"160,251"
2021/05/19,"158,114"
2019/12/20,"158,114"
2020/07/23,"158,114"
2019/12/24,"158,114"
2020/06/18,"158,114"
2019/06/19,"158,114"
2019/01/28,"158,114"
2018/03/07,"158,114"
2018/03/02,"158,114"
2017/07/19,"158,114"
2015/02/25,"158,114"
2013/08/07,"158,114"
2013/06/10,"158,114"
2013/04/29,"158,114"
2017/08/02,"157,319"
2019/04/25,"155,992"
2019/10/28,"152,672"
2019/11/11,"151,769"
2021/01/11,"151,635"
2018/11/28,"151,321"
2015/08/17,"149,535"
2014/08/25,"149,535"
2019/12/19,"146,334"
2015/02/13,"144,204"
2019/02/13,"142,694"
2020/03/17,"139,798"
2019/02/27,"138,152"
2020/08/21,"138,091"
2015/07/09,"137,560"
2019/06/26,"137,485"
2020/06/17,"136,935"
2017/02/28,"136,935"
2015/11/10,"136,095"
2018/01/11,"134,812"
2020/03/27,"133,776"
2019/12/05,"132,289"
2020/03/09,"131,867"
2020/04/06,"131,489"
2018/12/06,"130,290"
2018/12/19,"129,577"
2018/01/12,"127,842"
2019/02/01,"127,617"
2015/11/12,"127,391"
2019/09/25,"126,991"
2019/04/26,"125,111"
2019/04/11,"124,655"
2020/06/23,"124,468"
2020/01/14,"124,034"
2020/07/09,"123,967"
2020/11/16,"123,811"
2019/04/16,"123,811"
2019/12/06,"120,268"
2018/11/26,"116,429"
2017/01/20,"115,959"
2021/03/26,"113,977"
2019/02/25,"112,834"
2019/10/16,"110,900"
2019/11/04,"110,397"
2021/07/14,"109,547"
2020/05/01,"109,547"
2020/09/09,"109,547"
2017/09/22,"109,547"
2021/04/06,"109,228"
2020/08/03,"106,992"
2020/12/16,"105,737"
2020/02/12,"105,737"
2016/12/28,"105,737"
2017/11/06,"104,677"
2014/11/10,"101,649"
2020/08/26,"98,938"
2019/04/29,"98,938"
2020/03/03,"98,852"
2019/04/10,"98,698"
2020/07/31,"98,401"
2019/02/15,"98,401"
2019/01/16,"97,209"
2019/10/23,"96,558"
2015/01/30,"96,558"
2021/08/04,"95,326"
2021/01/04,"95,326"
2020/02/14,"95,326"
2020/02/05,"95,326"
2019/10/18,"95,326"
2019/02/28,"94,404"
2018/05/01,"93,626"
2018/05/03,"93,226"
2016/05/06,"93,062"
2014/10/20,"93,062"
2017/03/16,"92,129"
2016/12/16,"91,849"
2014/07/23,"90,970"
2019/09/17,"90,653"
2015/10/08,"90,653"
2019/09/30,"89,796"
2017/09/05,"89,102"
2017/06/16,"88,012"
2020/07/15,"87,729"
2018/12/20,"87,729"
2015/09/18,"87,401"
2020/02/24,"85,734"
2018/07/26,"84,920"
2017/04/21,"84,920"
2016/11/23,"84,641"
2017/08/31,"84,312"
2020/02/28,"84,014"
2019/04/15,"82,995"
2019/02/20,"82,754"
2016/01/14,"82,754"
2017/08/04,"82,556"
2016/03/31,"82,402"
2021/03/24,"82,160"
2020/11/04,"82,160"
2020/08/14,"82,160"
2020/01/31,"82,160"
2018/02/13,"82,160"
2016/03/09,"82,160"
2014/09/16,"82,160"
2014/06/11,"82,160"
2016/04/19,"81,354"
2017/03/02,"80,838"
2015/12/22,"79,786"
2019/03/07,"77,996"
