Difference	house	senate	input
0	37	478	515
1	57	116	173
2	58	78	136
3	64	137	201
4	76	153	229
5	118	252	370
6	136	253	389
7	285	336	621
8	235	233	468
9	208	269	477
10	185	141	326
11	260	206	466
12	189	288	477
13	328	338	666
14	384	187	571
15	248	250	498
16	221	179	400
17	183	165	348
18	188	283	471
19	463	205	668
20	477	297	774
21	380	282	662
22	225	303	528
23	182	179	361
24	162	396	558
25	156	210	366
26	409	252	661
27	334	229	563
28	569	275	844
29	613	209	822
30	245	122	367
31	284	142	426
32	330	187	517
33	236	113	349
34	184	136	320
35	380	87	467
36	206	79	285
37	176	113	289
38	107	22	129
39	163	65	228
40	169	40	209
41	229	46	275
42	200	42	242
43	91	16	107
44	143	15	158
45	170	12	182
46	30	16	46
47	91	8	99
48	87	8	95
49	118	4	122
50	73	5	78
51	17	1	18
52	39	7	46
53	97		97
54	4	2	6
55	72	2	74
56	70		70
57	21	4	25
58	13	1	14
59	33	1	34
60	14	1	15
61	11	1	12
62	21		21
63	23	11	34
64	26	3	29
65	22	4	26
66	38	10	48
67	22	3	25
68	27		27
69	25	4	29
70	19		19
71	11	2	13
72	25	3	28
73	18	2	20
74	1	1	2
75	5		5
76	23	1	24
77	2	3	5
78	10	8	18
79	2		2
80	4	7	11
81	2		2
82	2	1	3
83	7	5	12
84	3	4	7
85	2	6	8
86		2	2
87	3	5	8
88	2	1	3
89	8	2	10
90	2	1	3
91	2	1	3
92	1	1	2
93	2	5	7
94	1	4	5
95	2	5	7
96	1	2	3
97	1		1
98	3	4	7
99	1		1
100		3	3
101		1	1
102	4	2	6
103	13		13
104	2	3	5
105	6	2	8
106	1	5	6
107	1	8	9
108	6		6
109		4	4
110	4		4
111		4	4
112	2	3	5
113	10	4	14
114		2	2
115	5	1	6
116	2	44	46
118		2	2
119	3	4	7
120	3	3	6
121	1	1	2
122		1	1
124	1		1
125	10	1	11
126	3	2	5
128	2	2	4
129	1	5	6
132		1	1
133	3	4	7
134		2	2
135	15	1	16
137	2		2
140	2	3	5
141		6	6
142	13	5	18
143	11	1	12
145	1		1
146	4	1	5
147	2	26	28
148	2	1	3
149	1	2	3
150	2		2
152		1	1
154		1	1
156	3		3
157		6	6
159	1		1
160		35	35
161	1	1	2
162	2	1	3
163	2	8	10
164	1	1	2
165		4	4
168	1		1
169		2	2
