transaction_date	house	senate	input
2012/09/11		2	2
2021/06/29	5		5
2021/10/19	5	1	6
2020/05/08	8	1	9
2021/12/17	6		6
2016/10/20		1	1
2017/10/18		4	4
2019/08/06		1	1
2016/02/04		1	1
2021/01/16		1	1
2021/03/22	4	1	5
2015/03/13		4	4
2017/07/21		1	1
2019/10/03	1	2	3
2020/09/21	5		5
2014/09/19		1	1
2019/05/10	2	1	3
2019/04/10	2	3	5
2015/03/26		1	1
2017/05/16		1	1
2017/06/19		3	3
2016/02/01		3	3
2014/09/22		1	1
2021/09/24	8		8
2019/02/13		3	3
2020/06/19	7	2	9
2021/08/04	4	3	7
2020/08/11	5	2	7
2014/10/20		2	2
2013/05/02		2	2
2017/05/08		2	2
2017/04/19		1	1
2020/02/29		1	1
2015/06/04		5	5
2015/01/29		2	2
2019/06/18		2	2
2015/02/17		1	1
2021/04/14	9	1	10
2020/02/14	6	1	7
2014/06/06		3	3
2019/02/01	1	4	5
2017/10/31		3	3
2013/03/18		1	1
2018/12/19		6	6
2020/07/22	10	1	11
2017/10/09		1	1
2018/12/12		3	3
2018/12/28		1	1
2019/12/27	4	1	5
2015/05/05		2	2
2016/11/11		2	2
2019/10/04	1		1
2020/08/27	7	6	13
2020/01/13	6	3	9
2020/03/04	7	4	11
2016/03/10		1	1
2021/12/07	4		4
2021/10/21	4	3	7
2017/08/10		2	2
2021/02/10	9	1	10
2018/06/08		1	1
2018/02/12		1	1
2014/01/21		2	2
2021/01/31	1		1
2018/09/11		1	1
2020/03/24	11	5	16
2017/02/21		1	1
2021/07/30	4	2	6
2015/08/05		1	1
2020/12/04	1	1	2
2019/03/29		4	4
2021/03/09	10	1	11
2019/12/09	1	2	3
2018/10/15		3	3
2018/07/09		2	2
2017/11/10		3	3
2016/11/22		1	1
2019/09/19		4	4
2019/11/29	1	1	2
2017/11/07		5	5
2017/10/05		2	2
2019/06/30		1	1
2017/05/19		1	1
2019/10/31	2	2	4
2019/01/25	1	3	4
2018/02/13		1	1
2013/04/17		1	1
2014/11/25		1	1
2015/04/15		2	2
2020/04/13	8	4	12
2020/04/23	8	2	10
2020/02/07	8	3	11
2018/08/14		3	3
2020/12/30	8	2	10
2020/12/18	10		10
2020/10/15	9		9
2017/02/01		5	5
2016/01/22		2	2
2020/08/13	7	1	8
2020/02/05	6	2	8
2020/07/08	10	1	11
2017/02/02		2	2
2014/04/09		1	1
2019/12/06	4	4	8
2021/03/04	11		11
2016/04/14		1	1
2019/12/02	3	1	4
2018/10/17		4	4
2016/06/14		3	3
2021/11/18	5		5
2018/08/01		2	2
2021/09/14	7		7
2020/07/09	4	2	6
2021/12/16	7	2	9
2014/01/31		2	2
2021/04/24	1		1
2013/10/29		1	1
2020/04/24	6	2	8
2021/10/06	6		6
2020/06/23	11	1	12
2016/02/05		2	2
2016/03/17		2	2
2018/06/28		3	3
2016/06/13		3	3
2012/10/24		1	1
2021/03/14	1		1
2016/07/27		2	2
2020/11/29	1		1
2021/02/11	8	2	10
2016/10/31		1	1
2019/07/17		5	5
