amount,2015/02/20,2015/10/05,2016/02/11,2016/08/12,2017/02/01,2018/12/27,2019/10/11,2020/07/31,2021/03/01,2021/07/23,2021/11/08,sort_key
Unknown,,,,3,,,,,,,,-1
"$1,001 - $15,000",,,5,,,,,,,,,15000
"$15,001 - $50,000",,,,,5,,,,,,,50000
"$50,001 - $100,000",,,,,,,,3,,,,100000
"$100,001 - $250,000",,,,,,3,,,,,,250000
"$250,001 - $500,000",,,,,,,,,2,,,500000
"$500,001 - $1,000,000",,,,,,,2,,,,,1000000
"$1,000,001 - $5,000,000",,,,,,,,,,,1,5000000
"$5,000,001 - $25,000,000",,,,,,,,,,1,,25000000
"$25,000,001 - $50,000,000",1,,,,,,,,,,,50000000
"Over $50,000,000",,1,,,,,,,,,,50000001
