type,2020/03/18,2020/07/13,2020/11/17,2020/11/19,2021/01/19,2021/02/12,2021/04/09,2021/04/27,2021/08/16,2021/11/15,sort_key
"$1,001 -",0,12,0,0,0,0,0,0,0,0,1001
"$1,001 - $15,000",257,0,0,0,0,0,0,0,0,0,15000
"$15,001 - $50,000",0,0,0,68,0,0,0,0,0,0,50000
"$50,001 - $100,000",0,0,0,0,0,0,17,0,0,0,100000
"$100,001 - $250,000",0,0,0,0,11,0,0,0,0,0,250000
"$250,001 - $500,000",0,0,5,0,0,0,0,0,0,0,500000
"$500,001 - $1,000,000",0,0,0,0,0,0,0,0,6,0,1000000
"$1,000,001 - $5,000,000",0,0,0,0,0,4,0,0,0,0,5000000
"$5,000,001 - $25,000,000",0,0,0,0,0,0,0,0,0,2,25000000
"$50,000,000 - $100,000,000",0,0,0,0,0,0,0,1,0,0,100000000
