industry,transaction_date,number_of_transactions
Application Software,2020/03/26,7
Entertainment,2020/04/06,5
Aerospace & Defense,2020/04/03,5
Fund,2020/03/10,5
Brokers & Exchanges,2021/03/01,4
Semiconductors,2021/02/16,4
Drug Manufacturers,2020/11/17,4
Computer Hardware,2020/08/27,4
Retail - Defensive,2020/03/17,4
Chemicals,2020/02/28,4
Retail - Apparel & Specialty,2020/01/13,4
Industrial Products,2021/09/30,3
Banks,2021/03/09,3
Online Media,2021/02/12,3
Business Services,2020/11/12,3
Real Estate Services,2020/11/12,3
Biotechnology,2020/11/05,3
Utilities - Regulated,2020/07/02,3
Medical Instruments & Equipment,2020/05/19,3
Communication Services,2020/04/17,3
Health Care Plans,2020/04/14,3
Asset Management,2020/04/14,3
Credit Services,2020/04/14,3
Drug Manufacturers—General,2020/04/14,3
REITs,2020/04/09,3
Medical Devices,2020/04/03,3
Packaging & Containers,2020/04/02,3
Oil & Gas - Integrated,2020/03/26,3
Oil & Gas - Midstream,2020/03/26,3
Restaurants,2020/03/23,3
Autos,2020/03/18,3
Airlines,2020/03/18,3
Insurance - Life,2020/03/13,3
Insurance,2020/03/10,3
Medical Diagnostics & Research,2020/03/02,3
Consumer Packaged Goods,2020/01/14,3
Packaged Foods,2020/01/09,3
Internet Content & Information,2021/12/28,2
Metals & Mining,2021/10/18,2
Farm & Construction Machinery,2021/08/10,2
Software—Infrastructure,2021/07/16,2
Cryptocurrency,2021/05/11,2
Oil & Gas - E&P,2021/02/16,2
Transportation & Logistics,2021/02/02,2
Building Products & Equipment,2021/01/28,2
Shell Companies,2021/01/22,2
Trust,2021/01/13,2
Software—Application,2021/01/11,2
Banks—Diversified,2020/12/07,2
Communication Equipment,2020/11/20,2
Manufacturing - Apparel & Furniture,2020/11/20,2
Banks—Regional,2020/11/20,2
Drug Manufacturers—Specialty & Generic,2020/11/17,2
Engineering & Construction,2020/10/16,2
Oil & Gas - Refining & Marketing,2020/10/16,2
Health Information Services,2020/09/02,2
Building Materials,2020/06/05,2
Employment Services,2020/04/27,2
Oil & Gas - Services,2020/04/14,2
Tobacco Products,2020/04/14,2
Specialty Industrial Machinery,2020/04/03,2
Beverages - Non-Alcoholic,2020/04/02,2
Insurance - Property & Casualty,2020/04/02,2
Beverages - Alcoholic,2020/03/18,2
Consulting & Outsourcing,2020/03/18,2
Telecom Services,2020/03/18,2
Apparel Manufacturing,2020/03/18,2
Specialty Chemicals,2020/03/18,2
Travel & Leisure,2020/03/02,2
Diagnostics & Research,2020/02/14,2
Insurance—Life,2019/03/20,2
Personal Services,2018/07/26,2
Beverages—Non-Alcoholic,2021/12/29,1
Insurance - Specialty,2021/12/23,1
Capital Markets,2021/12/22,1
Health Care Providers,2021/12/21,1
Auto & Truck Dealerships,2021/12/16,1
Specialty Telecommunications,2021/12/01,1
Software,2021/11/30,1
"Furnishings, Fixtures & Appliances",2021/11/19,1
Paper & Paper Products,2021/11/16,1
Leisure,2021/10/22,1
Steel,2021/10/21,1
Utilities—Regulated Electric,2021/10/08,1
Healthcare Plans,2021/09/27,1
Confectioners,2021/09/02,1
Apparel Retail,2021/08/20,1
Consumer Electronics,2021/08/13,1
Specialty Business Services,2021/08/02,1
Oil & Gas Integrated,2021/07/26,1
REIT—Diversified,2021/07/26,1
Industrial Distribution,2021/07/08,1
Semiconductor Equipment & Materials,2021/06/09,1
Drug Manufacturers—Speciality and Generic,2021/05/20,1
Financial Data & Stock Exchanges,2021/05/17,1
Internet Retail,2021/05/10,1
Insurance Brokers,2021/04/27,1
Gambling,2021/04/13,1
Information Technology Services,2021/04/13,1
Diversified Financial Services,2021/04/09,1
Utilities—Renewable,2021/04/05,1
Real Estate,2021/03/29,1
Railroads,2021/03/29,1
Discount Stores,2021/03/17,1
Marine Shipping,2021/03/16,1
Major Pharmaceutical Preparations,2021/03/05,1
Resorts & Casinos,2021/03/05,1
Drug Manufacturers - Specialty & Generic,2021/02/18,1
Footwear & Accessories,2021/02/17,1
Farm & Heavy Construction Machinery,2021/02/17,1
Consulting Services,2021/02/17,1
Other Precious Metals & Mining,2021/02/12,1
Insurance—Diversified,2021/02/03,1
Banks--Diversified,2021/02/03,1
Utilities - Independent Power Producers,2021/01/26,1
Hardware,2021/01/15,1
Home Improvement Retail,2021/01/13,1
Gold,2021/01/11,1
Insurance—Property & Casualty,2021/01/08,1
REIT—Hotel & Motel,2021/01/08,1
Mortgage Finance,2021/01/06,1
Forest Products,2021/01/04,1
Oil & Gas Equipment & Services,2021/01/04,1
Software - Application,2020/12/10,1
Agricultural Inputs,2020/11/20,1
Farm Products,2020/11/20,1
Integrated Freight & Logistics,2020/11/13,1
Financial Services,2020/11/13,1
Textile Manufacturing,2020/11/13,1
Solar,2020/11/05,1
Homebuilding & Construction,2020/08/18,1
Truck Manufacturing,2020/07/30,1
Grocery Stores,2020/07/23,1
Utilities—Regulated Gas,2020/07/23,1
Auto Manufacturers,2020/07/20,1
Congolmerates,2020/07/15,1
Utilities—Diversified,2020/05/27,1
REIT—Healthcare Facilities,2020/05/11,1
Oil & Gas E&P,2020/05/07,1
Residential Construction,2020/05/07,1
Telecommunication Services,2020/04/28,1
Utilities—Regulated Water,2020/04/27,1
Electric Utilities,2020/04/16,1
Oil & Gas Midstream,2020/04/15,1
Infrastructure Operations,2020/04/14,1
Travel Services,2020/04/14,1
Electrical Equipment & Parts,2020/04/14,1
Other Industrial Metals & Mining,2020/04/07,1
Medical Distribution,2020/04/07,1
Utilities - Regulated Water,2020/03/19,1
Lodging,2020/03/18,1
Financial Conglomerates,2020/03/18,1
Staffing & Employment Services,2020/03/18,1
Beverages,2020/03/18,1
Real Estate—Development,2020/03/18,1
Insurance—Reinsurance,2020/03/18,1
Real Estate—Diversified,2020/03/18,1
Food stores,2020/03/18,1
Waste Management,2020/02/13,1
IT Services,2020/02/11,1
Security & Protection Services,2020/01/28,1
Advertising Agencies,2020/01/10,1
Auto Parts,2019/12/23,1
Agriculture,2019/10/11,1
REIT—Retail,2019/06/24,1
Tools & Accessories,2019/03/19,1
Household & Personal Products,2019/03/11,1
Beverages – Alcoholic,2019/03/11,1
Electronic Components,2019/03/11,1
Scientific & Technical Instruments,2019/03/11,1
Medical Instruments & Supplies,2019/03/11,1
Beverages—Brewers,2019/03/11,1
Broadcasting,2018/12/19,1
Health Care Equipment & Supplies,2018/10/30,1
Telecommunications,2017/11/01,1
Luxury Goods,2017/09/05,1
Retail,2017/08/17,1
Electronic Gaming & Multimedia,2017/07/14,1
Tobacco,2017/06/15,1
Health Services,2017/05/12,1
Oil & Gas - Drilling,2017/04/20,1
Specialty Retail,2017/04/04,1
"Oil, Gas, & Consumable Fuels",2017/03/24,1
Electronics,2017/03/14,1
Diversified Services,2017/03/14,1
Banks - Regional,2017/02/03,1
Utilities--Regulated Electric,2017/01/25,1
Energy,2016/12/14,1
Oil and Gas,2016/11/09,1
Conglomerates,2016/07/12,1
Food Distribution,2016/05/11,1
Utilities,2016/01/08,1
Oil & Gas Refining & Marketing,2015/12/04,1
Computer Software & Services,2015/08/28,1
Media,2015/07/29,1
Energy & Utilities,2015/05/01,1
Insurance—Specialty,2015/03/03,1
Consumer NonDurables,2015/02/13,1
Advertising & Marketing Services,2015/02/13,1
Automotive,2015/02/13,1
Defense,2015/02/12,1
Aerospace/Defense,2014/12/18,1
Internet,2014/07/29,1
Coal,2014/07/23,1
Publishing,2014/07/21,1
Education,2014/05/07,1
Banking,2014/05/07,1
