industry,transaction_date,number_of_transactions
Computer Hardware,2020/08/27,3
Health Care Plans,2020/04/14,3
Asset Management,2020/04/14,3
Credit Services,2020/04/14,3
Entertainment,2020/04/06,3
Chemicals,2017/09/01,3
Banks,2021/03/03,2
Fund,2021/01/04,2
Oil & Gas - Integrated,2020/08/21,2
Semiconductors,2020/08/21,2
Retail - Defensive,2020/08/19,2
Retail - Apparel & Specialty,2020/08/18,2
Drug Manufacturers,2020/04/14,2
Application Software,2020/04/14,2
Consumer Packaged Goods,2020/04/14,2
Communication Equipment,2020/04/14,2
Airlines,2020/04/14,2
Tobacco Products,2020/04/14,2
Insurance - Life,2020/04/14,2
Oil & Gas - Midstream,2020/04/07,2
Aerospace & Defense,2020/04/07,2
Industrial Products,2020/03/09,2
Trust,2019/06/26,2
Biotechnology,2019/02/04,2
Transportation & Logistics,2018/12/13,2
Personal Services,2018/07/26,2
Travel & Leisure,2017/11/13,2
Business Services,2017/06/15,2
Online Media,2017/05/24,2
Manufacturing - Apparel & Furniture,2016/01/06,2
Oil & Gas - E&P,2015/03/16,2
Communication Services,2014/12/18,2
Beverages—Non-Alcoholic,2021/12/29,1
Software—Application,2021/12/28,1
Metals & Mining,2021/12/23,1
Insurance - Specialty,2021/12/23,1
Insurance,2021/12/21,1
Autos,2021/12/21,1
Health Care Providers,2021/12/21,1
REITs,2021/12/16,1
Auto & Truck Dealerships,2021/12/16,1
Specialty Telecommunications,2021/12/01,1
Medical Instruments & Equipment,2021/10/26,1
Brokers & Exchanges,2021/10/26,1
Leisure,2021/10/22,1
Steel,2021/10/21,1
Utilities - Regulated,2021/10/18,1
Engineering & Construction,2021/10/14,1
Building Materials,2021/09/30,1
Beverages - Alcoholic,2021/09/30,1
Consulting & Outsourcing,2021/09/30,1
Real Estate Services,2021/08/23,1
Cryptocurrency,2021/08/16,1
Banks—Regional,2021/08/12,1
Internet Content & Information,2021/07/30,1
Oil & Gas Integrated,2021/07/26,1
Software—Infrastructure,2021/07/16,1
Beverages - Non-Alcoholic,2021/07/16,1
Industrial Distribution,2021/07/08,1
Drug Manufacturers—General,2021/06/28,1
Medical Diagnostics & Research,2021/06/24,1
Restaurants,2021/05/19,1
Internet Retail,2021/05/10,1
Gambling,2021/04/13,1
Information Technology Services,2021/04/13,1
Utilities—Renewable,2021/04/05,1
Medical Devices,2021/03/29,1
Real Estate,2021/03/29,1
Other Precious Metals & Mining,2021/02/12,1
Insurance—Diversified,2021/02/03,1
Utilities - Independent Power Producers,2021/01/26,1
Shell Companies,2021/01/22,1
Insurance—Property & Casualty,2021/01/08,1
Forest Products,2021/01/04,1
Oil & Gas - Refining & Marketing,2020/12/31,1
Specialty Industrial Machinery,2020/12/31,1
Building Products & Equipment,2020/12/31,1
Drug Manufacturers—Specialty & Generic,2020/12/30,1
Telecom Services,2020/12/02,1
Agricultural Inputs,2020/11/20,1
Oil & Gas - Services,2020/11/20,1
Packaged Foods,2020/11/10,1
Insurance - Property & Casualty,2020/09/09,1
Homebuilding & Construction,2020/08/18,1
Truck Manufacturing,2020/07/30,1
Auto Manufacturers,2020/07/20,1
Farm & Construction Machinery,2020/07/13,1
Packaging & Containers,2020/06/02,1
Oil & Gas E&P,2020/05/07,1
Electric Utilities,2020/04/16,1
Oil & Gas Midstream,2020/04/15,1
Infrastructure Operations,2020/04/14,1
Travel Services,2020/04/14,1
Electrical Equipment & Parts,2020/04/14,1
Other Industrial Metals & Mining,2020/04/07,1
Medical Distribution,2020/04/07,1
Waste Management,2020/02/13,1
Security & Protection Services,2020/01/28,1
Auto Parts,2019/12/23,1
Apparel Manufacturing,2019/10/17,1
Agriculture,2019/10/11,1
Health Information Services,2019/08/15,1
Household & Personal Products,2019/03/11,1
Beverages – Alcoholic,2019/03/11,1
Electronic Components,2019/03/11,1
Scientific & Technical Instruments,2019/03/11,1
Medical Instruments & Supplies,2019/03/11,1
Beverages—Brewers,2019/03/11,1
Insurance—Life,2019/03/11,1
Specialty Chemicals,2018/12/21,1
Broadcasting,2018/12/19,1
Health Care Equipment & Supplies,2018/10/30,1
Telecommunications,2017/11/01,1
Luxury Goods,2017/09/05,1
Employment Services,2017/08/31,1
Retail,2017/08/17,1
Electronic Gaming & Multimedia,2017/07/14,1
Tobacco,2017/06/15,1
Health Services,2017/05/12,1
Oil & Gas - Drilling,2017/04/20,1
Specialty Retail,2017/04/04,1
"Oil, Gas, & Consumable Fuels",2017/03/24,1
Electronics,2017/03/14,1
Diversified Services,2017/03/14,1
Banks - Regional,2017/02/03,1
Utilities--Regulated Electric,2017/01/25,1
Energy,2016/12/14,1
Oil and Gas,2016/11/09,1
Conglomerates,2016/07/12,1
Food Distribution,2016/05/11,1
Utilities,2016/01/08,1
Oil & Gas Refining & Marketing,2015/12/04,1
Computer Software & Services,2015/08/28,1
Media,2015/07/29,1
Energy & Utilities,2015/05/01,1
Insurance—Specialty,2015/03/03,1
Consumer NonDurables,2015/02/13,1
Advertising & Marketing Services,2015/02/13,1
Automotive,2015/02/13,1
Defense,2015/02/12,1
Aerospace/Defense,2014/12/18,1
Internet,2014/07/29,1
Coal,2014/07/23,1
Publishing,2014/07/21,1
Education,2014/05/07,1
Banking,2014/05/07,1
