industry,transaction_date,number_of_transactions
Fund,2020/10/09,28
Semiconductors,2020/07/13,24
Oil & Gas - Midstream,2020/06/10,22
Banks,2020/03/18,19
Application Software,2020/02/13,18
Utilities - Regulated,2020/03/16,17
REITs,2019/06/24,15
Software—Infrastructure,2021/10/01,9
Retail - Apparel & Specialty,2021/02/16,9
Health Care Providers,2020/09/02,9
Business Services,2020/03/18,9
Entertainment,2020/03/18,9
Online Media,2021/02/25,8
Brokers & Exchanges,2021/02/16,8
Consumer Packaged Goods,2021/02/11,8
Computer Hardware,2021/02/01,8
Credit Services,2021/01/28,8
Travel & Leisure,2021/09/07,7
Medical Diagnostics & Research,2021/05/20,7
Communication Services,2021/02/11,7
Aerospace & Defense,2020/04/03,7
Medical Devices,2020/03/18,7
Insurance - Life,2020/03/18,7
Banks—Regional,2020/03/18,7
Drug Manufacturers,2020/02/20,7
Insurance,2021/03/10,6
Chemicals,2021/02/16,6
Banks—Diversified,2020/11/13,6
Drug Manufacturers—Specialty & Generic,2020/11/05,6
Diversified Services,2020/04/01,6
Asset Management,2020/03/18,6
Industrial Products,2020/03/18,6
Autos,2020/03/18,6
Specialty Chemicals,2020/03/18,6
Medical Instruments & Equipment,2019/06/24,6
Biotechnology,2019/06/24,6
Retail - Defensive,2021/02/16,5
Consulting & Outsourcing,2021/01/25,5
Metals & Mining,2021/01/11,5
Oil & Gas - Refining & Marketing,2020/06/10,5
Gambling,2020/06/03,5
Restaurants,2021/09/15,4
Farm & Construction Machinery,2021/08/10,4
Insurance - Property & Casualty,2021/08/02,4
Specialty Industrial Machinery,2021/02/17,4
Transportation & Logistics,2021/02/16,4
Oil & Gas Integrated,2020/11/13,4
Conglomerates,2020/11/13,4
Communication Equipment,2020/10/13,4
Packaging & Containers,2020/04/02,4
Health Care Plans,2020/03/18,4
Beverages - Alcoholic,2020/03/18,4
Airlines,2020/03/18,4
Real Estate Services,2021/12/22,3
Travel Services,2021/12/15,3
Electronic Gaming & Multimedia,2021/06/25,3
Cryptocurrency,2021/05/12,3
Telecom Services,2021/02/11,3
Internet Content & Information,2021/02/05,3
Oil & Gas - Integrated,2021/01/22,3
Oil & Gas - E&P,2020/11/20,3
Auto Manufacturers,2020/11/13,3
Oil & Gas E&P,2020/11/13,3
Health Information Services,2020/09/02,3
Insurance - Specialty,2020/08/12,3
Software—Application,2020/07/22,3
Drug Manufacturers—General,2020/04/14,3
Grocery Stores,2020/03/18,3
Insurance—Diversified,2020/03/18,3
Luxury Goods,2020/03/18,3
Tobacco,2020/03/18,3
