industry,transaction_date,number_of_transactions
Fund,2020/04/02,27
Oil & Gas - Midstream,2020/04/15,16
Entertainment,2020/04/14,14
Drug Manufacturers,2020/04/14,11
Consumer Packaged Goods,2020/04/07,10
Industrial Products,2021/03/29,9
Banks,2020/04/14,9
Application Software,2021/02/10,8
Insurance,2020/04/07,8
Semiconductors,2021/04/06,7
Oil & Gas - Integrated,2020/04/14,7
Credit Services,2020/04/14,7
Chemicals,2020/04/14,7
Asset Management,2020/04/02,7
Steel,2021/05/06,6
Oil & Gas - E&P,2021/02/16,6
Retail - Apparel & Specialty,2020/04/07,6
Aerospace & Defense,2018/02/05,6
Biotechnology,2016/09/06,6
Computer Software & Services,2015/02/13,6
Metals & Mining,2021/07/21,5
Insurance - Life,2020/04/07,5
Medical Diagnostics & Research,2019/02/28,5
Computer Hardware,2018/11/27,5
Utilities - Regulated,2017/06/15,5
Communication Equipment,2020/04/14,4
Retail - Defensive,2020/04/14,4
Manufacturing - Apparel & Furniture,2020/04/14,4
Communication Services,2020/04/07,4
Autos,2018/12/28,4
Medical Devices,2018/08/30,4
REITs,2017/06/15,4
Oil & Gas - Services,2015/02/20,4
Health Care Plans,2021/12/21,3
Online Media,2021/03/29,3
Travel & Leisure,2020/05/27,3
Brokers & Exchanges,2020/05/20,3
Restaurants,2020/05/05,3
Airlines,2020/04/07,3
Insurance - Property & Casualty,2020/04/07,3
Farm & Construction Machinery,2020/04/07,3
Trust,2019/06/26,3
Transportation & Logistics,2019/03/28,3
Business Services,2018/11/15,3
Household & Personal Products,2017/09/08,3
Waste Management,2016/07/07,3
Medical Instruments & Equipment,2015/08/04,3
Software—Infrastructure,2020/11/20,2
Specialty Industrial Machinery,2020/09/30,2
Beverages - Non-Alcoholic,2020/08/21,2
Insurance—Diversified,2020/08/21,2
Oil & Gas Midstream,2020/02/10,2
Internet Content & Information,2019/09/25,2
Oil & Gas - Refining & Marketing,2019/09/25,2
Packaging & Containers,2019/08/14,2
Agricultural Inputs,2019/06/17,2
Agriculture,2019/03/28,2
Beverages - Alcoholic,2018/12/27,2
Forest Products,2018/12/19,2
Health Care Providers,2018/12/06,2
Oil & Gas Integrated,2018/12/06,2
Broadcasting,2018/12/06,2
Personal Services,2017/12/21,2
Telecom Services,2017/09/08,2
Retail,2017/06/16,2
Tobacco Products,2017/01/30,2
Packaged Foods,2016/09/06,2
Oil and Gas,2016/04/21,2
Building Materials,2016/03/02,2
Consulting & Outsourcing,2016/02/17,2
Media,2015/08/05,2
Truck Manufacturing,2014/11/25,2
Medical Distribution,2014/07/23,2
Insurance—Specialty,2014/05/22,2
Real Estate,2014/05/07,2
Insurance - Specialty,2021/12/28,1
Software—Application,2021/11/08,1
Engineering & Construction,2021/09/03,1
Leisure,2021/05/04,1
Internet Retail,2021/03/26,1
Specialty Telecommunications,2021/02/16,1
Auto & Truck Dealerships,2021/01/08,1
Real Estate Services,2020/12/21,1
Banks—Regional,2020/11/20,1
Homebuilding & Construction,2020/08/11,1
Auto Manufacturers,2020/07/09,1
Industrial Distribution,2020/04/14,1
Travel Services,2020/03/11,1
Electrical Equipment & Parts,2020/03/10,1
Security & Protection Services,2020/01/27,1
Infrastructure Operations,2019/12/19,1
Apparel Manufacturing,2019/10/01,1
Beverages—Non-Alcoholic,2019/04/25,1
Specialty Chemicals,2018/10/31,1
Health Care Equipment & Supplies,2018/10/29,1
Drug Manufacturers—General,2018/04/24,1
Information Technology Services,2018/04/24,1
Other Industrial Metals & Mining,2017/11/01,1
Beverages – Alcoholic,2017/09/08,1
Electronic Components,2017/09/08,1
Scientific & Technical Instruments,2017/09/08,1
Beverages—Brewers,2017/09/08,1
Health Services,2017/05/11,1
Diversified Services,2017/03/01,1
Banks - Regional,2017/02/01,1
Tobacco,2016/11/17,1
Specialty Retail,2016/11/15,1
Energy,2016/05/24,1
Electronics,2016/01/05,1
Utilities,2015/08/25,1
Defense,2015/03/03,1
Oil & Gas - Drilling,2015/02/24,1
Telecommunications,2015/02/13,1
Luxury Goods,2015/01/06,1
Internet,2014/07/07,1
Shell Companies,2014/06/19,1
Aerospace/Defense,2014/06/18,1
