official,transaction_date,number_of_transactions
"Shalala, Donna",2019/06/24,204
"Cisneros, Gilbert",2020/03/18,160
"Meijer, Peter",2021/02/16,149
"Phillips, Dean",2020/04/02,114
"Sherrill, Mikie",2020/02/20,113
"Loeffler, Kelly",2020/04/07,111
"Perdue Jr., David A.",2020/04/14,110
"Khanna, Rohit",2021/02/11,102
"Gianforte, Greg",2020/03/18,102
"Tillis, Thomas R.",2015/02/13,93
"Murray, Patty",2017/06/15,82
"Clark, Katherine M.",2020/11/05,72
"Collins, Susan M.",2014/05/07,64
"Capito, Shelley M.",2018/04/24,63
"Marchant, Kenny",2020/11/19,62
"Carper, Thomas R.",2020/04/02,60
"Lofgren, Zoe",2020/03/23,56
"Curtis, John",2020/03/27,50
"Schrader, Kurt",2021/02/05,47
"Tuberville, Thomas H.",2021/03/29,44
"Beyer, Donald S.",2020/07/14,42
"McKinley, David B.",2020/04/30,42
"Jacobs, Sara",2021/04/09,40
"Hern, Kevin",2020/07/27,40
"Moran, Jerry",2019/09/25,40
"Keating, William R.",2021/03/17,38
"Courtney, Joe",2020/08/07,37
"Manning, Kathy",2021/01/15,36
"Green, Mark",2020/06/10,34
"Jacobs, Christopher L.",2021/01/04,32
"Larson, John B.",2019/12/18,32
"Cassidy, William",2016/03/31,31
"Gottheimer, Josh",2020/09/15,29
"Miller, Carol D.",2020/07/28,26
"Lowenthal, Alan S.",2020/07/13,24
"Reed, John F.",2019/02/28,24
"Schrier, Kim",2021/10/28,22
"Roberts, Pat",2018/02/05,22
"Yarmuth, John A.",2021/03/05,20
"Fleischmann, Charles J.",2021/01/21,20
"Lee, Susie",2020/10/19,20
"Cohen, Steve",2020/03/26,20
"McCaul, Michael T.",2020/11/18,19
"Conaway, K. M.",2020/02/24,18
"Wyden, Ronald L.",2020/04/06,17
"Evans, Dwight",2020/03/02,17
"Gallagher, Michael J.",2020/01/13,17
"Long, Billy",2020/03/16,16
"Inhofe, James M.",2018/05/03,16
"Welch, Peter",2021/11/18,15
"Morelle, Joseph D.",2020/11/20,15
"Moore, Blake",2021/03/04,14
"Greene, Marjorie T.",2021/01/21,14
"Simpson, Michael K.",2021/01/11,14
"Whitehouse, Sheldon",2016/10/26,14
"Rutherford, John",2021/02/23,12
"Newman, Marie",2021/01/22,12
"Timmons, William R.",2020/06/29,12
"Roe, David P.",2020/06/23,12
"Hoeven, John",2017/01/20,12
"Brooks, Susan W.",2020/04/06,11
"Fallon, Patrick",2021/10/04,10
"Booker, Cory A.",2014/08/08,10
"Scott, Robert C.",2021/12/28,9
"Pfluger, August L.",2021/03/31,9
"Arenholz, Ashley H.",2021/03/31,9
"Franklin, Scott",2021/05/20,8
"Lamborn, Doug",2021/02/01,8
"Pelosi, Nancy",2020/05/08,8
"Ross, Deborah K.",2021/04/27,7
"Wittman, Robert J.",2020/07/02,7
"Maloney, Sean P.",2020/06/26,7
"Frankel, Lois",2020/06/10,7
"Langevin, James R.",2020/03/25,7
"Toomey, Patrick J.",2014/09/02,7
"Hagerty IV, William F.",2021/12/29,6
"Rogers, Harold D.",2021/03/25,6
"Allen, Richard W.",2021/02/10,6
"Hill, James F.",2020/11/30,6
"Rooney, Francis",2020/09/10,6
"Upton, Fred",2020/03/26,6
"Davis, Susan A.",2020/02/11,6
"Brooks, Mo",2020/01/02,6
"Axne, Cynthia",2019/11/22,6
"Meuser, Daniel",2019/06/06,6
"Hollen, Chris V.",2017/02/17,6
"Suozzi, Thomas",2021/10/20,5
