official,transaction_date,number_of_transactions
"Loeffler, Kelly",2020/04/07,111
"Perdue Jr., David A.",2020/04/14,110
"Tillis, Thomas R.",2015/02/13,93
"Murray, Patty",2017/06/15,82
"Collins, Susan M.",2014/05/07,64
"Capito, Shelley M.",2018/04/24,63
"Carper, Thomas R.",2020/04/02,60
"Tuberville, Thomas H.",2021/03/29,44
"Moran, Jerry",2019/09/25,40
"Cassidy, William",2016/03/31,31
"Reed, John F.",2019/02/28,24
"Roberts, Pat",2018/02/05,22
"Wyden, Ronald L.",2020/04/06,17
"Inhofe, James M.",2018/05/03,16
"Whitehouse, Sheldon",2016/10/26,14
"Hoeven, John",2017/01/20,12
"Booker, Cory A.",2014/08/08,10
"Toomey, Patrick J.",2014/09/02,7
"Hagerty IV, William F.",2021/12/29,6
"Hollen, Chris V.",2017/02/17,6
"King Jr., Angus S.",2020/08/18,4
"Sullivan, Daniel S.",2019/07/17,4
"Smith, Tina",2018/08/30,4
"Peters, Gary C.",2015/09/16,4
"Cantwell, Maria E.",2014/06/06,4
"Hickenlooper, John W.",2021/11/01,3
"Duckworth, Ladda T.",2018/08/07,3
"McConnell Jr., A. M.",2019/06/03,2
"Warner, Mark R.",2019/02/19,2
"Coons, Christopher A.",2018/10/24,2
"Cruz, Rafael E.",2016/02/25,2
"Cardin, Benjamin L.",2014/11/17,2
"Lummis, Cynthia M.",2021/09/03,1
"Rosen, Jacklyn S.",2020/11/17,1
"Blunt, Roy D.",2019/11/26,1
"Wicker, Roger F.",2019/05/17,1
"Udall, Thomas S.",2018/12/18,1
"Bennet, Michael F.",2017/11/01,1
"Cornyn, John",2015/08/21,1
"Kaine, Timothy M.",2014/12/03,1
