sector,transaction_date,number_of_transactions
Technology,2020/11/12,8
Consumer Cyclical,2020/03/17,7
Financial Services,2020/01/09,7
Healthcare,2020/11/17,6
Industrials,2020/04/03,6
Consumer Defensive,2020/03/18,6
Energy,2020/11/13,5
Communication Services,2021/02/08,4
Fund,2020/03/10,4
Basic Materials,2021/02/16,3
Utilities,2020/07/02,3
Real Estate,2020/03/18,3
Cryptocurrency,2021/05/11,2
Trust,2021/01/13,1
Banks - Regional,2020/11/13,1
Services,2020/06/23,1
Medical,2020/05/11,1
Communications,2020/04/07,1
Consumer Staples,2020/03/18,1
Retail/Wholesale,2020/03/18,1
Induistrial,2020/02/07,1
Information Technology,2019/06/24,1
