sector,transaction_date,number_of_transactions
AAPL,2021/10/29,3
TSLA,2021/03/22,3
GOOG,2020/04/17,3
RTX,2020/04/07,3
SBUX,2020/03/27,3
MSFT,2020/03/26,3
XOM,2020/03/26,3
UNH,2020/03/23,3
DIS,2020/03/18,3
PRU,2020/03/13,3
DD,2020/02/28,3
DWDP,2017/09/01,3
CVS,2021/12/21,2
BRK.B,2021/12/21,2
EPD,2021/11/19,2
V,2021/11/08,2
AMZN,2021/10/29,2
FB,2021/10/27,2
GNRC,2021/09/30,2
AM,2021/08/11,2
NVDA,2021/07/28,2
NEE,2021/05/18,2
KO,2021/04/19,2
VAR,2021/04/15,2
DE,2021/03/15,2
UPS,2021/03/05,2
MS,2021/03/01,2
BABA,2021/02/25,2
Z,2021/02/23,2
AON,2021/02/16,2
INTC,2021/02/16,2
AVGO,2021/02/16,2
FDX,2021/02/16,2
UBER,2021/02/16,2
ETN,2021/02/16,2
CCL,2021/02/16,2
MSCI,2021/02/16,2
FIS,2021/02/09,2
TSM,2021/02/08,2
TCEHY,2021/02/05,2
CCI,2021/02/05,2
MA,2021/01/28,2
AXP,2021/01/13,2
ACN,2021/01/12,2
NTAP,2020/12/30,2
AMRC,2020/12/29,2
ABBV,2020/11/20,2
ADBE,2020/11/19,2
GDDY,2020/11/18,2
VTRS,2020/11/17,2
JPM,2020/11/05,2
BLK,2020/11/05,2
MDT,2020/11/05,2
NFLX,2020/09/23,2
RXT,2020/09/01,2
ECL,2020/08/27,2
JNJ,2020/08/21,2
F,2020/08/11,2
D,2020/07/28,2
ICE,2020/07/22,2
FE,2020/07/22,2
COST,2020/07/13,2
PYPL,2020/06/24,2
BA,2020/06/05,2
CTLT,2020/05/19,2
TEL,2020/04/24,2
CMCSA,2020/04/17,2
SNE,2020/04/17,2
T,2020/04/16,2
BX,2020/04/16,2
CSCO,2020/04/14,2
DOW,2020/04/14,2
BMY,2020/04/14,2
DAL,2020/04/14,2
SLB,2020/04/14,2
CTSH,2020/04/14,2
STT,2020/04/14,2
MO,2020/04/14,2
RHHBY,2020/04/14,2
SCHW,2020/04/09,2
DG,2020/04/07,2
TJX,2020/04/07,2
USFD,2020/04/07,2
OTIS,2020/04/03,2
CARR,2020/04/03,2
RTN,2020/04/03,2
DGX,2020/04/02,2
CB,2020/04/02,2
IRM,2020/04/02,2
CFG,2020/04/02,2
HPQ,2020/04/02,2
FITB,2020/04/02,2
SEE,2020/04/02,2
HD,2020/03/27,2
CVX,2020/03/26,2
HON,2020/03/26,2
WMB,2020/03/26,2
BAC,2020/03/23,2
GOOGL,2020/03/23,2
TMO,2020/03/23,2
DEO,2020/03/18,2
PEP,2020/03/18,2
SYY,2020/03/18,2
LYV,2020/03/18,2
GM,2020/03/18,2
BSX,2020/03/18,2
WMT,2020/03/09,2
EMR,2020/03/09,2
DLTR,2020/03/09,2
WFC,2020/03/04,2
CERN,2020/02/27,2
MRK,2020/02/20,2
PG,2020/01/13,2
NSRGY,2020/01/09,2
BSTZ,2019/06/26,2
PX,2018/10/31,2
ETP,2018/10/19,2
GIS,2018/04/24,2
QCOM,2017/11/07,2
PFE,2017/02/10,2
UA,2016/01/06,2
SBIO,2021/12/31,1
IS,2021/12/31,1
QQQ,2021/12/29,1
PNFP,2021/12/29,1
ENVA,2021/12/29,1
CCEP,2021/12/29,1
BKEP,2021/12/29,1
NS,2021/12/29,1
CLDT,2021/12/29,1
VZ,2021/12/28,1
DDOG,2021/12/28,1
AFRM,2021/12/28,1
CSL,2021/12/28,1
ECOM,2021/12/27,1
CLF,2021/12/23,1
RHP,2021/12/23,1
RNR,2021/12/23,1
RIVN,2021/12/23,1
QMCO,2021/12/23,1
XP,2021/12/22,1
DODWX,2021/12/22,1
IXJ,2021/12/22,1
IYZ,2021/12/22,1
USB,2021/12/21,1
GILD,2021/12/21,1
PII,2021/12/21,1
KMB,2021/12/21,1
CI,2021/12/21,1
BK,2021/12/21,1
KR,2021/12/21,1
DVA,2021/12/21,1
CEM,2021/12/21,1
XNGSY,2021/12/21,1
ITCI,2021/12/21,1
JBI,2021/12/20,1
TYG,2021/12/20,1
NFFFX,2021/12/17,1
PRGTX,2021/12/17,1
OAKGX,2021/12/17,1
RNGR,2021/12/17,1
IRT,2021/12/16,1
VRM,2021/12/16,1
EOG,2021/12/16,1
WRK.V,2021/12/16,1
SCHH,2021/12/16,1
VWIGX,2021/12/16,1
NVS,2021/12/15,1
AZTA,2021/12/15,1
MTX,2021/12/15,1
TRBCX,2021/12/15,1
PDX,2021/12/14,1
RPBAX,2021/12/14,1
OWMBX,2021/12/14,1
SSYS,2021/12/13,1
NSP,2021/12/10,1
FRC,2021/12/09,1
HQY,2021/12/09,1
NCLTY,2021/12/09,1
CSPCY,2021/12/09,1
CCXI,2021/12/02,1
CTAA,2021/12/01,1
TDXX,2021/12/01,1
