sector,transaction_date,number_of_transactions
Financial Services,2020/03/09,4
Technology,2020/08/27,3
Healthcare,2020/04/14,3
Consumer Cyclical,2020/04/06,3
Consumer Defensive,2020/03/09,3
Basic Materials,2017/09/01,3
Industrials,2017/06/15,3
Fund,2021/01/04,2
Communication Services,2020/08/21,2
Energy,2020/08/21,2
Trust,2019/06/26,2
Services,2016/03/01,2
Real Estate,2021/12/16,1
Communications,2021/12/01,1
Utilities,2021/10/18,1
Cryptocurrency,2021/08/16,1
Financial,2021/03/29,1
Consumer Goods,2017/06/15,1
Consumer Discretionary,2017/04/04,1
Oil & Gas Storage & Trpor,2015/05/01,1
Industrial Goods,2014/12/18,1
