sector,transaction_date,number_of_transactions
Financial Services,2020/03/18,63
Consumer Cyclical,2020/03/18,45
Industrials,2020/03/18,37
Technology,2019/06/24,37
Healthcare,2019/06/24,32
Energy,2020/06/10,31
Fund,2020/10/09,28
Consumer Defensive,2020/03/18,24
Basic Materials,2020/03/18,17
Utilities,2020/03/16,17
Real Estate,2020/03/18,16
Communication Services,2021/02/11,11
Services,2020/04/01,6
Cryptocurrency,2021/05/12,3
Trust,2021/08/16,2
Information Technology,2020/02/11,2
Induistrial,2020/11/26,1
Retail/Wholesale,2020/11/13,1
Communications,2020/04/28,1
