ticker,transaction_date,number_of_transactions
MSFT,2021/04/30,3
TSLA,2021/03/22,3
AAPL,2020/03/23,3
UNH,2020/03/23,3
DIS,2020/03/18,3
TJX,2021/11/26,2
EPD,2021/11/19,2
V,2021/11/08,2
AM,2021/08/11,2
CTSH,2021/06/15,2
XOM,2021/06/10,2
NEE,2021/05/18,2
MO,2021/05/03,2
JNJ,2021/04/30,2
KO,2021/04/19,2
VAR,2021/04/15,2
CMG,2021/03/26,2
NVDA,2021/03/23,2
INFO,2021/03/16,2
DE,2021/03/15,2
MTCH,2021/03/09,2
CME,2021/03/08,2
UPS,2021/03/05,2
SNAP,2021/03/02,2
MS,2021/03/01,2
BABA,2021/02/25,2
FB,2021/02/23,2
Z,2021/02/23,2
CCL,2021/02/16,2
UBER,2021/02/16,2
AON,2021/02/16,2
AVGO,2021/02/16,2
ETN,2021/02/16,2
FDX,2021/02/16,2
MSCI,2021/02/16,2
NTAP,2021/02/16,2
FIS,2021/02/09,2
TSM,2021/02/08,2
T,2021/02/08,2
CCI,2021/02/05,2
TCEHY,2021/02/05,2
MA,2021/01/28,2
NFLX,2021/01/22,2
AXP,2021/01/13,2
ACN,2021/01/12,2
AMRC,2020/12/29,2
ADBE,2020/11/19,2
GDDY,2020/11/18,2
VTRS,2020/11/17,2
ABBV,2020/11/17,2
CVX,2020/10/16,2
PFE,2020/09/16,2
RXT,2020/09/01,2
ECL,2020/08/27,2
D,2020/07/28,2
FE,2020/07/22,2
CTLT,2020/05/19,2
PYPL,2020/05/13,2
COST,2020/04/22,2
CMCSA,2020/04/17,2
GOOG,2020/04/17,2
SNE,2020/04/17,2
RHHBY,2020/04/14,2
BA,2020/04/09,2
SCHW,2020/04/09,2
USFD,2020/04/07,2
RTX,2020/04/07,2
MDT,2020/04/03,2
CARR,2020/04/03,2
OTIS,2020/04/03,2
SEE,2020/04/02,2
HD,2020/03/27,2
SBUX,2020/03/27,2
HON,2020/03/26,2
TMO,2020/03/23,2
GOOGL,2020/03/23,2
BSX,2020/03/18,2
SYY,2020/03/18,2
DEO,2020/03/18,2
PEP,2020/03/18,2
AMZN,2020/03/17,2
PRU,2020/03/13,2
BRK.B,2020/03/10,2
DLTR,2020/03/09,2
CERN,2020/02/27,2
MRK,2020/02/20,2
WMT,2020/02/20,2
WFC,2020/02/20,2
CB,2020/02/10,2
BMY,2020/01/14,2
NSRGY,2020/01/09,2
IS,2021/12/31,1
AFRM,2021/12/28,1
CSL,2021/12/28,1
EHSTX,2021/12/28,1
NVLIX,2021/12/28,1
RIVN,2021/12/23,1
QMCO,2021/12/23,1
XP,2021/12/22,1
DODWX,2021/12/22,1
IXJ,2021/12/22,1
IYZ,2021/12/22,1
XNGSY,2021/12/21,1
ITCI,2021/12/21,1
JBI,2021/12/20,1
TYG,2021/12/20,1
NFFFX,2021/12/17,1
PRGTX,2021/12/17,1
OAKGX,2021/12/17,1
RNGR,2021/12/17,1
EOG,2021/12/16,1
WRK.V,2021/12/16,1
PAGS,2021/12/16,1
PENN,2021/12/16,1
SCHH,2021/12/16,1
YACKX,2021/12/16,1
VWIGX,2021/12/16,1
AZTA,2021/12/15,1
MTX,2021/12/15,1
TRBCX,2021/12/15,1
PDX,2021/12/14,1
RPBAX,2021/12/14,1
OWMBX,2021/12/14,1
BWXT,2021/12/10,1
NSP,2021/12/10,1
ZBH,2021/12/10,1
FRC,2021/12/09,1
COF,2021/12/09,1
HQY,2021/12/09,1
NCLTY,2021/12/09,1
CSPCY,2021/12/09,1
XRAY,2021/12/03,1
BCPC,2021/12/02,1
