official,Exchange,Purchase,Sale (Full),Sale (Partial),total
"Allen, Richard W.",0,3.29,1.86,0.14,5.43
"Amash, Justin",0,0.2,0,0,0.3
"Arenholz, Ashley H.",0,4.0,9.0,0,14.0
"Axne, Cynthia",1.67,37.33,14.33,4.33,58.0
"Banks, James E.",0,5.4,3.2,1.6,10.4
"Beyer, Donald S.",0,47.14,48.43,0,95.71
"Bice, Stephanie",0,0,0.0,0,1.0
"Bilirakis, Gus M.",0,0,0.2,0,0.27
"Blumenauer, Earl",0.15,3.0,1.33,0.59,5.11
"Brooks, Mo",0,1.36,2.27,0.09,3.82
"Brooks, Susan W.",0.12,1.38,0,0.12,1.75
"Buchanan, Vern",0,0.73,1.4,0,2.2
"Buck, Kenneth R.",0,0,0.0,0,0.14
"Bucshon, Larry",0,0.0,0,0,0.09
"Burchett, Tim",0,0,0.0,0,0.33
"Burgess, Michael C.",0,0.16,0,0.26,0.47
"Bustos, Cheri",0,0.11,0.78,0.11,1.11
"Carter, Earl L.",0,0.86,0.29,0.57,1.86
"Case, Ed",0,0.5,0.5,0,1.12
"Castor, Kathy",0,1.93,0.47,0.07,2.53
"Cawthorn, David M.",0,0,0.0,0,1.0
"Chabot, Steve",0.04,0,0,0,0.08
"Chu, Judy",0,0,0,0.0,0.08
"Cisneros, Gilbert",5.5,209.5,70.0,106.0,391.5
"Clark, Katherine M.",0,11.11,15.0,0.78,27.0
"Clay Jr., William L.",0,0,0.05,0,0.1
"Cohen, Steve",0,0.07,3.2,0,3.33
"Comer, James",0,1.0,0.67,0,1.83
"Conaway, K. M.",1.88,8.0,4.12,0.94,15.0
"Connolly, Gerald E.",0,0.08,0.08,1.15,1.38
"Courtney, Joe",0,6.07,4.47,0.2,10.8
"Cox, TJ J.",0,0,0,0.0,0.5
"Crenshaw, Daniel",0,4.0,1.67,0.67,6.67
"Curtis, John",0.2,25.0,3.8,5.0,34.2
"Davis, Susan A.",0,0.6,0.15,0.1,0.9
"DelBene, Suzan K.",0.1,8.5,2.2,1.5,12.4
"Diaz-Balart, Mario",0,0,0.0,0,0.05
"Dingell, Debbie",0.71,0.71,1.43,0.71,3.71
"Doggett, Lloyd",0,1.59,0,0,1.63
"Dunn, Neal P.",0,2.6,2.4,0.8,6.0
"Evans, Dwight",0,5.17,2.17,2.0,9.5
"Fallon, Patrick",0,33.0,55.0,0,89.0
"Fleischmann, Charles J.",0,3.55,3.09,0,6.73
"Flores, Bill",0,0.1,0.1,0,0.3
"Foxx, Virginia",0,7.47,0.65,0.06,8.24
"Frankel, Lois",0.11,16.11,4.0,12.0,32.33
"Franklin, Scott",1.0,3.0,9.0,2.0,16.0
"Gaetz, Matt",0.0,0,0.4,0,0.6
"Gallagher, Michael J.",0,0,7.2,0.2,7.6
"Garbarino, Andrew",0,5.0,6.0,1.0,13.0
"Garcia, Mike",0.5,8.0,9.5,3.0,21.5
"Gianforte, Greg",0,78.25,13.75,32.0,124.25
"Gibbs, Bob",0,2.09,1.09,0.09,3.36
"Gonzalez, Anthony E.",0,0.67,1.0,0,2.0
"Gottheimer, Josh",0.4,78.2,32.6,66.8,178.2
"Graves, Garret",0,0.71,0.43,0,1.29
"Green, Mark",0,145.67,37.33,0.33,183.67
"Greene, Marjorie T.",0,73.0,14.0,0,88.0
"Grijalva, Raúl M.",0,0.05,0.11,0,0.21
"Guest, Michael P.",0,1.0,0.0,0,1.33
"Hagedorn, James",0,0,0.0,0,0.33
"Hern, Kevin",4.5,79.75,5.25,0.25,90.0
"Higgins, Brian",0,0.06,0.06,0,0.18
"Hill, James F.",0,0.43,0.71,0,1.29
"Holding, George",0,0,1.5,0,1.62
"Hollingsworth, Trey",0,8.2,0.4,0,8.8
"Huizenga, Bill",0,0.0,0,0,0.09
"Jacobs, Christopher L.",1.0,10.0,21.5,10.0,43.0
"Jacobs, Sara",0,8.0,51.0,3.0,63.0
"Jeffries, Hakeem S.",0,0.33,0.11,0.22,0.78
"Joyce, David P.",0,3.67,1.33,0,5.11
"Keating, William R.",0,5.45,0.27,0,5.82
"Kelly, Mike",0,0.73,0.45,0,1.27
"Kennedy, Joseph P.",0,0,0.12,0,0.25
"Khanna, Rohit",0.4,43.4,4.8,10.6,59.4
"Kinzinger, Adam",0,1.18,0.82,0.09,2.18
"Krishnamoorthi, S. R.",0.0,0,0,0,0.2
"Kustoff, David",0,1.0,0.6,0,1.8
"Lamborn, Doug",0,3.87,3.27,0,7.2
"Langevin, James R.",0,4.05,2.95,1.05,8.1
"Larson, John B.",0,0,1.43,0,1.48
