official,Exchange,Purchase,Sale (Full),Sale (Partial),total
"Alexander, Lamar",0,36,21,2,59
"Allen, Richard W.",0,23,14,1,38
"Amash, Justin",0,3,0,0,3
"Arenholz, Ashley H.",0,4,10,0,14
"Axne, Cynthia",5,113,43,13,174
"Banks, James E.",0,28,16,8,52
"Barrasso, John A.",0,0,1,0,1
"Bennet, Michael F.",1,5,1,1,8
"Beyer, Donald S.",0,330,340,0,670
"Bice, Stephanie",0,0,1,0,1
"Bilirakis, Gus M.",0,0,4,0,4
"Blumenauer, Earl",4,82,36,16,138
"Blumenthal, Richard",0,0,0,0,50
"Blunt, Roy D.",0,1,7,0,10
"Booker, Cory A.",0,0,13,0,13
"Boozman, John",0,1,1,0,46
"Brooks, Mo",0,16,25,1,42
"Brooks, Susan W.",1,12,0,1,14
"Buchanan, Vern",0,12,21,0,33
"Buck, Kenneth R.",0,0,1,0,1
"Bucshon, Larry",0,1,0,0,1
"Burchett, Tim",0,0,1,0,1
"Burgess, Michael C.",0,3,0,6,9
"Burr, Richard M.",0,0,0,0,97
"Bustos, Cheri",0,1,8,1,10
"Cantwell, Maria E.",0,0,0,5,7
"Capito, Shelley M.",11,223,108,38,380
"Cardin, Benjamin L.",0,5,10,0,21
"Carper, Thomas R.",4,554,294,108,980
"Carter, Earl L.",0,7,2,4,13
"Case, Ed",0,4,5,0,9
"Casey Jr., Robert P.",0,0,0,1,1
"Cassidy, William",0,66,45,55,166
"Castor, Kathy",0,30,7,1,38
"Cawthorn, David M.",0,0,1,0,1
"Chabot, Steve",2,0,0,0,2
"Chu, Judy",0,0,0,1,1
"Cisneros, Gilbert",11,420,140,212,783
"Clark, Katherine M.",0,100,136,7,243
"Clay Jr., William L.",0,0,2,0,2
"Cochran, Thad",0,0,0,0,22
"Cohen, Steve",0,1,49,0,50
"Collins, Susan M.",4,171,173,47,450
"Comer, James",0,6,5,0,11
"Conaway, K. M.",30,128,67,15,240
"Connolly, Gerald E.",0,1,1,16,18
"Coons, Christopher A.",0,2,4,23,30
"Cornyn, John",0,1,1,0,2
"Courtney, Joe",0,91,68,3,162
"Cox, TJ J.",0,0,0,1,1
"Crapo, Michael D.",0,1,0,0,1
"Crenshaw, Daniel",0,13,5,2,20
"Cruz, Rafael E.",0,3,2,5,13
"Curtis, John",1,125,20,25,171
"Daines, Steve",0,0,1,0,1
"Davis, Susan A.",0,13,3,2,18
"DelBene, Suzan K.",1,85,23,15,124
"Diaz-Balart, Mario",0,0,1,0,1
"Dingell, Debbie",5,5,11,5,26
"Doggett, Lloyd",0,44,0,0,44
"Duckworth, Ladda T.",1,1,19,1,22
"Dunn, Neal P.",0,13,12,5,30
"Enzi, Michael B.",0,4,1,0,7
"Evans, Dwight",0,31,14,12,57
"Fallon, Patrick",0,33,56,0,89
