official,Exchange,Purchase,Sale (Full),Sale (Partial),total
"Alexander, Lamar",0,1.94,1.17,0.11,3.28
"Allen, Richard W.",0,3.29,1.86,0.14,5.43
"Amash, Justin",0,0.2,0,0,0.3
"Arenholz, Ashley H.",0,4.0,9.0,0,14.0
"Axne, Cynthia",1.67,37.33,14.33,4.33,58.0
"Banks, James E.",0,5.4,3.2,1.6,10.4
"Barrasso, John A.",0,0,0.0,0,0.07
"Bennet, Michael F.",0.08,0.31,0.08,0.08,0.62
"Beyer, Donald S.",0,47.14,48.43,0,95.71
"Bice, Stephanie",0,0,0.0,0,1.0
"Bilirakis, Gus M.",0,0,0.2,0,0.27
"Blumenauer, Earl",0.15,3.0,1.33,0.59,5.11
"Blumenthal, Richard",0,0,0,0,4.55
"Blunt, Roy D.",0,0.04,0.24,0,0.4
"Booker, Cory A.",0,0,1.33,0,1.44
"Boozman, John",0,0.05,0.05,0,2.19
"Brooks, Mo",0,1.36,2.27,0.09,3.82
"Brooks, Susan W.",0.12,1.38,0,0.12,1.75
"Buchanan, Vern",0,0.73,1.4,0,2.2
"Buck, Kenneth R.",0,0,0.0,0,0.14
"Bucshon, Larry",0,0.0,0,0,0.09
"Burchett, Tim",0,0,0.0,0,0.33
"Burgess, Michael C.",0,0.16,0,0.26,0.47
"Burr, Richard M.",0,0,0,0,3.59
"Bustos, Cheri",0,0.11,0.78,0.11,1.11
"Cantwell, Maria E.",0,0,0,0.17,0.3
"Capito, Shelley M.",0.52,10.62,5.1,1.81,18.1
"Cardin, Benjamin L.",0,0.11,0.29,0,0.6
"Carper, Thomas R.",0.13,17.87,9.48,3.45,31.61
"Carter, Earl L.",0,0.86,0.29,0.57,1.86
"Case, Ed",0,0.5,0.5,0,1.12
"Casey Jr., Robert P.",0,0,0,0.0,0.07
"Cassidy, William",0,5.08,3.38,4.23,12.77
"Castor, Kathy",0,1.93,0.47,0.07,2.53
"Cawthorn, David M.",0,0,0.0,0,1.0
"Chabot, Steve",0.04,0,0,0,0.08
"Chu, Judy",0,0,0,0.0,0.08
"Cisneros, Gilbert",5.5,209.5,70.0,106.0,391.5
"Clark, Katherine M.",0,11.11,15.0,0.78,27.0
"Clay Jr., William L.",0,0,0.05,0,0.1
"Cochran, Thad",0,0,0,0,0.49
"Cohen, Steve",0,0.07,3.2,0,3.33
"Collins, Susan M.",0.16,6.8,6.92,1.88,18.0
"Comer, James",0,1.0,0.67,0,1.83
"Conaway, K. M.",1.88,8.0,4.12,0.94,15.0
"Connolly, Gerald E.",0,0.08,0.08,1.15,1.38
"Coons, Christopher A.",0,0.17,0.33,1.83,2.5
"Cornyn, John",0,0.05,0.0,0,0.1
"Courtney, Joe",0,6.07,4.47,0.2,10.8
"Cox, TJ J.",0,0,0,0.0,0.5
"Crapo, Michael D.",0,0.0,0,0,0.03
"Crenshaw, Daniel",0,4.0,1.67,0.67,6.67
"Cruz, Rafael E.",0,0.33,0.11,0.56,1.44
"Curtis, John",0.2,25.0,3.8,5.0,34.2
"Daines, Steve",0,0,0.0,0,0.11
"Davis, Susan A.",0,0.6,0.15,0.1,0.9
"DelBene, Suzan K.",0.1,8.5,2.2,1.5,12.4
"Diaz-Balart, Mario",0,0,0.0,0,0.05
"Dingell, Debbie",0.71,0.71,1.43,0.71,3.71
"Doggett, Lloyd",0,1.59,0,0,1.63
"Duckworth, Ladda T.",0.11,0.11,2.0,0.11,2.44
"Dunn, Neal P.",0,2.6,2.4,0.8,6.0
"Enzi, Michael B.",0,0.17,0.0,0,0.29
"Evans, Dwight",0,5.17,2.17,2.0,9.5
"Fallon, Patrick",0,33.0,55.0,0,89.0
"Feinstein, Dianne",0,0,0,0,0.97
"Fleischmann, Charles J.",0,3.55,3.09,0,6.73
"Flores, Bill",0,0.1,0.1,0,0.3
"Foxx, Virginia",0,7.47,0.65,0.06,8.24
"Frankel, Lois",0.11,16.11,4.0,12.0,32.33
"Franklin, Scott",1.0,3.0,9.0,2.0,16.0
"Gaetz, Matt",0.0,0,0.4,0,0.6
"Gallagher, Michael J.",0,0,7.2,0.2,7.6
"Garbarino, Andrew",0,5.0,6.0,1.0,13.0
"Garcia, Mike",0.5,8.0,9.5,3.0,21.5
"Gianforte, Greg",0,78.25,13.75,32.0,124.25
"Gibbs, Bob",0,2.09,1.09,0.09,3.36
"Gonzalez, Anthony E.",0,0.67,1.0,0,2.0
"Gottheimer, Josh",0.4,78.2,32.6,66.8,178.2
"Graves, Garret",0,0.71,0.43,0,1.29
"Green, Mark",0,145.67,37.33,0.33,183.67
"Greene, Marjorie T.",0,73.0,14.0,0,88.0
"Grijalva, Raúl M.",0,0.05,0.11,0,0.21
"Guest, Michael P.",0,1.0,0.0,0,1.33
"Hagedorn, James",0,0,0.0,0,0.33
"Hagerty IV, William F.",1.0,9.0,9.0,8.0,28.0
"Hern, Kevin",4.5,79.75,5.25,0.25,90.0
"Hickenlooper, John W.",1.0,7.0,9.0,3.0,21.0
"Higgins, Brian",0,0.06,0.06,0,0.18
"Hill, James F.",0,0.43,0.71,0,1.29
"Hoeven, John",0.55,12.91,5.27,0.64,20.55
"Holding, George",0,0,1.5,0,1.62
"Hollen, Chris V.",0,0,0.32,0,0.37
"Hollingsworth, Trey",0,8.2,0.4,0,8.8
"Huizenga, Bill",0,0.0,0,0,0.09
"Inhofe, James M.",0,2.36,2.42,1.56,6.39
"Jacobs, Christopher L.",1.0,10.0,21.5,10.0,43.0
"Jacobs, Sara",0,8.0,51.0,3.0,63.0
"Jeffries, Hakeem S.",0,0.33,0.11,0.22,0.78
"Johnson, Ron",0,0,0.09,0,0.18
"Joyce, David P.",0,3.67,1.33,0,5.11
"Kaine, Timothy M.",0.22,0,0.0,0,0.33
"Keating, William R.",0,5.45,0.27,0,5.82
"Kelly, Mike",0,0.73,0.45,0,1.27
"Kennedy, John N.",0.2,0.0,0,0,0.4
"Kennedy, Joseph P.",0,0,0.12,0,0.25
"Khanna, Rohit",0.4,43.4,4.8,10.6,59.4
"King Jr., Angus S.",0.22,2.67,4.33,1.22,9.44
"Kinzinger, Adam",0,1.18,0.82,0.09,2.18
"Krishnamoorthi, S. R.",0.0,0,0,0,0.2
"Kustoff, David",0,1.0,0.6,0,1.8
"Lamborn, Doug",0,3.87,3.27,0,7.2
"Langevin, James R.",0,4.05,2.95,1.05,8.1
"Larson, John B.",0,0,1.43,0,1.48
"Latta, Robert E.",0,0.0,0,0,0.07
"Lee, Susie",0.33,112.67,46.0,47.33,206.67
"Loeffler, Kelly",1.0,98.0,125.0,54.0,279.0
"Lofgren, Zoe",0.04,3.89,2.81,0.04,6.81
"Long, Billy",0,0,2.45,0,2.55
"Lowenthal, Alan S.",1.33,27.33,10.78,25.33,64.89
"Lummis, Cynthia M.",0,0.11,0,0,0.22
"Luria, Elaine",0,1.0,0.0,0,1.33
"Malinowski, Tom",0,20.0,9.67,12.0,42.0
"Maloney, Carolyn B.",0,0.1,0.03,0.07,0.24
"Maloney, Sean P.",0,0,0.78,0,0.89
"Manchin III, Joseph",0,0.92,0,0,1.0
"Manning, Kathy",0,67.0,3.0,50.0,121.0
"Marchant, Kenny",0,4.31,2.44,0,6.81
"Marshall, Roger W.",0,4.2,3.0,0.2,7.6
"Massie, Thomas",0,0,0,0.0,0.1
"Mast, Brian",0,3.6,2.8,0.8,7.4
"Matsui, Doris O.",0,0.35,0.47,0,0.88
"McCaul, Michael T.",0,12.47,10.76,0.12,23.41
"McConnell Jr., A. M.",0,0.43,0.08,0.05,0.59
"McEachin, Aston D.",0,1.0,0,0,1.2
"McHenry, Patrick T.",0,0,0.0,0,0.06
"McKinley, David B.",0.27,7.27,3.0,2.82,13.45
"Meijer, Peter",0,18.0,200.0,47.0,266.0
"Meng, Grace",0.0,0,0,0,0.11
"Meuser, Daniel",0,0,1.33,1.67,3.33
"Miller, Carol D.",0,7.67,6.0,0,14.0
"Moore, Blake",0,90.0,20.0,0,111.0
"Moore, Felix B.",0,5.0,0,0.0,6.0
"Moran, Jerry",0.04,3.8,1.32,1.76,6.96
"Morelle, Joseph D.",0.25,0,3.75,0,4.25
"Moulton, Seth",0,0.0,0.14,0,0.29
"Murray, Patty",0,2.69,2.83,0,5.55
"Newhouse, Dan",0,0,0.0,0,0.14
"Newman, Marie",0,145.0,150.0,0,296.0
"Norton, Eleanor H.",0,0.06,0.03,0,0.13
"O'Halleran, Tom",0,0,0.2,0,0.4
"Pallone, Frank",0,0,0.14,0.11,0.29
"Pascrell, Bill",0,0,0.08,0,0.12
"Paul, Rand",0,0.0,0,0,0.09
"Pelosi, Nancy",0,1.17,0.11,0.31,1.63
"Perdue Jr., David A.",2.33,211.33,43.17,175.83,432.83
"Perlmutter, Ed",0,1.4,0.53,1.13,3.13
"Peters, Gary C.",0.85,9.23,0.69,0.15,11.0
"Peters, Scott H.",0,3.22,4.89,3.0,11.22
"Pfluger, August L.",2.0,6.0,3.0,0,12.0
"Phillips, Dean",1.0,89.33,28.0,52.67,171.33
"Pingree, Chellie",0,0.15,0.08,0.08,0.38
"Portman, Robert J.",0,0,0.32,0,0.44
"Price, David E.",0.09,0.3,0.03,0,0.45
"Raskin, Jamie",0,0,0.0,0,0.2
"Reed, Jack",0,0,0,0,0.03
"Reed, John F.",0.06,3.35,2.74,1.55,8.06
"Rice, Tom",0,0.11,1.0,0,1.22
"Roberts, Pat",0,7.08,3.92,0.42,11.93
"Roe, David P.",0,1.33,0.17,0,1.58
"Rogers, Harold D.",0.05,0.22,0.2,0,0.49
"Rooney, Francis",0,9.75,4.25,0.75,15.0
"Rosen, Jacklyn S.",0.8,0,0.2,0,1.2
"Ross, Deborah K.",0,18.0,0,1.0,20.0
"Rouda, Harley E.",0,0.5,2.5,0,3.5
"Rounds, Mike",0,1.14,0.14,0,1.43
"Rouzer, David C.",0,0.57,0.43,0.43,1.57
"Rutherford, John",0,4.0,5.4,0,9.6
"Sanchez, Linda T.",0,0,0.21,0,0.26
"Schiff, Adam B.",0,0,0.1,0.05,0.19
"Schneider, Bradley S.",0,0,0,0.86,1.0
"Schrader, Kurt",0,10.08,9.77,0.08,20.0
"Schrier, Kim",0,1.0,10.0,0,11.33
"Schultz, Debbie W.",0,0.53,0,0,0.59
"Scott, Austin",0,3.55,2.73,0.45,6.82
"Scott, Rick",1.33,47.33,7.33,0,56.33
"Scott, Robert C.",0,0,0.55,0,0.59
"Sessions, Pete",0,1.78,0.17,0.04,2.04
"Shaheen, Jeanne",0,0.15,0,0,0.23
"Shalala, Donna",0.5,86.5,158.5,37.5,283.5
"Shelby, Richard C.",0,0,0,0,0.02
"Sherrill, Mikie",0,8.0,45.0,0.33,53.67
"Simpson, Michael K.",0,0.26,0.83,0.04,1.17
"Smith, Tina",0,1.25,1.75,2.75,6.0
"Smucker, Lloyd K.",0,0,0,2.0,2.2
"Spanberger, Abigail",0,0.33,0,0,0.67
"Spartz, Victoria",0,5.0,1.0,1.0,8.0
"Steube, William G.",0,1.33,0,0.33,2.0
"Sullivan, Daniel S.",0,0.86,0.57,2.29,3.86
"Suozzi, Thomas",0,3.2,3.8,0.6,7.8
"Taylor, Nicholas V.",0.33,0,6.33,0,7.0
"Thune, John R.",0.0,0,0,0,0.04
"Tillis, Thomas R.",0,0,13.71,0.29,14.14
"Timmons, William R.",0,1.33,4.33,0,6.0
"Toomey, Patrick J.",0.71,4.82,2.65,3.41,12.12
"Trahan, Lori",0,0,0.33,0,0.67
"Trone, David",0,0.33,3.33,0.33,4.33
"Tuberville, Thomas H.",0,122.0,154.0,2.0,279.0
"Udall, Thomas S.",0,0,0.0,0.05,0.14
"Upton, Fred",0.03,0.26,0.26,0,0.57
"Visclosky, Peter J.",0,0,0,0.03,0.06
"Wagner, Ann",0,1.22,0,0,1.33
"Waltz, Michael",0,0.33,0.67,0,1.33
"Warner, Mark R.",0,1.15,2.08,0.46,7.54
"Warren, Elizabeth",0,0,0,0,0.11
"Welch, Peter",0,0.53,2.4,0.27,3.27
"Whitehouse, Sheldon",0.87,25.6,12.47,6.0,46.2
"Wicker, Roger F.",0,0.04,0.19,0.04,0.3
"Wittman, Robert J.",0,2.0,1.33,0.2,3.6
"Wyden, Ronald L.",0,5.37,0.93,0.05,6.39
"Yarmuth, John A.",0,3.0,0.67,3.07,6.8
