official,ticker,buy_date,sell_date,profit
"Capito, Shelley M.",JNJ,2018/04/05,2018/11/15,13.15
"Whitehouse, Sheldon",GOOGL,2016/11/15,2017/06/27,184.42
"Malinowski, Tom",CSLT,2019/10/21,2020/06/01,-0.72
"Cassidy, William",CVS,2019/01/25,2019/09/06,-2.98
"Hoeven, John",MCD,2016/08/22,2017/04/03,14.1
"Perdue Jr., David A.",LGF-B,2018/11/16,2019/06/28,-7.49
"Hoeven, John",FB,2017/05/17,2017/12/27,30.81
"Perdue Jr., David A.",KHC,2016/01/20,2016/08/31,18.81
"Perdue Jr., David A.",BAC,2016/06/27,2017/02/06,10.82
"Hoeven, John",KSS,2017/02/15,2017/09/27,3.31
"Peters, Gary C.",VZ,2016/09/30,2017/05/12,-6.28
"Perdue Jr., David A.",C,2018/04/24,2018/12/04,-6.63
"Perdue Jr., David A.",BAC,2016/03/10,2016/10/20,3.32
"Whitehouse, Sheldon",GOOGL,2014/04/29,2014/12/09,-0.35
"Shalala, Donna",SGSOY,2019/04/05,2019/11/15,0.26
"Whitehouse, Sheldon",BRK-B,2017/01/30,2017/09/11,14.22
"Whitehouse, Sheldon",NFLX,2015/05/07,2015/12/17,44.26
"Roberts, Pat",AAPL,2015/05/28,2016/01/07,-8.32
"Murray, Patty",CMCSA,2017/03/16,2017/10/26,-1.42
"Perdue Jr., David A.",HON,2016/05/05,2016/12/15,3.71
"Whitehouse, Sheldon",NVDA,2019/05/17,2019/12/27,19.68
"Malinowski, Tom",CSLT,2019/10/16,2020/05/27,-0.62
"Hoeven, John",CCI,2019/03/22,2019/11/01,11.38
"Whitehouse, Sheldon",BA,2017/01/24,2017/09/05,78.91
"Whitehouse, Sheldon",DISH,2017/08/24,2018/04/05,-17.86
"Whitehouse, Sheldon",TMUS,2017/01/24,2017/09/05,3.77
"Carper, Thomas R.",NPK,2017/08/31,2018/04/12,-4.93
"Roberts, Pat",MSFT,2019/10/23,2020/06/03,48.23
"Shalala, Donna",TCEHY,2019/01/29,2019/09/10,-0.37
"Perdue Jr., David A.",SPY,2019/10/11,2020/05/22,-3.01
"Beyer, Donald S.",UNH,2019/12/23,2020/08/03,7.72
"Perdue Jr., David A.",RF,2018/06/25,2019/02/04,-2.95
"Roberts, Pat",ETY,2018/02/05,2018/09/17,1.77
"Perdue Jr., David A.",T,2019/02/05,2019/09/17,7.43
"Hoeven, John",NGG,2017/03/02,2017/10/12,-3.0
"Inhofe, James M.",HBI,2017/04/20,2017/11/30,-1.14
"Perdue Jr., David A.",AMZN,2017/12/04,2018/07/16,676.6
"Roberts, Pat",NFLX,2018/04/23,2018/12/03,-32.5
"Peters, Gary C.",ABBV,2015/09/10,2016/04/21,1.47
"Perdue Jr., David A.",MRK,2017/09/29,2018/05/11,-4.66
"Whitehouse, Sheldon",SBUX,2016/08/18,2017/03/30,2.16
"Capito, Shelley M.",NKE,2016/01/21,2016/09/01,-2.07
"Shalala, Donna",EXEL,2019/02/06,2019/09/18,-3.59
"Perdue Jr., David A.",KR,2019/08/08,2020/03/19,11.45
"Perdue Jr., David A.",LGF-B,2018/12/11,2019/07/23,-4.4
"Roberts, Pat",BAC,2017/12/13,2018/07/25,1.76
"Perdue Jr., David A.",LYV,2016/01/29,2016/09/09,3.81
"Perdue Jr., David A.",AR,2015/01/14,2015/08/26,-13.79
"Perdue Jr., David A.",RF,2017/05/18,2017/12/28,3.32
"Collins, Susan M.",TMO,2018/06/04,2019/01/14,23.34
"Hoeven, John",SBUX,2017/04/21,2017/12/01,-3.34
"Reed, John F.",WETF,2016/11/23,2017/07/05,-0.55
"Whitehouse, Sheldon",NWL,2016/02/12,2016/09/23,18.17
"Murray, Patty",TAP,2017/03/16,2017/10/26,-16.89
"Roberts, Pat",ETY,2015/03/06,2015/10/16,-0.28
"Reed, John F.",ADI,2017/06/19,2018/01/29,12.88
"Capito, Shelley M.",CB,2018/04/05,2018/11/15,-8.22
"Perdue Jr., David A.",PAA,2016/09/13,2017/04/25,2.66
"Perdue Jr., David A.",BAC,2016/04/15,2016/11/25,6.57
"Capito, Shelley M.",AAPL,2016/03/22,2016/11/01,1.47
"DelBene, Suzan K.",MSFT,2019/12/31,2020/08/11,48.28
"Perdue Jr., David A.",FDX,2019/09/26,2020/05/07,-28.46
"Perdue Jr., David A.",BAX,2015/08/27,2016/04/07,3.57
"Whitehouse, Sheldon",MCD,2018/05/07,2018/12/17,15.93
"Roberts, Pat",NFLX,2017/11/08,2018/06/20,218.62
"Perdue Jr., David A.",DIS,2016/12/07,2017/07/19,5.21
"Collins, Susan M.",WEX,2019/05/21,2019/12/31,3.73
"Shalala, Donna",NVCR,2019/06/19,2020/01/29,26.72
"Perdue Jr., David A.",WLK,2016/09/28,2017/05/10,10.47
"McConnell Jr., A. M.",WFC,2018/06/01,2019/01/11,-7.02
"Wicker, Roger F.",GDV,2018/04/23,2018/12/03,-0.76
"Lowenthal, Alan S.",SH,2019/12/13,2020/07/24,-3.05
"Perdue Jr., David A.",PBA,2019/05/30,2020/01/09,2.98
"Murray, Patty",MTB,2017/03/16,2017/10/26,2.46
"Perdue Jr., David A.",T,2019/02/06,2019/09/18,7.08
"Perdue Jr., David A.",VLP,2015/08/04,2016/03/15,1.87
"Perdue Jr., David A.",HBI,2018/08/24,2019/04/05,0.91
"Shalala, Donna",ESNT,2019/03/06,2019/10/16,5.53
"Capito, Shelley M.",ABT,2016/04/19,2016/11/29,-4.91
"Inhofe, James M.",XOM,2017/11/13,2018/06/25,-2.58
"Reed, John F.",XBI,2017/03/06,2017/10/16,16.83
"Perdue Jr., David A.",AXTA,2017/08/11,2018/03/23,1.59
"Perdue Jr., David A.",DISCA,2017/11/16,2018/06/28,11.93
"Courtney, Joe",STZ,2019/12/31,2020/08/11,-15.25
"Hoeven, John",AAPL,2016/01/28,2016/09/08,3.2
"Whitehouse, Sheldon",A,2014/10/02,2015/05/14,2.16
"Capito, Shelley M.",ADP,2018/04/24,2018/12/04,28.37
"Collins, Susan M.",HON,2014/04/07,2014/11/17,3.72
"Capito, Shelley M.",JNJ,2018/10/17,2019/05/29,-5.9
"Whitehouse, Sheldon",CB,2016/10/26,2017/06/07,19.13
"Joyce, David P.",VCSH,2019/03/22,2019/11/01,1.47
"Capito, Shelley M.",SMECF,2017/09/08,2018/04/20,38.47
"Inhofe, James M.",GM,2017/03/07,2017/10/17,7.94
"Shalala, Donna",AIV,2019/04/03,2019/11/13,0.35
"Perdue Jr., David A.",LGF-B,2018/12/21,2019/08/02,-1.62
"Perdue Jr., David A.",V,2016/01/20,2016/08/31,10.73
"Perdue Jr., David A.",WMB,2016/11/18,2017/06/30,-0.16
"Inhofe, James M.",BMY,2017/02/01,2017/09/13,13.84
"Cassidy, William",SLB,2016/02/09,2016/09/20,7.43
"Inhofe, James M.",BIIB,2015/07/09,2016/02/18,-139.09
"Shalala, Donna",PDM,2019/04/16,2019/11/26,1.39
"Hoeven, John",JETS,2018/01/24,2018/09/05,-0.55
"Roberts, Pat",NVDA,2017/12/01,2018/07/13,13.37
"Perdue Jr., David A.",SYY,2015/05/06,2015/12/16,5.27
"Courtney, Joe",ROST,2019/12/31,2020/08/11,-22.66
"Whitehouse, Sheldon",LRCX,2015/12/22,2016/08/02,10.78
"Roberts, Pat",NFLX,2014/09/22,2015/05/04,15.32
"Perdue Jr., David A.",KR,2019/08/06,2020/03/17,10.88
"Courtney, Joe",TFC,2019/12/31,2020/08/11,-15.08
"Perdue Jr., David A.",DISCA,2015/03/27,2015/11/06,-2.02
"Roberts, Pat",MA,2019/11/12,2020/06/23,29.79
"Beyer, Donald S.",NEE,2019/12/23,2020/08/03,9.62
"Collins, Susan M.",NEE,2018/12/21,2019/08/02,8.93
"Hoeven, John",MDU,2015/03/20,2015/10/30,-2.94
"Perdue Jr., David A.",RF,2017/11/30,2018/07/12,0.88
"Moran, Jerry",ALL,2018/12/19,2019/07/31,25.54
"Roberts, Pat",COST,2016/11/14,2017/06/26,8.73
"Capito, Shelley M.",WEC,2018/04/24,2018/12/04,11.0
"Shalala, Donna",TMHC,2019/01/09,2019/08/21,4.84
"Perdue Jr., David A.",GM,2018/07/16,2019/02/25,0.89
"Perdue Jr., David A.",URBN,2019/12/19,2020/07/30,-11.32
"Perdue Jr., David A.",UPS,2018/02/13,2018/09/25,9.73
"Whitehouse, Sheldon",JCI,2017/02/23,2017/10/05,-0.79
"Whitehouse, Sheldon",F,2018/05/24,2019/01/03,-3.66
"Perdue Jr., David A.",HYH,2016/02/03,2016/09/14,10.24
"Hoeven, John",VLO,2016/04/22,2016/12/02,0.13
"Perdue Jr., David A.",PYPL,2017/12/04,2018/07/16,15.73
"Perdue Jr., David A.",LYV,2016/04/22,2016/12/02,5.73
"Whitehouse, Sheldon",BA,2016/11/15,2017/06/27,51.58
"Collins, Susan M.",AWK,2016/12/01,2017/07/13,6.49
"Roberts, Pat",AAPL,2014/07/30,2015/03/11,6.31
"Malinowski, Tom",YEXT,2019/02/19,2019/10/01,-2.47
"Inhofe, James M.",MRK,2015/08/12,2016/03/23,-4.27
"Cassidy, William",CMI,2016/01/05,2016/08/16,37.78
"Perdue Jr., David A.",MOS,2016/11/07,2017/06/19,-2.23
"Beyer, Donald S.",CYRX,2019/12/23,2020/08/03,17.2
"Whitehouse, Sheldon",C,2018/05/07,2018/12/17,-13.48
"Hoeven, John",VFC,2014/02/19,2014/10/01,8.56
"Cruz, Rafael E.",BFK,2014/02/06,2014/09/18,0.46
"Whitehouse, Sheldon",GOOGL,2016/04/12,2016/11/22,30.51
"Perdue Jr., David A.",MDLZ,2017/12/26,2018/08/07,-0.4
"Perdue Jr., David A.",AAPL,2016/02/25,2016/10/06,4.43
"Perdue Jr., David A.",FEYE,2016/06/27,2017/02/06,-4.05
"Capito, Shelley M.",AXAHY,2017/09/05,2018/04/17,-0.03
"Shalala, Donna",WYND,2019/03/06,2019/10/16,0.17
"Perdue Jr., David A.",HBI,2017/11/13,2018/06/25,2.83
"Collins, Susan M.",CP,2014/02/04,2014/09/16,11.34
"Roberts, Pat",BIDU,2014/07/30,2015/03/11,-13.42
"Capito, Shelley M.",CB,2016/04/19,2016/11/29,4.93
"Shalala, Donna",PATK,2019/02/06,2019/09/18,1.07
"Capito, Shelley M.",MSFT,2017/09/05,2018/04/17,22.28
"Axne, Cynthia",JEF,2019/02/04,2019/09/16,-0.28
"Murray, Patty",HSY,2017/03/16,2017/10/26,-3.99
"Perdue Jr., David A.",MRK,2017/10/27,2018/06/08,2.98
"Perdue Jr., David A.",WLK,2016/01/15,2016/08/26,8.45
"Capito, Shelley M.",MSFT,2018/04/05,2018/11/15,13.62
"Joyce, David P.",IEFA,2019/03/04,2019/10/14,0.86
"Perdue Jr., David A.",FEYE,2019/08/09,2020/03/20,-3.02
"Perdue Jr., David A.",MOS,2018/01/16,2018/08/28,4.49
"Perdue Jr., David A.",DISCA,2017/11/17,2018/06/29,10.75
"Perdue Jr., David A.",HBI,2017/10/03,2018/05/15,-7.37
"Perdue Jr., David A.",MOS,2017/04/11,2017/11/21,-5.21
"Inhofe, James M.",FANG,2015/07/15,2016/02/24,-1.82
"Capito, Shelley M.",GD,2018/04/24,2018/12/04,-47.0
"Shalala, Donna",PCH,2019/04/30,2019/12/10,3.58
"Perdue Jr., David A.",IP,2017/12/26,2018/08/07,-4.26
"Perdue Jr., David A.",HYH,2016/01/26,2016/09/06,11.54
"Carper, Thomas R.",AEE,2015/08/25,2016/04/05,9.53
"Shalala, Donna",KUBTY,2019/01/16,2019/08/28,-3.85
"Perdue Jr., David A.",BWXT,2018/12/21,2019/08/02,12.9
"Whitehouse, Sheldon",M,2014/10/02,2015/05/14,5.37
"Perdue Jr., David A.",FEYE,2018/01/16,2018/08/28,0.65
"Perdue Jr., David A.",MA,2016/02/25,2016/10/06,16.12
"Perdue Jr., David A.",AAPL,2016/02/01,2016/09/12,2.02
"Perdue Jr., David A.",HYH,2016/01/28,2016/09/08,12.53
"Moran, Jerry",WFC,2018/12/06,2019/07/18,-4.97
"Toomey, Patrick J.",PG,2015/04/27,2015/12/07,-2.81
"Capito, Shelley M.",JNJ,2018/04/24,2018/12/04,21.02
"Perdue Jr., David A.",FEYE,2016/06/28,2017/02/07,-4.26
"Cassidy, William",SBUX,2018/04/23,2018/12/03,9.15
"Hoeven, John",WTW,2018/11/07,2019/06/19,33.23
"Moran, Jerry",CVS,2018/12/19,2019/07/31,-13.39
"Collins, Susan M.",WFC,2014/05/07,2014/12/17,4.24
"Whitehouse, Sheldon",SBUX,2016/06/07,2017/01/17,2.14
"Perdue Jr., David A.",GM,2018/07/05,2019/02/14,-0.7
"Perdue Jr., David A.",PAGP,2019/02/07,2019/09/19,-0.39
"Collins, Susan M.",SCHW,2014/04/21,2014/12/01,0.73
"Roberts, Pat",NFLX,2018/08/24,2019/04/05,15.38
"Perdue Jr., David A.",GOOGL,2017/12/26,2018/08/07,195.19
"Capito, Shelley M.",JKHY,2017/09/08,2018/04/20,19.77
"Whitehouse, Sheldon",WMT,2018/08/28,2019/04/09,3.25
"Perdue Jr., David A.",FDX,2019/04/08,2019/11/18,-33.87
"Murray, Patty",COP,2017/03/16,2017/10/26,4.96
"Perdue Jr., David A.",CZR,2018/08/01,2019/03/13,4.72
"Whitehouse, Sheldon",FB,2016/11/28,2017/07/10,31.99
"Perdue Jr., David A.",EAF,2019/05/29,2020/01/08,1.2
"Whitehouse, Sheldon",C,2017/05/24,2018/01/03,12.3
"Capito, Shelley M.",CL,2018/04/24,2018/12/04,-2.58
"Perdue Jr., David A.",GLW,2018/02/05,2018/09/17,4.76
"Curtis, John",DOMO,2019/08/02,2020/03/13,-14.75
"Whitehouse, Sheldon",NVDA,2018/10/23,2019/06/04,-20.28
"Courtney, Joe",LMT,2019/12/31,2020/08/11,5.88
"Cisneros, Gilbert",FLEX,2019/12/24,2020/08/04,-1.4
"Langevin, James R.",HUYA,2019/05/06,2019/12/16,-5.69
"Perdue Jr., David A.",KN,2015/01/21,2015/09/02,-5.25
"Shalala, Donna",WFC,2019/02/05,2019/09/17,-0.45
"Beyer, Donald S.",ILMN,2019/12/23,2020/08/03,62.2
"Perdue Jr., David A.",ACA,2018/12/20,2019/08/01,12.7
"Malinowski, Tom",VIOT,2019/04/08,2019/11/18,-1.23
"Capito, Shelley M.",PAYX,2018/04/05,2018/11/15,4.89
"Perdue Jr., David A.",LGF-B,2019/11/12,2020/06/23,-2.09
"Capito, Shelley M.",ICE,2018/02/27,2018/10/09,1.72
"Perdue Jr., David A.",NWSA,2019/10/16,2020/05/27,-1.55
"Whitehouse, Sheldon",NFLX,2015/04/07,2015/11/17,54.8
"Shalala, Donna",NOV,2019/02/15,2019/09/27,-7.68
"Whitehouse, Sheldon",UL,2014/10/07,2015/05/19,4.16
"Whitehouse, Sheldon",VDC,2014/05/09,2014/12/19,11.55
"Collins, Susan M.",MCHP,2014/06/19,2015/01/29,-2.35
"Perdue Jr., David A.",QCOM,2015/08/24,2016/04/04,-4.39
"Capito, Shelley M.",T,2017/09/05,2018/04/17,-1.64
"Perdue Jr., David A.",LGF-B,2018/11/26,2019/07/08,-5.6
"Hoeven, John",CAT,2018/03/05,2018/10/15,-5.78
