official,ticker,buy_date,sell_date,profit
"Capito, Shelley M.",JNJ,2018/04/05,2018/05/31,-9.95
"Whitehouse, Sheldon",GOOGL,2016/11/15,2017/01/10,53.54
"Shalala, Donna",AVGO,2019/05/22,2019/07/17,13.23
"Malinowski, Tom",CSLT,2019/10/21,2019/12/16,-0.23
"Cassidy, William",CVS,2019/01/25,2019/03/22,-8.87
"Hoeven, John",MCD,2016/08/22,2016/10/17,-1.94
"Perdue Jr., David A.",LGF-B,2018/11/16,2019/01/11,-1.4
"Hoeven, John",FB,2017/05/17,2017/07/12,11.14
"Perdue Jr., David A.",KHC,2016/01/20,2016/03/16,7.37
"Perdue Jr., David A.",BAC,2016/06/27,2016/08/22,2.77
"Hoeven, John",KSS,2017/02/15,2017/04/12,-2.7
"Peters, Gary C.",VZ,2016/09/30,2016/11/25,-1.78
"Perdue Jr., David A.",C,2018/04/24,2018/06/19,-3.08
"Perdue Jr., David A.",BAC,2016/03/10,2016/05/05,0.96
"Whitehouse, Sheldon",GOOGL,2014/04/29,2014/06/24,45.32
"Shalala, Donna",SGSOY,2019/04/05,2019/05/31,-0.3
"Whitehouse, Sheldon",BRK-B,2017/01/30,2017/03/27,2.59
"Whitehouse, Sheldon",NFLX,2015/05/07,2015/07/02,13.58
"Roberts, Pat",AAPL,2015/05/28,2015/07/23,-1.37
"Murray, Patty",CMCSA,2017/03/16,2017/05/11,1.3
"Perdue Jr., David A.",HON,2016/05/05,2016/06/30,1.84
"Whitehouse, Sheldon",NVDA,2019/05/17,2019/07/12,2.4
"Malinowski, Tom",CSLT,2019/10/16,2019/12/11,-0.1
"Hoeven, John",CCI,2019/03/22,2019/05/17,0.79
"Whitehouse, Sheldon",BA,2017/01/24,2017/03/21,18.49
"Whitehouse, Sheldon",DISH,2017/08/24,2017/10/19,-7.62
"Whitehouse, Sheldon",TMUS,2017/01/24,2017/03/21,2.79
"Carper, Thomas R.",NPK,2017/08/31,2017/10/26,14.25
"Roberts, Pat",MSFT,2019/10/23,2019/12/18,18.3
"Shalala, Donna",TCEHY,2019/01/29,2019/03/26,1.04
"Perdue Jr., David A.",SPY,2019/10/11,2019/12/06,17.27
"Perdue Jr., David A.",RF,2018/06/25,2018/08/20,1.11
"Roberts, Pat",ETY,2018/02/05,2018/04/02,0.38
"Perdue Jr., David A.",T,2019/02/05,2019/04/02,2.16
"Hoeven, John",NGG,2017/03/02,2017/04/27,5.13
"Inhofe, James M.",HBI,2017/04/20,2017/06/15,0.8
"Perdue Jr., David A.",AMZN,2017/12/04,2018/01/29,264.32
"Roberts, Pat",NFLX,2018/04/23,2018/06/18,65.68
"Peters, Gary C.",ABBV,2015/09/10,2015/11/05,3.42
"Perdue Jr., David A.",MRK,2017/09/29,2017/11/24,-9.12
"Whitehouse, Sheldon",SBUX,2016/08/18,2016/10/13,-2.79
"Capito, Shelley M.",NKE,2016/01/21,2016/03/17,2.45
"Shalala, Donna",EXEL,2019/02/06,2019/04/03,2.05
"Perdue Jr., David A.",KR,2019/08/08,2019/10/03,1.27
"Perdue Jr., David A.",LGF-B,2018/12/11,2019/02/05,0.66
"Roberts, Pat",BAC,2017/12/13,2018/02/07,2.16
"Perdue Jr., David A.",AR,2015/01/14,2015/03/11,-0.04
"Perdue Jr., David A.",RF,2017/05/18,2017/07/13,0.71
"Collins, Susan M.",TMO,2018/06/04,2018/07/30,17.42
"Hoeven, John",SBUX,2017/04/21,2017/06/16,-0.61
"Reed, John F.",WETF,2016/11/23,2017/01/18,-0.13
"Whitehouse, Sheldon",NWL,2016/02/12,2016/04/08,10.04
"Murray, Patty",TAP,2017/03/16,2017/05/11,-5.06
"Roberts, Pat",ETY,2015/03/06,2015/05/01,-0.13
"Reed, John F.",ADI,2017/06/19,2017/08/14,-1.18
"Capito, Shelley M.",CB,2018/04/05,2018/05/31,-4.87
"Perdue Jr., David A.",PAA,2016/09/13,2016/11/08,1.78
