official,ticker,buy_date,sell_date,profit
"Capito, Shelley M.",JNJ,2018/04/05,2018/04/12,0.24
"Whitehouse, Sheldon",GOOGL,2016/11/15,2016/11/22,16.02
"Shalala, Donna",AVGO,2019/05/22,2019/05/29,-18.04
"Malinowski, Tom",CSLT,2019/10/21,2019/10/28,0.17
"Cassidy, William",CVS,2019/01/25,2019/02/01,-1.17
"Hoeven, John",MCD,2016/08/22,2016/08/29,-0.11
"Perdue Jr., David A.",LGF-B,2018/11/16,2018/11/23,-1.37
"Hoeven, John",FB,2017/05/17,2017/05/24,2.78
"Perdue Jr., David A.",KHC,2016/01/20,2016/01/27,5.99
"Hoeven, John",KSS,2017/02/15,2017/02/22,-1.09
"Peters, Gary C.",VZ,2016/09/30,2016/10/07,-2.03
"Perdue Jr., David A.",C,2018/04/24,2018/05/01,-1.66
"Perdue Jr., David A.",BAC,2016/03/10,2016/03/17,0.07
"Whitehouse, Sheldon",GOOGL,2014/04/29,2014/05/06,-1.98
"Shalala, Donna",SGSOY,2019/04/05,2019/04/12,0.46
"Whitehouse, Sheldon",BRK-B,2017/01/30,2017/02/06,-0.58
"Whitehouse, Sheldon",NFLX,2015/05/07,2015/05/14,3.0
"Roberts, Pat",AAPL,2015/05/28,2015/06/04,-0.45
"Murray, Patty",CMCSA,2017/03/16,2017/03/23,-0.62
"Perdue Jr., David A.",HON,2016/05/05,2016/05/12,0.58
"Whitehouse, Sheldon",NVDA,2019/05/17,2019/05/24,-3.04
"Malinowski, Tom",CSLT,2019/10/16,2019/10/23,0.12
"Hoeven, John",CCI,2019/03/22,2019/03/29,0.77
"Whitehouse, Sheldon",BA,2017/01/24,2017/01/31,4.78
"Whitehouse, Sheldon",DISH,2017/08/24,2017/08/31,-0.11
"Whitehouse, Sheldon",TMUS,2017/01/24,2017/01/31,1.81
"Carper, Thomas R.",NPK,2017/08/31,2017/09/07,-3.05
"Roberts, Pat",MSFT,2019/10/23,2019/10/30,7.36
"Shalala, Donna",TCEHY,2019/01/29,2019/02/05,1.34
"Perdue Jr., David A.",SPY,2019/10/11,2019/10/18,0.77
